II,V,PLETH,RESP
2927,5086,4228,506
3358,5774,4761,583
2927,5136,4158,524
2583,4835,3826,490
2689,5237,4087,524
2838,5478,4232,545
2768,5287,4017,524
2651,5169,3852,507
2689,5337,3911,524
2836,5451,3928,543
3006,5388,3806,541
3130,5349,3707,529
3164,5438,3700,524
3107,5518,3669,524
3085,5539,3594,524
3175,5537,3539,522
3322,5539,3524,524
3402,5536,3496,526
3401,5589,3453,524
3375,5696,3412,515
3401,5791,3383,506
3512,5805,3346,504
3718,5791,3312,506
3923,5778,3269,501
4034,5791,3242,489
4007,5787,3220,477
3955,5791,3206,471
3981,5793,3174,465
4113,5791,3136,454
4279,5715,3093,441
4429,5589,3066,436
4492,5467,3031,438
4429,5438,2995,436
4266,5453,2950,427
4113,5438,2925,419
3994,5340,2906,418
3876,5237,2889,419
3770,5155,2852,411
3797,5086,2819,401
3941,4977,2793,397
4034,4884,2784,401
3944,4824,2766,404
3797,4784,2748,401
3755,4703,2726,393
3797,4632,2713,384
3719,4592,2693,379
3480,4582,2678,384
3243,4535,2658,394
3164,4481,2643,401
3117,4440,2621,400
2927,4431,2607,401
2659,4404,2589,409
2610,4381,2572,419
2802,4365,2548,420
2927,4381,2537,419
2760,4383,2524,423
2531,4381,2502,436
2509,4367,2461,448
2610,4381,2431,454
2517,4402,2413,453
2215,4431,2396,454
1972,4433,2358,459
1977,4431,2326,471
2073,4422,2305,488
2056,4431,2290,506
1930,4433,2254,518
1898,4431,2220,524
2033,4390,2196,527
2215,4330,2185,541
2288,4274,2153,560
2294,4280,2114,576
2320,4315,2073,583
2373,4330,2044,593
2381,4281,2007,611
2373,4230,1973,628
2392,4197,1934,637
2452,4179,1903,646
2538,4126,1863,662
2689,4079,1832,681
2841,4060,1805,690
2847,4079,1797,698
2659,4079,1790,711
2452,4079,1797,733
2348,4102,1816,752
2294,4179,1868,768
2216,4236,1932,783
2215,4230,2008,803
2338,4163,2083,820
2452,4129,2185,838
2424,4131,2302,854
2373,4129,2431,873
2467,4072,2538,890
2689,4028,2643,908
2866,4033,2753,924
2927,4079,2889,943
2864,4101,3018,960
2689,4129,3136,978
2443,4174,3235,993
2294,4230,3347,1012
2345,4225,3466,1031
2531,4179,3594,1047
2667,4130,3702,1055
2689,4129,3806,1065
2627,4145,3893,1078
2531,4179,3982,1100
2368,4231,4061,1118
2136,4330,4158,1135
1885,4415,4260,1149
1740,4431,4369,1170
1770,4354,4458,1188
1977,4280,4545,1204
2265,4256,4628,1212
2531,4280,4722,1222
2690,4282,4806,1234
2768,4280,4898,1257
2847,4292,4983,1277
3006,4330,5074,1292
3182,4327,5145,1298
3243,4280,5215,1309
3091,4223,5277,1324
2847,4230,5356,1344
2704,4266,5427,1359
2768,4280,5497,1379
2848,4232,5547,1403
2768,4179,5603,1431
2567,4147,5642,1450
2531,4129,5673,1466
2706,4093,5682,1480
2847,4079,5708,1501
2739,4112,5730,1523
2531,4179,5744,1554
2434,4200,5720,1582
2452,4179,5708,1606
2468,4159,5705,1620
2531,4179,5708,1641
2706,4139,5673,1666
3006,3978,5638,1693
3521,3747,5609,1709
4508,3625,5603,1728
5964,3624,5580,1752
7514,3575,5567,1780
8780,3255,5559,1798
9729,2719,5567,1815
10268,2198,5551,1836
10045,1863,5532,1868
8850,1566,5505,1894
7119,1158,5497,1920
5548,778,5477,1942
4508,856,5462,1972
3942,1534,5436,1999
3718,2518,5426,2025
3674,3367,5407,2040
3638,3978,5391,2060
3550,4422,5353,2080
3559,4733,5321,2112
3683,4839,5279,2139
3718,4834,5250,2164
3543,4848,5211,2179
3401,4935,5180,2199
3494,4989,5138,2222
3718,4985,5109,2252
3841,4945,5070,2276
3876,4935,5039,2304
3810,4955,4998,2328
3559,5035,4968,2356
3127,5142,4929,2380
2847,5237,4898,2409
2854,5272,4855,2433
2927,5287,4827,2461
2814,5305,4801,2483
2689,5337,4792,2514
2757,5344,4763,2545
2927,5337,4722,2583
2980,5323,4659,2610
3006,5337,4616,2636
3145,5340,4579,2656
3322,5337,4545,2688
3333,5332,4488,2716
3243,5388,4440,2740
3226,5471,4398,2753
3322,5539,4369,2775
3389,5538,4318,2800
3401,5539,4264,2828
3409,5571,4204,2842
3480,5640,4158,2863
3605,5675,4102,2886
3797,5690,4052,2915
3986,5685,3996,2930
4113,5690,3946,2950
4198,5692,3886,2971
4350,5740,3841,3002
4490,5814,3799,3020
4429,5891,3770,3037
4151,5918,3730,3050
3955,5942,3700,3072
4005,5967,3665,3088
4113,5992,3629,3107
3993,5969,3573,3120
3718,5942,3524,3142
3557,5917,3480,3157
3638,5891,3453,3177
3816,5807,3416,3190
3955,5690,3383,3212
4033,5553,3344,3228
4113,5438,3312,3247
4196,5337,3271,3252
4271,5287,3242,3264
4302,5247,3218,3275
4271,5186,3206,3299
4142,5075,3175,3315
3955,4985,3136,3334
3789,4927,3090,3346
3718,4884,3066,3369
3631,4802,3046,3386
3401,4733,3030,3404
3012,4699,2995,3408
2689,4683,2960,3421
2550,4619,2930,3435
2531,4532,2925,3456
2431,4462,2914,3464
2294,4431,2889,3474
2278,4402,2846,3478
2452,4381,2819,3491
2575,4368,2802,3497
2452,4381,2784,3509
2193,4398,2744,3514
2136,4431,2713,3526
2318,4415,2694,3530
2452,4330,2678,3543
2362,4209,2640,3551
2373,4179,2607,3561
2915,4197,2586,3556
4034,4079,2572,3561
5370,3605,2536,3566
6644,2769,2502,3578
7804,1634,2478,3577
8859,352,2467,3578
9636,-828,2434,3574
9887,-1511,2396,3578
9442,-1499,2366,3573
8384,-906,2361,3578
7012,-53,2349,3583
5695,906,2326,3596
4608,1915,2284,3595
3718,2920,2255,3596
2933,3752,2233,3591
2294,4330,2220,3596
1887,4669,2197,3593
1740,4884,2185,3596
1758,5011,2177,3592
1819,5086,2185,3596
1817,5121,2192,3592
1740,5186,2220,3596
1650,5269,2262,3594
1661,5337,2326,3596
1773,5340,2388,3584
1898,5337,2467,3578
1909,5369,2549,3571
1819,5438,2643,3578
1659,5495,2736,3578
1503,5539,2854,3578
1375,5571,2979,3565
1345,5589,3101,3561
1385,5580,3199,3556
1424,5589,3312,3561
1370,5615,3436,3553
1266,5640,3559,3543
1206,5615,3646,3522
1266,5589,3735,3509
1407,5579,3835,3493
1582,5589,3946,3491
1769,5566,4033,3482
1977,5539,4123,3474
2145,5521,4221,3452
2215,5539,4334,3439
2222,5541,4424,3426
2294,5539,4510,3421
2426,5539,4592,3404
2452,5589,4686,3386
2236,5649,4770,3363
1898,5690,4863,3351
1668,5671,4950,3334
1661,5640,5039,3317
1786,5592,5105,3286
1898,5539,5180,3264
1883,5469,5260,3243
1740,5438,5356,3229
1562,5424,5430,3203
1503,5388,5497,3177
1618,5283,5545,3145
1819,5186,5603,3125
1931,5124,5650,3098
1898,5086,5708,3072
1840,5006,5757,3034
1898,4935,5814,3002
1996,4896,5851,2970
1977,4884,5884,2950
1891,4823,5898,2924
1977,4733,5920,2898
2206,4655,5932,2864
2294,4632,5955,2845
2148,4603,5968,2828
2136,4532,5990,2810
2442,4431,5993,2775
2768,4381,5990,2740
2686,4394,5965,2708
2294,4431,5955,2688
1980,4436,5948,2661
1898,4431,5955,2636
1846,4424,5938,2605
1740,4431,5920,2583
1749,4426,5892,2556
1977,4431,5884,2531
