II,V,ABP,RESP
377,15133,8548,306
429,17021,9648,353
377,14900,8457,323
339,13839,7810,312
377,14900,8366,340
410,15522,8689,359
377,14900,8275,357
336,14513,7949,366
377,14900,8093,391
458,15097,8181,407
453,14900,8002,408
384,14920,7866,412
377,15366,7912,425
385,16014,7915,437
226,16996,7821,442
15,18081,7742,448
151,18392,7730,459
733,17409,7697,469
1433,15832,7639,476
2168,14327,7578,482
3319,12572,7548,493
4900,9970,7534,510
6035,7217,7548,527
5840,5820,7516,538
4451,6752,7457,544
2699,9310,7381,551
1132,12106,7366,561
-186,14122,7369,570
-1207,15366,7366,578
-1814,16059,7310,586
-2037,16297,7275,595
-2003,15908,7264,604
-1735,15133,7275,612
-1260,14416,7233,620
-754,14202,7184,630
-394,14368,7153,638
-151,14667,7184,647
64,14823,7199,652
226,14900,7184,664
285,14895,7123,679
302,14900,7093,698
341,14875,7081,709
377,14900,7093,715
365,14915,7083,719
377,14900,7093,732
447,14780,7097,749
528,14667,7093,766
540,14614,7040,775
528,14667,7002,783
557,14678,6984,789
604,14667,7002,800
611,14626,6997,808
604,14667,7002,817
653,14688,7000,824
754,14667,7002,834
827,14536,6956,842
830,14435,6911,851
809,14386,6883,858
830,14435,6911,868
880,14443,6923,876
905,14435,6911,885
892,14396,6852,892
905,14435,6820,902
974,14454,6803,910
1056,14435,6820,919
1097,14304,6814,925
1132,14202,6820,936
1197,14151,6812,946
1283,14202,6820,953
1354,14220,6807,951
1433,14202,6820,953
1520,14087,6841,960
1584,13969,6911,970
1631,13821,7005,970
1735,13736,7184,970
1883,13690,7422,975
1961,13736,7730,987
1940,13750,8036,990
1961,13736,8366,987
2108,13683,8683,982
2263,13736,9003,987
2295,13787,9256,995
2263,13736,9457,1004
2283,13485,9568,1004
2339,13271,9639,1004
2349,13197,9668,1002
2339,13271,9730,1004
2352,13279,9805,1003
2339,13271,9912,1004
2218,13305,9994,1002
2037,13503,10094,1004
1895,13737,10203,1003
1811,13969,10367,1004
1716,14105,10539,1002
1584,14202,10731,1004
1432,14201,10880,1003
1283,14202,11003,1004
1149,14243,11061,1002
1056,14435,11094,1004
987,14613,11065,1004
905,14667,11003,1004
807,14525,10898,996
754,14435,10822,987
757,14496,10737,976
754,14667,10640,970
687,14649,10487,962
604,14435,10367,953
574,14191,10269,941
604,14202,10185,936
621,14349,10042,930
604,14435,9912,919
583,14307,9802,899
604,14202,9730,885
626,14242,9628,876
604,14435,9548,868
545,14566,9460,849
528,14667,9367,834
565,14760,9214,824
604,14900,9094,817
619,14934,8997,799
679,14900,8912,783
801,14849,8738,772
905,14900,8548,766
922,14868,8375,750
905,14667,8275,732
928,14335,8170,714
981,14202,8093,698
1033,14290,8046,678
1132,14435,8093,664
1314,14358,8171,655
1509,14202,8275,647
1600,14123,8354,628
1584,14202,8457,612
1559,14228,8548,603
1584,14202,8639,595
1609,14153,8658,578
1584,14202,8639,561
1554,14221,8577,551
1584,14202,8548,544
1602,14134,8530,534
1433,14202,8548,527
1034,14390,8545,527
604,14667,8548,527
376,14833,8531,519
377,14900,8548,510
443,14876,8575,507
453,14900,8639,510
411,14909,8686,511
377,14900,8730,510
369,14784,8731,510
377,14667,8730,510
383,14589,8714,508
377,14667,8730,510
368,14785,8733,518
377,14900,8730,527
388,14902,8681,529
377,14900,8639,527
353,14884,8586,527
377,14900,8548,527
431,14882,8490,525
453,14900,8457,527
402,14916,8414,535
377,14900,8366,544
417,14766,8268,546
453,14667,8184,544
440,14634,8118,548
453,14667,8093,561
520,14635,8046,574
528,14667,8002,578
444,14782,7946,576
377,15133,7912,578
342,15915,7859,586
226,17228,7821,595
168,18231,7767,603
528,17927,7730,612
1306,16344,7673,623
2112,14667,7639,630
2914,13144,7591,628
4149,10942,7548,630
5684,8018,7483,637
6413,6286,7457,647
5511,7049,7448,648
3546,9313,7457,647
1709,11205,7416,650
453,12572,7366,664
-523,14085,7303,676
-1358,15599,7275,681
-1841,16180,7255,678
-1886,15832,7275,681
-1661,15189,7284,687
-1283,14667,7275,698
-790,14175,7217,705
-302,13969,7184,715
35,14208,7174,724
226,14667,7184,732
356,14802,7141,731
453,14667,7093,732
497,14555,7063,737
528,14667,7093,749
568,14746,7107,758
604,14667,7093,766
598,14480,7033,772
604,14435,7002,783
654,14538,6989,792
754,14667,7002,800
849,14606,6994,805
905,14435,7002,817
919,14252,7003,832
905,14202,7002,851
891,14183,6954,862
905,14202,6911,868
967,14188,6886,872
1056,14202,6911,885
1118,14185,6920,902
1132,14202,6911,919
1141,14195,6858,928
1207,14202,6820,936
1283,14173,6795,943
1283,14202,6820,953
1232,14216,6830,960
1283,14202,6820,970
1451,14080,6761,979
1584,13969,6729,987
1584,13848,6715,987
1584,13736,6729,987
1690,13574,6717,991
1811,13503,6729,1004
1822,13495,6754,1014
1811,13503,6820,1021
1896,13385,6885,1020
2037,13271,7002,1021
2122,13218,7153,1026
2188,13271,7366,1038
2299,13276,7600,1048
2414,13271,7912,1055
2460,13245,8263,1054
2490,13271,8639,1055
2562,13262,8939,1059
2640,13271,9185,1072
2671,13254,9370,1082
2716,13271,9548,1089
2808,13254,9661,1087
2867,13271,9730,1089
2811,13263,9754,1094
2716,13271,9821,1106
2669,13239,9905,1115
2640,13271,10003,1123
2548,13348,10070,1124
2414,13503,10185,1123
2295,13622,10344,1119
2188,13736,10549,1123
2044,13821,10727,1131
1886,13969,10912,1140
1757,14098,11069,1141
1660,14202,11185,1140
1550,14202,11200,1138
1433,14202,11185,1140
1339,14185,11145,1139
1283,14202,11094,1140
1217,14184,10963,1139
1132,14202,10822,1140
1059,14198,10698,1138
1056,14202,10640,1140
1079,14167,10559,1141
1056,14202,10458,1140
988,14229,10309,1130
981,14202,10185,1123
1039,14047,10070,1121
1056,13969,10003,1123
971,14031,9918,1116
905,14202,9821,1106
934,14249,9673,1093
981,14202,9548,1089
945,14127,9435,1087
905,14202,9367,1089
956,14392,9275,1089
1056,14667,9185,1089
1105,14784,9049,1081
1132,14667,8912,1072
1201,14365,8752,1065
1283,14202,8639,1072
1298,14192,8536,1082
1283,14202,8457,1089
1320,14053,8349,1085
1433,13969,8275,1089
1576,14045,8234,1102
1735,14202,8275,1123
1900,14146,8344,1138
2037,13969,8457,1157
2104,13854,8551,1179
2112,13969,8639,1208
2070,14118,8678,1231
1961,14202,8730,1259
1781,14171,8773,1290
1584,14202,8821,1327
1418,14286,8795,1359
1283,14435,8730,1395
1155,14537,8645,1434
1056,14667,8639,1480
1004,14782,8674,1516
981,14900,8730,1548
946,14911,8729,1577
905,14900,8730,1616
888,14871,8747,1657
905,14900,8821,1701
919,14894,8876,1741
905,14900,8912,1786
885,14880,8903,1834
905,14900,8912,1889
955,14886,8910,1938
981,14900,8912,1991
948,14882,8867,2039
905,14900,8821,2093
891,14888,8762,2142
905,14900,8730,2195
905,14885,8680,2242
905,14900,8639,2297
902,14898,8581,2347
905,14900,8548,2399
895,14876,8500,2440
905,14900,8457,2484
925,14902,8396,2528
905,14900,8366,2586
845,14864,8326,2639
830,14900,8275,2688
888,14890,8174,2726
905,14900,8093,2773
809,15159,8029,2823
679,16064,8002,2875
601,17326,7952,2915
604,18160,7912,2960
812,17828,7858,3008
1433,16530,7821,3062
2422,14778,7760,3104
3546,12805,7730,3148
4814,10279,7716,3187
6337,7450,7730,3233
7548,5433,7696,3265
7318,5588,7639,3301
5308,7867,7565,3331
2640,10942,7548,3369
667,13359,7546,3399
-377,14900,7548,3437
-1037,15907,7499,3469
-1509,16530,7457,3505
-1585,16461,7431,3527
-1283,15832,7457,3556
-895,15079,7466,3585
-528,14667,7457,3624
-109,14561,7402,3654
302,14667,7366,3692
535,14789,7344,3724
604,14900,7366,3760
656,14900,7372,3782
754,14900,7366,3811
821,14885,7314,3840
830,14900,7275,3879
835,14882,7250,3904
905,14900,7275,3930
976,14912,7286,3948
981,14900,7275,3981
916,14784,7216,4011
905,14667,7184,4049
982,14599,7171,4078
1056,14667,7184,4117
1059,14709,7174,4154
1056,14667,7184,4202
1103,14509,7188,4239
1132,14435,7184,4270
1086,14428,7128,4284
1056,14435,7093,4304
1119,14312,7078,4320
1207,14202,7093,4338
1220,14155,7081,4338
1207,14202,7093,4338
1238,14198,7099,4333
1283,14202,7093,4338
1278,14191,7030,4335
1283,14202,7002,4338
1347,14168,7000,4334
1433,14202,7002,4338
1492,14231,6939,4335
1584,14202,6911,4338
1720,14046,6935,4334
1811,13969,7002,4338
1800,13971,7026,4334
1811,13969,7093,4338
1940,13824,7231,4334
2112,13736,7457,4338
2187,13739,7692,4334
2188,13736,8002,4338
2228,13517,8385,4334
2339,13271,8821,4338
2439,13169,9173,4334
2490,13271,9457,4338
2518,13314,9684,4334
2565,13271,9912,4338
2613,13204,10074,4334
2640,13271,10185,4338
2644,13316,10228,4334
2640,13271,10276,4338
2621,13164,10308,4334
2565,13271,10367,4338
2460,13528,10427,4334
2339,13736,10549,4338
2222,13715,10705,4334
2112,13736,10912,4338
1996,13929,11098,4334
1886,14202,11276,4338
1777,14263,11413,4334
1660,14202,11549,4338
1532,14146,11623,4334
1433,14202,11640,4338
1364,14271,11561,4334
1283,14435,11458,4338
1161,14609,11318,4334
1056,14667,11185,4338
1003,14451,11029,4334
981,14202,10912,4338
943,14108,10807,4334
905,14202,10731,4338
873,14234,10625,4334
830,14202,10549,4338
768,14153,10486,4334
754,14202,10458,4338
797,14231,10377,4334
830,14202,10276,4338
795,13999,10154,4334
754,13736,10094,4338
750,13569,10044,4334
754,13736,10003,4338
734,14044,9907,4334
754,14202,9821,4338
834,14067,9723,4334
905,13969,9639,4338
927,13998,9504,4334
981,13969,9367,4338
1085,13629,9210,4334
1132,13271,9094,4338
1071,13152,8979,4334
1056,13271,8912,4338
1206,13305,8850,4334
1433,13271,8821,4338
1602,13237,8788,4334
1735,13271,8821,4338
1880,13251,8889,4334
1961,13271,9003,4338
1907,13287,9089,4334
1811,13271,9185,4338
1774,13181,9244,4334
1735,13271,9276,4338
