II,V,PLETH,RESP
-1255,127,9236,30
-1676,141,12559,39
-1689,114,12956,40
-1549,85,12046,39
-1482,52,11675,38
-1487,29,11997,37
-1458,14,12227,38
-1399,32,11995,40
-1377,62,11726,41
-1397,77,11755,36
-1380,60,11925,32
-1295,50,11883,46
-1219,83,11708,91
-1220,130,11648,149
-1258,151,11741,180
-1236,193,11745,154
-1110,353,11640,85
-816,605,11562,16
-115,841,11592,-15
1317,1007,11595,-6
3403,968,11557,18
5368,211,11520,34
6179,-1800,11547,39
5483,-4730,11544,39
3938,-7174,11552,38
2560,-7801,11536,38
1789,-6576,11549,40
1365,-4641,11533,40
873,-3093,11551,32
229,-2182,11546,15
-394,-1564,11550,-3
-828,-970,11521,-8
-1059,-439,11553,5
-1160,-78,11598,25
-1212,150,11662,39
-1238,335,11680,42
-1238,472,11750,36
-1223,512,11827,22
-1220,497,11903,3
-1222,529,11908,-10
-1207,616,11972,-1
-1177,662,12086,22
-1153,626,12235,37
-1153,572,12306,36
-1140,569,12405,37
-1107,611,12534,44
-1055,632,12697,43
-1019,632,12778,28
-995,624,12872,30
-971,632,12989,72
-932,625,13152,128
-889,587,13246,158
-848,539,13345,159
-807,517,13443,159
-761,508,13579,176
-691,483,13654,195
-587,449,13733,199
-453,434,13795,192
-311,443,13890,189
-148,456,13929,194
59,470,13983,197
294,489,14033,192
479,515,14142,189
555,536,14221,194
554,546,14311,199
573,532,14370,191
665,480,14481,174
784,384,14569,160
855,269,14664,155
883,150,14718,154
929,32,14825,150
1025,-77,14918,153
1103,-151,15011,165
1085,-182,15056,162
961,-185,15204,119
789,-173,15430,62
613,-135,15713,42
455,-75,15894,47
328,-24,16041,0
252,-23,16147,-112
209,-61,16267,-205
148,-89,16300,-214
40,-76,16322,-187
-76,-45,16324,-185
-136,-36,16374,-195
-148,-42,16370,-186
-189,-25,16357,-201
-301,13,16304,-281
-431,24,16301,-380
-490,-9,16274,-416
-457,-36,16256,-385
-371,-12,16180,-342
-267,53,16135,-318
-155,146,16074,-304
-59,297,16046,-304
-4,513,15966,-332
14,712,15906,-373
29,791,15828,-396
64,745,15807,-390
122,656,15755,-379
174,572,15722,-382
178,439,15655,-391
103,200,15650,-390
-36,-87,15643,-380
-202,-274,15676,-380
-379,-282,15671,-393
-601,-186,15711,-396
-880,-129,15742,-372
-1167,-154,15818,-335
-1363,-184,15848,-314
-1418,-129,15908,-310
-1363,17,15954,-300
-1301,197,16064,-272
-1308,339,16145,-239
-1393,408,16243,-223
-1485,413,16293,-227
-1516,394,16380,-235
-1477,373,16436,-235
-1417,350,16514,-231
-1392,311,16541,-229
-1390,265,16595,-229
-1395,222,16622,-232
-1380,179,16678,-240
-1356,160,16686,-236
-1327,160,16712,-194
-1301,186,16703,-119
-1285,209,16729,-62
-1292,214,16714,-59
-1323,198,16722,-101
-1342,191,16700,-154
-1319,216,16726,-201
-1285,263,16719,-216
-1305,319,16722,-170
-1350,420,16669,-75
-1307,587,16653,1
-1040,753,16620,15
-395,865,16615,-2
868,988,16557,-5
2800,1094,16536,2
4876,721,16500,-2
6087,-794,16499,-2
5773,-3481,16445,19
4271,-6261,16422,38
2621,-7655,16383,36
1591,-7055,16383,35
1169,-5215,16333,48
868,-3424,16310,45
381,-2343,16265,21
-209,-1730,16265,25
-664,-1140,16220,88
-908,-526,16198,162
-1030,-102,16148,190
-1117,104,16144,192
-1166,268,16106,213
-1171,468,16088,247
-1160,614,16031,262
-1169,650,16020,267
-1172,625,15992,287
-1144,601,16006,320
-1106,588,15983,336
-1086,598,15994,340
-1080,625,15983,365
-1016,633,16020,423
-897,601,16030,485
-775,556,16073,515
-732,549,16083,511
-747,549,16130,499
-744,547,16147,493
-668,545,16196,493
-552,551,16203,505
-451,536,16234,553
-388,505,16225,622
-344,499,16248,666
-292,541,16230,666
-223,588,16231,668
-142,601,16183,703
-43,608,16164,743
98,643,16123,745
294,690,16129,729
511,711,16109,725
701,708,16122,734
854,694,16102,734
1005,655,16122,740
1179,574,16109,771
1340,481,16122,812
1436,415,16098,823
1462,371,16119,809
1479,311,16124,799
1526,225,16169,811
1564,133,16176,821
1514,58,16218,809
1367,6,16236,774
1203,-22,16287,741
1104,-18,16295,726
1060,25,16335,730
992,89,16361,736
860,147,16443,735
716,164,16492,729
630,137,16552,731
588,94,16561,736
518,76,16600,736
403,86,16602,726
317,97,16614,727
312,81,16571,748
350,53,16558,784
348,43,16525,811
288,57,16522,820
198,67,16458,802
98,43,16397,766
-12,-7,16295,728
-103,-26,16233,717
-127,55,16141,740
-59,256,16078,779
81,495,15989,802
258,653,15953,808
426,683,15894,814
540,657,15854,842
578,666,15762,874
556,700,15711,894
505,663,15656,891
444,488,15659,887
383,206,15629,884
317,-71,15632,881
211,-240,15616,883
18,-282,15651,924
-253,-264,15660,997
-523,-266,15700,1057
-696,-288,15707,1059
-751,-249,15755,1023
-734,-97,15774,984
-713,122,15820,962
-725,313,15826,955
-777,422,15868,973
-862,453,15884,1011
-964,430,15935,1041
-1056,374,15945,1043
-1112,315,15983,1045
-1135,272,15994,1073
-1128,243,16049,1116
-1122,218,16069,1133
-1097,190,16102,1118
-1056,166,16077,1083
-1000,121,16068,1051
-965,92,16022,1029
-963,101,16016,1037
-993,141,15987,1069
-1025,146,16001,1107
-1020,117,15989,1122
-962,110,16006,1121
-883,139,15975,1116
-825,149,15960,1118
-763,136,15907,1118
-643,167,15899,1119
-430,279,15872,1119
-34,418,15885,1120
821,541,15864,1116
2425,663,15877,1116
4617,658,15866,1123
6586,51,15903,1141
7377,-1729,15916,1156
6660,-4558,15961,1162
4993,-7194,15967,1156
3312,-8116,15997,1155
2219,-6990,15986,1157
1690,-4962,16003,1160
1352,-3362,15985,1156
935,-2471,15998,1154
461,-1825,15983,1156
75,-1172,16006,1162
-168,-650,15991,1157
-325,-318,15987,1142
-416,-61,15934,1124
-382,134,15921,1118
-213,179,15887,1118
-35,131,15879,1116
2,157,15822,1114
-108,298,15800,1127
-231,441,15766,1130
-233,503,15771,1090
-133,490,15743,1012
-31,440,15759,960
-37,388,15754,956
-111,361,15762,960
-165,378,15708,926
-117,385,15689,884
-18,364,15659,874
39,300,15654,890
37,237,15593,891
68,203,15571,886
179,210,15546,887
301,237,15539,887
331,262,15450,859
294,262,15369,818
316,224,15276,794
474,155,15229,807
694,108,15133,838
848,138,15061,873
888,231,14983,896
923,286,14967,895
1101,210,14914,865
1453,21,14877,828
1825,-151,14814,805
2022,-206,14812,805
1993,-173,14797,811
1884,-169,14807,813
1859,-266,14773,808
1944,-428,14785,808
2040,-578,14794,810
2074,-691,14855,813
