III,V,PLETH
2457,2961,2220
2826,3395,2514
2566,3022,2220
2456,2805,2066
2676,3022,2220
2834,3209,2311
2812,3146,2220
2832,3071,2159
2976,3146,2220
3081,3224,2257
3112,3207,2220
3168,3175,2195
3276,3207,2220
3343,3249,2232
3358,3238,2220
3372,3181,2212
3413,3146,2220
3438,3154,2221
3440,3177,2220
3438,3166,2220
3467,3146,2220
3505,3141,2214
3522,3146,2220
3501,3115,2224
3495,3084,2220
3509,3085,2196
3522,3115,2186
3500,3113,2196
3495,3084,2220
3511,3061,2224
3522,3084,2220
3487,3112,2214
3467,3115,2220
3489,3087,2220
3522,3084,2220
3501,3102,2216
3467,3115,2220
3456,3092,2218
3467,3084,2220
3452,3100,2217
3440,3115,2220
3439,3093,2218
3440,3084,2220
3407,3102,2217
3385,3115,2220
3384,3080,2217
3385,3053,2220
3351,3063,2217
3331,3084,2220
3340,3065,2217
3358,3053,2220
3331,3069,2217
3303,3084,2220
3304,3050,2217
3331,3022,2220
3324,3031,2217
3303,3053,2220
3298,3035,2217
3331,3022,2220
3354,3045,2216
3358,3084,2220
3337,3084,2216
3331,3084,2220
3343,3118,2215
3385,3177,2220
3420,3200,2225
3440,3207,2254
3439,3226,2293
3467,3269,2356
3534,3294,2426
3631,3300,2527
3682,3279,2646
3658,3238,2800
3570,3171,2971
3495,3115,3176
3454,3076,3391
3440,3053,3620
3412,3008,3827
3385,2961,4030
3352,2924,4223
3331,2930,4439
3305,2945,4666
3303,2961,4918
3320,2957,5159
3358,2961,5396
3345,2952,5612
3276,2930,5840
3220,2905,6053
3276,2930,6249
3325,2962,6405
3194,2930,6557
2912,2833,6698
2703,2807,6830
2519,2901,6920
2157,3084,7001
1806,3375,7069
2129,3917,7137
3297,4651,7173
4587,5274,7206
5201,5534,7224
5215,5521,7240
5153,5366,7223
5215,5027,7206
5236,4434,7183
5215,3793,7171
5194,3355,7137
5023,3146,7103
4520,3001,7052
3877,2868,7001
3410,2773,6926
3194,2714,6864
3045,2631,6805
2894,2560,6762
2788,2540,6695
2757,2560,6625
2734,2551,6536
2703,2529,6454
2677,2527,6360
2676,2560,6284
2673,2571,6198
2676,2560,6113
2664,2541,6002
2648,2560,5908
2629,2583,5820
2648,2591,5737
2674,2565,5601
2676,2560,5430
2635,2583,5238
2621,2621,5088
2639,2638,4959
2648,2652,4849
2605,2660,4732
2566,2652,4644
2562,2621,4570
2566,2621,4508
2527,2656,4418
2484,2683,4337
2467,2662,4270
2457,2652,4235
2405,2688,4186
2348,2745,4132
2314,2755,4068
2293,2745,4030
