III,V,PLETH
6749,6910,4949
7572,7856,5590
6609,7023,4899
6128,6650,4508
6609,7193,4799
6871,7498,4967
6540,7250,4749
6325,7147,4617
6540,7419,4749
6706,7572,4813
6609,7476,4699
6497,7451,4616
6540,7589,4649
6592,7649,4656
6609,7589,4599
6651,7553,4552
6749,7589,4549
6827,7590,4534
6888,7533,4499
6942,7446,4464
7027,7363,4449
7121,7271,4429
7236,7193,4399
7326,7088,4339
7444,6966,4299
7574,6814,4286
7723,6683,4299
7828,6546,4284
7931,6400,4249
8026,6217,4207
8140,6060,4199
8218,5931,4199
8279,5834,4199
8305,5714,4172
8349,5607,4149
8396,5509,4135
8488,5437,4149
8586,5345,4155
8697,5267,4149
8750,5213,4117
8766,5211,4099
8747,5194,4092
8766,5154,4099
8777,5079,4081
8766,5041,4049
8706,5030,4009
8697,5041,3999
8726,5014,4000
8766,4984,3999
8751,4963,3971
8766,4984,3949
8805,4991,3938
8836,4984,3949
8787,4962,3949
8766,4984,3949
8793,5018,3942
8836,5041,3949
8795,5009,3948
8766,4984,3949
8785,4990,3943
8836,5041,3949
8807,5059,3948
8766,5041,3949
8746,5009,3941
8766,5041,3949
8754,5102,3952
8766,5154,3949
8776,5151,3919
8766,5154,3899
8698,5174,3889
8697,5211,3899
8747,5210,3897
8766,5211,3899
8652,5225,3895
8558,5267,3899
8561,5275,3890
8627,5267,3899
8606,5268,3914
8558,5324,3949
8533,5373,3969
8558,5381,3999
8548,5335,4033
8558,5324,4099
8567,5348,4165
8558,5381,4249
8466,5356,4333
8418,5324,4449
8459,5310,4581
8558,5324,4749
8553,5300,4917
8488,5267,5099
8456,5259,5280
8558,5324,5499
8651,5380,5723
8627,5381,5949
8461,5311,6141
8349,5267,6349
8366,5258,6565
8488,5267,6799
8551,5250,7002
8558,5267,7199
8517,5321,7373
8488,5381,7549
8434,5381,7696
8418,5381,7849
8432,5415,7980
8488,5494,8099
8517,5548,8171
8558,5607,8249
8570,5697,8334
8558,5834,8449
8498,5926,8532
8488,5947,8599
8478,5895,8638
8418,5834,8699
8307,5727,8747
8349,5550,8799
8539,5300,8819
8697,5097,8849
8648,4991,8867
8558,4984,8899
8562,4977,8899
8627,4984,8899
8598,5003,8883
8558,5041,8899
8529,5049,8901
8488,5041,8899
8364,5032,8860
8349,5041,8849
8458,5075,8841
8558,5154,8849
8479,5232,8819
8418,5267,8799
8464,5246,8769
8488,5267,8749
8221,5391,8691
7723,5720,8649
7101,6361,8610
6401,7419,8599
5623,8630,8552
5148,9345,8499
5461,8819,8432
6818,6966,8399
8872,4486,8350
10993,2322,8299
12538,728,8215
13289,-623,8149
13391,-1878,8071
13289,-2492,7999
13257,-1973,7894
13289,-510,7799
13027,1169,7692
12245,2605,7599
11041,3707,7486
9879,4531,7399
9033,5068,7316
8488,5437,7249
8047,5723,7147
7723,5947,7049
7533,6047,6940
7444,6117,6849
7332,6199,6739
7236,6287,6649
7183,6292,6562
7166,6287,6499
7108,6305,6418
7097,6343,6349
7147,6343,6268
7236,6343,6199
7222,6370,6112
7166,6400,6049
7105,6379,5991
7097,6343,5949
7078,6342,5874
7097,6400,5799
7107,6440,5726
7097,6457,5699
7036,6460,5675
7027,6513,5649
7045,6559,5592
7027,6570,5549
6924,6537,5513
6888,6570,5499
6952,6656,5470
7027,6740,5449
6972,6739,5419
6888,6740,5399
