II,V,ABP
288,6693,5142
211,7432,5829
231,6490,5142
572,6219,4760
1096,7048,5082
1517,7707,5280
1789,7757,5082
2003,7782,4956
2135,7910,5082
2079,7641,5130
1904,6997,5021
1786,6495,4966
1789,6338,5021
1814,6257,5022
1789,6135,4961
1739,6065,4934
1731,6084,4961
1761,6079,4966
1789,6034,4961
1790,6001,4962
1789,6034,4961
1792,6074,4925
1789,6084,4900
1774,6037,4891
1789,6034,4900
1829,6080,4873
1846,6135,4840
1811,6113,4817
1789,6084,4840
1814,6088,4852
1846,6135,4840
1825,6141,4796
1789,6135,4779
1779,6125,4778
1789,6135,4779
1782,6126,4744
1789,6135,4719
1821,6141,4708
1846,6135,4719
1819,6090,4713
1789,6084,4719
1802,6111,4721
1846,6135,4719
1859,6098,4681
1846,6084,4658
1836,6108,4652
1846,6135,4658
1849,6085,4628
1846,6034,4598
1840,6018,4584
1846,6034,4598
1864,6003,4579
1904,5983,4537
1943,5994,4485
1962,6034,4477
1952,6017,4478
1962,5983,4477
2011,5958,4439
2077,5983,4416
2100,6001,4404
2077,6034,4416
2051,6071,4410
2077,6135,4416
2138,6169,4431
2193,6186,4477
2218,6189,4506
2250,6236,4537
2288,6290,4570
2308,6338,4658
2299,6349,4784
2308,6388,4961
2327,6441,5151
2308,6490,5384
2233,6484,5639
2193,6490,5928
2221,6525,6189
2250,6591,6412
2203,6621,6570
2135,6642,6715
2100,6643,6837
2077,6642,6957
2016,6620,7043
1962,6642,7138
1939,6680,7241
1904,6693,7380
1838,6651,7505
1789,6591,7622
1775,6549,7723
1846,6642,7864
1887,6715,8016
1731,6541,8167
1566,6294,8264
1789,6490,8348
2057,6806,8411
1673,6490,8469
1151,5978,8475
1673,6490,8469
2458,7253,8454
1673,6439,8469
442,5157,8469
1673,6439,8469
3769,8675,8455
1673,6338,8469
-3560,-389,8472
-3635,-3194,8469
4216,2426,8431
11078,9735,8409
8821,10494,8379
1789,6490,8348
-924,4694,8281
1327,6338,8227
2713,7339,8169
1442,6388,8106
620,5794,7986
1442,6439,7864
1978,6801,7754
1500,6388,7683
1228,6175,7576
1558,6490,7441
1697,6645,7273
1500,6490,7138
1471,6401,7010
1616,6490,6896
1561,6494,6762
1442,6439,6654
1502,6437,6553
1500,6388,6473
1321,6273,6371
1327,6338,6291
1477,6476,6236
1269,6338,6231
904,6079,6210
1212,6338,6170
1759,6741,6095
1269,6338,6049
447,5670,6014
1269,6287,5989
2601,7294,5927
1269,6338,5868
-1165,4622,5801
1154,6236,5747
8138,10198,5675
11078,9735,5626
4859,2720,5586
-3635,-3194,5565
-5302,-1195,5526
-1096,5070,5505
1802,7813,5495
1269,6338,5505
719,5399,5481
1673,6591,5444
2279,7377,5397
1789,6794,5384
1514,6424,5378
1962,6946,5384
2299,7296,5359
2250,7098,5324
2312,6998,5275
2596,7301,5263
2791,7613,5261
2885,7808,5263
3021,8002,5229
3116,8214,5203
3013,8308,5187
2769,8315,5203
2425,8211,5203
1962,7960,5203
1420,7595,5192
923,7250,5203
551,6963,5205
288,6743,5203
138,6582,5169
231,6591,5142
620,6794,5123
1154,7149,5142
1588,7520,5151
1846,7859,5142
1991,8043,5099
2077,7960,5082
2066,7544,5079
1962,6997,5082
1838,6548,5047
1789,6338,5021
1793,6248,5010
1789,6186,5021
1747,6105,5015
1731,6084,5021
1760,6088,5023
1789,6084,5021
1763,6035,4983
1731,6034,4961
1744,6081,4955
1789,6135,4961
1803,6111,4929
1789,6084,4900
1780,6091,4886
1789,6135,4900
1789,6136,4898
1789,6135,4900
1789,6133,4897
1789,6135,4900
1778,6095,4870
1789,6084,4840
1820,6106,4820
1846,6135,4840
1827,6105,4850
1789,6084,4840
1769,6098,4798
1789,6135,4779
1802,6100,4775
1789,6034,4779
1766,5992,4749
1789,6034,4719
1833,6077,4701
1846,6084,4719
1808,6043,4725
1789,6034,4719
1814,6037,4682
1846,6034,4658
1841,5990,4643
1846,5983,4658
1882,6009,4663
1904,6034,4658
1869,5983,4621
1846,5932,4598
1888,5926,4585
1962,5983,4598
1997,6016,4595
2019,6034,4598
2053,6029,4589
2077,6034,4598
2065,6019,4593
2077,6034,4598
2137,6071,4588
2193,6135,4598
2190,6164,4609
2193,6186,4658
2245,6197,4726
2308,6236,4840
2316,6274,4970
2308,6338,5142
2314,6391,5330
2308,6439,5565
2263,6454,5821
2250,6490,6110
2291,6535,6371
2308,6591,6594
2230,6614,6750
2135,6642,6896
2110,6665,7021
2135,6693,7138
2121,6687,7220
2077,6693,7320
2034,6690,7430
2019,6693,7562
1997,6685,7672
1904,6642,7804
1779,6568,7946
1846,6642,8106
1983,6744,8230
1789,6591,8348
1486,6351,8443
1789,6591,8530
2271,6930,8564
1789,6490,8590
1022,5849,8608
1789,6490,8651
2995,7461,8677
1789,6490,8711
-243,4890,8717
1731,6490,8711
6245,9727,8669
5539,7960,8651
-1134,630,8642
-3635,-3194,8651
3472,2105,8621
11078,9735,8590
9137,10667,8551
1616,6490,8530
-1310,4592,8474
1269,6338,8409
2789,7380,8313
1269,6338,8227
333,5710,8126
1327,6439,8046
1960,6864,7953
1385,6439,7864
1050,6198,7740
1442,6490,7622
1629,6613,7493
1385,6439,7380
1277,6358,7251
1385,6439,7138
1345,6406,7013
1269,6338,6896
1346,6379,6760
1327,6388,6654
1133,6289,6570
1154,6338,6533
1337,6469,6494
1154,6338,6473
796,6066,6438
1096,6287,6412
1622,6654,6354
1096,6236,6291
238,5569,6215
1039,6186,6170
2365,7189,6132
1039,6236,6110
-1381,4540,6055
981,6186,5989
8047,10179,5909
11078,9735,5868
4896,2722,5834
-3635,-3194,5807
-5346,-1183,5761
-1096,5121,5747
1929,7920,5745
1500,6490,5747
967,5549,5709
1904,6693,5686
2528,7427,5678
2077,6845,5686
1829,6526,5657
2308,7098,5626
2688,7472,5590
2654,7301,5565
2696,7253,5521
3000,7605,5505
3272,7927,5503
3404,8112,5505
3485,8319,5467
3520,8569,5444
3437,8698,5439
3231,8721,5444
2849,8620,5410
2308,8366,5384
1740,7996,5375
1269,7656,5384
910,7375,5354
635,7149,5324
483,6975,5308
577,6997,5324
925,7222,5305
1385,7555,5263
1781,7862,5210
2077,8163,5203
2266,8347,5205
2308,8214,5203
2169,7649,5165
1962,6946,5142
1820,6436,5132
1789,6236,5142
1790,6152,5136
1789,6084,5142
1782,6008,5144
1789,5983,5142
1789,5968,5106
1789,5983,5082
1785,6000,5073
1789,6034,5082
1805,6034,5055
1846,6034,5021
1873,6024,4998
1846,6034,5021
1788,6027,5034
1789,6034,5021
1856,6027,4976
1904,6034,4961
1859,6024,4961
1789,6034,4961
1767,6031,4923
1789,6034,4900
1792,6020,4895
1789,6034,4900
1793,6040,4867
1789,6034,4840
1750,5991,4830
1731,5983,4840
1755,6003,4813
1789,6034,4779
1785,6012,4758
1789,5983,4779
1822,5952,4789
1846,5932,4779
1816,5889,4740
1789,5881,4719
1807,5901,4707
1846,5932,4719
1848,5909,4718
1846,5881,4719
1871,5866,4692
1904,5881,4658
1903,5875,4610
1904,5881,4598
1930,5883,4596
1962,5881,4598
1959,5841,4561
1962,5831,4537
2006,5863,4525
2077,5932,4537
2117,5964,4529
2135,5983,4537
2155,5994,4553
2193,6034,4598
2222,6071,4638
2250,6135,4719
2278,6191,4822
2308,6236,4961
2315,6246,5108
2308,6287,5324
2299,6357,5585
2308,6439,5868
2315,6454,6108
2308,6439,6352
2277,6432,6596
2250,6490,6836
2224,6551,7002
2193,6591,7138
2153,6584,7256
2135,6591,7380
2120,6609,7453
2077,6642,7501
1994,6639,7538
1962,6642,7622
1996,6663,7725
1962,6642,7864
1834,6548,8005
1904,6591,8167
2107,6705,8299
1962,6591,8409
1598,6365,8469
1789,6591,8530
2233,6922,8582
1789,6490,8651
1045,5854,8687
1789,6490,8711
2976,7460,8705
1789,6490,8711
-208,4875,8704
1789,6439,8711
6308,9638,8703
5597,7859,8711
-1098,564,8706
-3635,-3194,8711
3451,2144,8685
11078,9735,8651
9181,10575,8584
1673,6338,8530
-1283,4452,8464
1269,6236,8409
2791,7290,8322
1269,6236,8227
302,5607,8101
1269,6338,7985
1904,6756,7855
1327,6338,7743
975,6141,7616
1385,6490,7501
1640,6634,7372
1442,6439,7259
1313,6340,7133
1385,6439,7017
1347,6442,6885
1269,6388,6775
1305,6409,6669
1269,6388,6594
1131,6280,6518
1212,6338,6473
1382,6477,6430
1154,6338,6412
788,6044,6380
1096,6236,6352
1614,6588,6292
1096,6186,6231
280,5553,6157
1096,6186,6110
2383,7169,6053
1039,6186,5989
-1321,4480,5887
1096,6135,5807
8126,10148,5755
11078,9735,5747
4873,2747,5722
-3635,-3194,5686
-5351,-1261,5637
-1154,4969,5626
1811,7735,5624
1327,6287,5626
732,5330,5594
1616,6490,5565
2224,7270,5529
1789,6693,5505
1550,6314,5464
2019,6845,5444
2376,7245,5435
2308,7098,5444
2313,7006,5421
2596,7301,5384
2868,7632,5336
3000,7859,5324
3078,8061,5319
3116,8264,5324
3023,8360,5313
2769,8366,5324
2345,8239,5328
1846,7960,5324
1374,7589,5285
923,7250,5263
498,6947,5256
231,6693,5263
246,6528,5233
519,6591,5203
877,6853,5184
1212,7200,5203
1526,7521,5209
1846,7859,5203
2084,8096,5167
2135,8011,5142
2004,7491,5125
1846,6845,5142
1761,6399,5151
1731,6236,5142
1690,6154,5100
1673,6084,5082
1716,6031,5079
1789,6034,5082
1809,6026,5047
1789,6034,5021
1776,6035,5011
1789,6034,5021
1793,6006,4995
1789,6034,4961
1786,6096,4938
1789,6135,4961
1784,6095,4973
1789,6084,4961
1797,6115,4916
1789,6135,4900
1751,6067,4899
1731,6034,4900
1750,6075,4864
1789,6135,4840
1798,6093,4832
1789,6034,4840
1781,6032,4811
1789,6084,4779
1790,6074,4760
1789,6034,4779
1786,6009,4787
1789,6034,4779
1786,6036,4743
1789,6034,4719
1789,6026,4703
1789,6034,4719
1780,6007,4725
1789,5983,4719
1814,5966,4680
1846,5983,4658
1852,5983,4650
1846,5983,4658
1856,5971,4634
1904,5983,4598
1952,5982,4552
1962,5983,4537
1925,5967,4528
1904,5983,4537
1937,6005,4533
2019,6034,4537
2094,6028,4528
2135,6034,4537
2138,6047,4535
2135,6084,4537
2145,6104,4524
2193,6135,4537
2258,6155,4557
2308,6186,4598
2315,6212,4634
2308,6287,4719
2304,6373,4844
2308,6439,5021
2304,6436,5209
2308,6439,5444
2297,6473,5704
2250,6541,5989
2191,6571,6238
2193,6591,6473
2226,6607,6668
2193,6642,6836
2078,6645,6937
2019,6642,7017
