II,V,PLETH
2043,2052,6929
2190,2337,7865
1824,2075,6980
1731,1943,6532
2007,2097,7031
2163,2172,7333
2043,2030,7082
1937,1912,6947
1970,1985,7183
1902,2110,7327
1605,2120,7234
1345,2009,7187
1569,1872,7285
2510,1746,7327
3977,1579,7285
5421,1252,7266
6385,744,7285
6852,228,7251
7005,0,7183
6637,210,7125
5327,744,7082
3246,1327,7006
1386,1759,6929
583,1995,6841
730,2120,6776
1129,2201,6695
1386,2255,6623
1514,2240,6539
1569,2165,6470
1527,2102,6385
1496,2142,6317
1591,2255,6250
1751,2323,6215
1809,2261,6181
1788,2142,6165
1845,2077,6132
2043,2097,6114
2210,2128,6095
2189,2120,6114
1972,2086,6133
1751,2075,6165
1660,2093,6177
1715,2120,6215
1808,2120,6259
1897,2097,6317
1988,2071,6343
2080,2075,6368
2118,2086,6383
2080,2075,6419
1983,2025,6440
1897,1985,6470
1863,1979,6487
1897,2007,6521
1968,2033,6543
2043,2052,6572
2077,2057,6573
2080,2052,6572
2090,2034,6556
2153,2030,6572
2218,2044,6593
2225,2075,6623
2183,2097,6618
2189,2120,6623
2239,2139,6632
2225,2142,6674
2091,2092,6698
1970,2007,6725
2000,1948,6736
2153,1985,6776
2261,2081,6816
2262,2142,6878
2213,2088,6921
2189,1962,6980
2158,1860,7037
2080,1849,7133
1981,1894,7230
1970,1940,7336
2072,1958,7409
2225,1985,7489
2353,2029,7571
2444,2075,7693
2447,2069,7802
2298,2007,7897
2049,1920,7945
1897,1872,7999
1914,1875,8045
1970,1917,8101
1936,1951,8123
1897,1962,8151
1930,1941,8171
1970,1917,8202
1948,1917,8189
1970,1962,8151
2090,2002,8086
2153,1985,8050
1977,1911,8004
1678,1872,7948
1528,1903,7842
1642,1962,7744
1830,1980,7652
1897,1985,7591
1805,2018,7511
1715,2075,7438
1716,2100,7352
1824,2075,7285
1976,2006,7201
2153,1917,7133
2266,1851,7063
2225,1872,7031
2083,1943,6996
2043,1962,6980
2136,1883,6945
2153,1827,6929
