II,V,PLETH
2563,708,7012
2934,793,7943
2593,708,7012
2391,688,6516
2593,779,6981
2772,907,7251
2710,1133,6950
2696,1604,6749
3034,2337,6918
3668,3183,7001
4390,3966,6856
5070,4470,6763
5627,4390,6825
5876,3470,6836
5627,1841,6763
4896,128,6718
4007,-921,6731
3333,-998,6714
3005,-425,6669
2872,210,6629
2769,567,6607
2654,678,6570
2563,708,6544
2494,721,6508
2445,708,6482
2405,686,6434
2386,708,6389
2378,780,6332
2386,850,6295
2396,866,6247
2416,850,6202
2429,838,6133
2445,850,6077
2444,853,6012
2445,850,5952
2439,844,5869
2445,850,5796
2451,853,5724
2475,850,5672
2494,848,5606
2504,850,5547
2495,850,5477
2504,850,5422
2531,848,5355
2563,850,5298
2566,849,5237
2563,850,5204
2568,849,5170
2593,850,5142
2609,849,5091
2622,850,5049
2631,850,5005
2651,850,4986
2665,848,4965
2681,850,4955
2700,851,4934
2740,850,4924
2776,846,4903
2799,850,4893
2804,854,4872
2828,850,4862
2870,841,4841
2917,850,4830
2943,865,4810
2976,850,4799
3018,784,4779
3064,708,4768
3082,661,4747
3093,637,4737
3106,605,4717
3123,567,4706
3123,530,4685
3123,496,4675
3115,454,4655
3093,425,4643
3044,417,4622
3005,425,4612
2978,444,4593
2946,496,4581
2875,573,4559
2799,637,4550
2742,668,4534
2710,708,4519
2666,780,4483
2622,850,4456
2593,867,4433
2593,850,4425
2585,839,4398
2563,850,4363
2525,855,4319
2504,850,4301
2497,845,4285
2504,850,4269
2502,851,4231
2504,850,4207
2502,848,4188
2504,850,4176
2499,850,4141
2504,850,4114
2507,848,4092
2504,850,4082
2483,849,4051
2475,850,4020
2483,848,3994
2504,850,3989
2506,849,3975
2504,850,3958
2509,848,3934
2534,850,3927
2552,850,3913
2563,850,3895
2560,848,3860
2563,850,3833
2562,851,3811
2563,850,3802
2557,842,3785
2563,850,3771
2573,898,3748
2593,991,3708
2605,1066,3587
2622,1062,3366
2636,1004,3069
2651,991,2805
2652,1038,2623
2651,1062,2524
2647,1019,2442
2651,991,2368
2650,1028,2303
2651,1062,2275
2656,1028,2254
2681,991,2244
2703,1020,2230
2710,1062,2244
2691,1038,2267
2681,991,2306
2686,1003,2340
2710,1062,2400
2732,1103,2476
2769,1133,2587
2814,1191,2700
2858,1275,2836
2876,1349,2979
2887,1416,3148
2897,1471,3313
2917,1487,3490
2936,1471,3667
2976,1487,3864
3009,1525,4062
3005,1487,4269
2937,1322,4459
2858,1133,4643
2799,1029,4812
2769,991,4986
2735,930,5138
2710,850,5267
2683,796,5357
2651,779,5454
2593,748,5557
2563,708,5672
2560,670,5757
2563,637,5828
2536,618,5884
2534,637,5952
2557,684,6004
2563,708,6046
2537,697,6060
2563,708,6077
2615,754,6087
2593,779,6108
2522,767,6111
2593,850,6108
2768,1181,6086
2858,1770,6077
2978,2475,6061
3594,3187,6046
4704,3871,6008
5627,4390,5983
5841,4354,5961
5627,3399,5952
5377,1670,5920
4949,-71,5890
4112,-1008,5851
3241,-921,5828
2844,-264,5792
2858,354,5765
2828,649,5729
2651,708,5703
2529,704,5665
2534,708,5641
2514,709,5607
2445,708,5578
2413,710,5528
2445,708,5485
2459,696,5434
2445,708,5391
2433,747,5327
2445,779,5267
2444,773,5198
2445,779,5142
2449,817,5067
2475,850,4986
2492,823,4886
2504,779,4799
2500,790,4713
2504,850,4643
2512,882,4563
2534,850,4488
2548,793,4403
2563,779,4332
2573,812,4252
2593,850,4176
2607,857,4089
2622,850,4020
2621,847,3953
2622,850,3895
2626,848,3826
2651,850,3771
2681,854,3718
2710,850,3677
2723,836,3624
2740,850,3584
2762,911,3546
2799,991,3522
2828,1024,3485
2858,991,3459
2882,937,3436
2917,921,3428
2945,930,3409
2976,921,3397
3000,880,3378
3034,850,3366
3066,830,3343
3093,779,3335
3106,691,3330
3123,637,3335
3138,642,3321
3152,637,3303
3142,567,3281
3123,496,3272
3093,503,3257
3064,567,3241
3020,591,3218
2976,567,3210
2926,565,3198
2887,637,3179
2842,730,3141
2799,779,3116
2749,796,3100
2710,850,3085
2674,938,3050
2651,991,3023
2630,985,3004
2622,991,2992
2608,1039,2958
2593,1062,2929
2569,1019,2909
2563,991,2898
2562,1029,2867
2563,1062,2836
2554,1025,2813
2563,991,2805
2581,1025,2778
2593,1062,2742
2574,1029,2702
2563,991,2680
2571,1021,2662
2593,1062,2649
2593,1035,2621
2593,991,2587
2600,1009,2545
2622,1062,2524
2626,1074,2510
2622,1062,2493
2615,1064,2458
2622,1062,2431
2621,1022,2413
2622,991,2400
2625,1015,2367
2651,1062,2337
2682,1073,2315
2710,1062,2306
2715,1061,2288
2710,1062,2275
2702,1051,2260
2710,1062,2244
2722,1106,2209
2740,1133,2181
2751,1101,2162
2769,1062,2150
2784,1077,2118
2799,1133,2088
2799,1158,2064
2799,1133,2057
2795,1088,2039
2799,1062,2026
2797,1055,2015
2799,1062,2026
2795,1068,2044
2799,1062,2088
2796,1031,2142
2799,991,2213
2795,971,2280
2799,991,2368
2797,1013,2467
2799,991,2587
2795,937,2702
2799,921,2836
2796,955,2978
2799,991,3148
2811,1007,3322
2858,1062,3522
2911,1175,3731
2946,1275,3958
2950,1311,4166
2976,1345,4363
3024,1405,4542
3064,1416,4737
3061,1338,4928
3064,1275,5111
3092,1302,5256
3123,1345,5391
3097,1301,5515
3034,1204,5641
2958,1108,5740
2887,991,5828
2819,845,5893
2799,779,5952
2817,822,5986
2828,850,6015
2765,751,6029
2681,637,6046
2624,614,6044
2622,637,6046
2621,608,6040
2622,567,6046
2619,587,6034
2622,637,6015
2630,644,5975
2681,637,5952
2727,670,5931
2710,708,5921
2662,694,5889
2710,708,5859
2819,909,5819
2858,1345,5796
2893,1896,5762
3241,2478,5734
3956,3178,5695
4714,4036,5672
5240,4697,5639
5627,4532,5609
5865,3251,5560
5627,1345,5516
4757,-253,5463
3742,-921,5422
3158,-722,5371
3034,-142,5329
2977,369,5278
2828,637,5236
2696,710,5175
2651,708,5111
2610,703,5028
2563,708,4955
2540,709,4875
2534,708,4799
2496,706,4704
2475,708,4612
2490,708,4513
2504,708,4425
2466,704,4327
2445,708,4238
2484,709,4141
2563,708,4051
2594,700,3951
2593,708,3864
2585,741,3778
2593,779,3708
2581,792,3637
2563,779,3584
2551,767,3532
2563,779,3490
2574,794,3437
2593,779,3397
2617,734,3360
2651,708,3335
2663,730,3298
2651,779,3272
2623,801,3249
2622,779,3241
2662,737,3223
2740,708,3210
2793,700,3191
2799,708,3179
2777,733,3157
2799,779,3148
2862,828,3142
2917,850,3148
2902,829,3135
2858,779,3116
2841,712,3091
2887,637,3085
2951,577,3083
3005,567,3085
3035,583,3070
3064,567,3054
3075,494,3034
3064,425,3023
3035,392,3005
3034,354,2992
3054,276,2973
3064,212,2961
3034,202,2942
3005,212,2929
2981,202,2912
2946,212,2898
2877,275,2869
2828,354,2836
2821,413,2797
2828,496,2774
2791,617,2755
2740,708,2742
2711,716,2713
2710,708,2680
2689,763,2642
2651,850,2618
2620,878,2588
2622,850,2555
2626,831,2515
2622,850,2493
2610,864,2479
2622,850,2462
2643,833,2426
2651,850,2400
2614,891,2382
2563,921,2368
2526,902,2335
2534,850,2306
2562,821,2287
2593,850,2275
2581,884,2244
2534,850,2213
2484,756,2190
2504,708,2181
2581,759,2165
2651,850,2150
2643,881,2135
2593,850,2119
2555,825,2087
2563,850,2057
2571,873,2034
2563,850,2026
2556,817,2010
2593,850,1994
2638,916,1975
2651,921,1963
2632,859,1946
2651,850,1932
2707,930,1913
2740,991,1901
2715,956,1884
2710,921,1870
2749,959,1850
2769,991,1839
2708,927,1822
2651,850,1807
2682,864,1786
2769,921,1776
2783,907,1770
2710,850,1776
2637,831,1782
2651,850,1807
2710,850,1844
2740,850,1901
2704,865,1963
2651,850,2057
2603,772,2170
2563,708,2306
2532,723,2429
2563,779,2555
2642,813,2682
2710,850,2836
2713,921,3006
2710,991,3210
2745,1025,3422
2799,1062,3646
2807,1118,3859
2799,1133,4082
2811,1084,4300
2858,1062,4519
2900,1107,4719
2946,1133,4924
2982,1071,5117
2976,991,5298
2886,941,5441
2769,850,5578
2698,682,5705
2710,567,5828
2733,585,5912
2710,637,5983
2629,566,6042
2563,425,6108
2525,343,6148
2504,354,6170
2462,370,6167
2445,354,6170
2466,344,6166
2504,354,6170
2525,358,6156
2563,354,6139
2599,371,6103
2593,425,6077
2547,473,6042
2563,496,6015
2624,571,5976
2651,850,5952
2717,1402,5921
3093,2195,5890
3816,3182,5836
4596,4249,5796
5183,5005,5759
5627,4886,5734
5879,3649,5687
5627,1700,5641
4731,-229,5586
3653,-1558,5547
2975,-2022,5496
2799,-1629,5454
2782,-735,5402
2710,71,5360
2613,415,5298
2563,425,5236
2519,421,5164
2475,496,5111
2446,532,5051
2445,496,4986
2442,469,4892
2445,496,4799
2447,534,4699
2445,567,4612
2429,600,4514
2445,637,4425
2479,645,4329
2504,637,4238
2475,630,4128
2445,637,4020
2451,643,3912
2504,637,3833
2548,634,3754
2563,637,3677
2555,642,3587
2563,637,3522
2577,627,3468
2593,637,3428
2599,672,3374
2622,708,3335
2652,717,3300
2681,708,3272
2692,703,3221
2710,708,3179
2730,711,3150
2740,708,3148
2719,705,3134
2710,708,3116
2746,710,3093
2828,708,3085
2894,705,3071
2917,708,3054
2907,711,3029
2917,708,3023
2944,703,3022
2976,708,3023
2986,716,3005
3005,708,2992
3034,675,2985
3064,637,2992
3065,604,2981
3064,567,2961
3081,501,2935
3123,425,2929
3140,369,2928
3123,354,2929
3083,356,2914
3064,354,2898
3063,344,2878
3064,354,2867
3023,405,2850
2946,496,2836
