II,aVL,PLETH,RESP
2532,1837,4026,2994
2875,2087,4617,3357
2570,1837,4164,2913
2430,1681,3949,2663
2608,1779,4267,2833
2681,1846,4464,2918
2570,1779,4336,2752
2531,1738,4265,2631
2645,1779,4404,2672
2697,1808,4492,2675
2645,1779,4439,2575
2618,1766,4400,2499
2683,1779,4439,2495
2720,1773,4446,2475
2683,1722,4404,2414
2659,1686,4374,2361
2721,1722,4370,2334
2734,1806,4344,2300
2570,1894,4301,2253
2374,2048,4261,2203
2419,2353,4232,2157
2603,2689,4195,2106
2645,2870,4164,2060
2772,2984,4124,2008
3704,3157,4095,1963
5478,2868,4058,1920
7067,1320,4026,1883
7547,-1259,3976,1841
7256,-3387,3923,1803
7091,-4004,3860,1760
7256,-3616,3819,1722
7191,-3271,3784,1680
6576,-3042,3751,1642
5643,-2360,3696,1601
4762,-1205,3647,1561
4066,-195,3605,1512
3590,344,3579,1465
3315,617,3542,1420
3174,861,3510,1384
3057,1051,3472,1346
2948,1148,3441,1304
2856,1200,3400,1253
2797,1263,3372,1207
2748,1323,3348,1164
2721,1378,3338,1127
2700,1415,3317,1086
2683,1435,3303,1046
2655,1431,3284,1003
2645,1435,3269,966
2638,1458,3244,930
2645,1492,3235,901
2639,1531,3231,870
2645,1550,3235,837
2654,1535,3217,801
2683,1492,3200,773
2703,1452,3179,748
2721,1435,3166,724
2722,1435,3142,692
2721,1435,3131,660
2714,1429,3126,632
2721,1435,3131,612
2723,1442,3117,588
2721,1435,3097,563
2710,1417,3072,537
2721,1435,3062,515
2743,1494,3046,491
2759,1550,3028,467
2740,1542,3002,441
2721,1492,2994,418
2714,1463,2991,400
2721,1492,2994,386
2716,1537,2978,371
2721,1550,2959,354
2736,1519,2937,335
2759,1492,2925,322
2760,1485,2906,313
2759,1492,2890,306
2757,1504,2869,292
2759,1550,2856,274
2749,1617,2836,254
2759,1665,2822,241
2780,1664,2801,234
2797,1665,2787,225
2778,1690,2767,210
2759,1722,2753,193
2751,1736,2733,176
2759,1779,2718,161
2753,1868,2698,144
2759,1952,2684,129
2775,1969,2665,113
2797,1952,2650,97
2794,1945,2629,78
2797,1952,2615,64
2819,1944,2597,56
2872,1952,2581,48
2925,1985,2557,34
2986,2009,2546,16
3042,1968,2542,4
3099,1894,2546,0
3136,1844,2534,0
3174,1837,2512,0
3213,1823,2484,0
3250,1779,2477,0
3257,1714,2478,0
3250,1665,2477,0
3240,1647,2459,0
3250,1665,2443,0
3255,1678,2425,0
3250,1665,2409,0
3226,1624,2383,0
3212,1607,2374,0
3197,1627,2374,0
3174,1665,2374,0
3129,1674,2354,0
3099,1665,2340,0
3089,1655,2337,0
3099,1665,2340,0
3098,1669,2322,0
3099,1665,2305,0
3087,1654,2300,0
3061,1665,2305,0
3012,1691,2292,0
2986,1722,2271,0
2984,1731,2258,0
2986,1722,2271,0
2948,1710,2279,0
2910,1722,2271,0
2896,1750,2245,0
2910,1779,2237,0
2901,1786,2238,0
2872,1779,2237,0
2838,1771,2215,0
2834,1779,2202,0
2845,1785,2201,0
2872,1779,2202,0
2891,1767,2182,0
2910,1779,2168,0
2932,1794,2165,0
2986,1779,2168,0
3038,1734,2149,0
3061,1722,2133,0
3039,1753,2129,0
3023,1779,2133,0
3023,1753,2117,0
3023,1722,2099,0
2995,1735,2090,0
2986,1779,2099,0
3014,1794,2098,0
3061,1779,2099,0
3061,1768,2105,0
3023,1779,2133,0
2985,1783,2163,0
2986,1779,2202,0
2983,1788,2244,0
2948,1837,2305,0
2880,1901,2368,0
2834,1952,2443,0
2813,1961,2519,0
2797,1952,2615,0
2755,1945,2715,0
2721,1952,2822,0
2691,1939,2919,0
2645,1894,3028,0
2571,1825,3141,0
2532,1779,3269,0
2545,1768,3389,0
2570,1779,3510,0
2551,1782,3616,0
2532,1779,3716,0
2543,1774,3799,0
2570,1779,3888,0
2566,1779,3975,0
2570,1779,4060,0
2602,1775,4118,0
2645,1779,4164,0
2646,1779,4195,0
2645,1779,4232,0
2656,1784,4262,0
2683,1779,4301,0
2680,1758,4335,0
2683,1722,4370,0
2695,1689,4386,0
2721,1665,4404,0
2722,1671,4418,0
2721,1722,4439,0
2724,1766,4441,0
2721,1779,4439,0
2641,1876,4431,0
2494,2181,4439,0
2385,2537,4441,0
2456,2698,4439,0
2697,2767,4418,0
3099,3100,4404,0
3820,3510,4387,0
5026,3157,4370,0
6389,1517,4333,0
7256,-804,4301,0
7384,-2691,4275,0
7256,-3616,4267,0
7291,-3819,4240,0
7256,-3616,4198,0
