aVF,V,PLETH
4359,6529,7525
4908,7346,8500
4214,6397,7473
3724,5866,6927
3826,6265,7421
3832,6489,7703
3439,6133,7369
3027,5822,7158
2809,5870,7369
2578,5913,7499
2228,5804,7369
1894,5729,7282
1647,5738,7369
1423,5664,7416
1211,5540,7369
1047,5496,7337
920,5540,7369
790,5555,7382
678,5540,7369
611,5530,7355
581,5540,7369
555,5534,7388
533,5540,7421
515,5536,7421
533,5540,7421
575,5528,7410
630,5540,7421
662,5545,7416
678,5540,7421
688,5510,7413
726,5540,7421
803,5626,7415
920,5738,7421
1047,5803,7400
1162,5870,7369
1261,5943,7307
1356,6001,7266
1431,5965,7229
1453,5870,7214
1401,5754,7178
1308,5672,7162
1219,5593,7148
1162,5540,7162
1114,5500,7158
1065,5474,7162
998,5435,7152
920,5408,7162
810,5397,7156
678,5408,7162
556,5406,7154
484,5408,7162
470,5402,7155
484,5408,7162
492,5401,7154
484,5408,7162
476,5405,7154
484,5408,7162
504,5396,7154
581,5408,7162
855,5382,7154
1453,5210,7162
2286,4689,7154
3148,3759,7162
3972,2521,7154
4795,1319,7162
5336,505,7154
5037,330,7162
3691,734,7154
1840,1517,7162
247,2427,7154
-726,3363,7162
-1085,4227,7154
-872,4946,7162
-259,5416,7154
339,5672,7162
588,5786,7154
581,5870,7162
578,5917,7154
630,5935,7162
622,5919,7154
581,5935,7162
603,5968,7155
678,6001,7162
709,5994,7154
726,6001,7162
792,6028,7155
920,6067,7162
1039,6088,7154
1162,6133,7162
1287,6203,7156
1405,6265,7162
1493,6267,7152
1598,6265,7162
1742,6286,7158
1889,6331,7162
2002,6334,7147
2131,6331,7162
2310,6343,7181
2518,6397,7214
2709,6433,7212
2906,6463,7214
3127,6483,7205
3342,6529,7214
3491,6562,7205
3584,6595,7214
3658,6615,7210
3729,6661,7214
3772,6700,7198
3778,6727,7214
3745,6699,7235
3681,6661,7266
3586,6617,7259
3487,6595,7266
3395,6542,7280
3293,6463,7318
3135,6352,7320
2906,6265,7318
2633,6191,7304
2373,6133,7318
2133,6039,7314
1889,5935,7318
1617,5837,7306
1356,5804,7318
1136,5799,7315
969,5804,7318
830,5769,7302
726,5738,7318
647,5699,7335
581,5672,7369
502,5625,7383
436,5606,7421
394,5599,7464
387,5606,7525
396,5574,7551
436,5540,7577
501,5516,7592
581,5540,7629
641,5570,7649
678,5606,7681
686,5610,7699
678,5606,7733
675,5587,7750
726,5606,7785
850,5653,7807
1017,5738,7837
1164,5809,7834
1259,5870,7837
1314,5884,7826
1356,5870,7837
1390,5808,7830
1405,5738,7837
1387,5660,7828
1356,5606,7837
1327,5542,7829
1308,5474,7837
1259,5394,7828
1162,5342,7837
1002,5304,7829
823,5276,7837
671,5231,7828
581,5210,7837
545,5203,7829
533,5210,7837
527,5197,7828
533,5210,7837
553,5238,7828
581,5276,7837
619,5277,7828
726,5276,7837
985,5244,7828
1453,5144,7837
2113,4889,7828
2906,4485,7837
3741,3927,7828
4504,3297,7837
4998,2733,7828
4988,2506,7837
4311,2759,7828
3051,3429,7837
1558,4201,7829
291,4814,7837
-450,5145,7828
-630,5276,7837
-424,5290,7829
-48,5276,7837
319,5252,7827
581,5276,7837
714,5332,7830
775,5408,7837
819,5447,7826
872,5474,7837
904,5478,7832
920,5474,7837
942,5435,7821
1017,5408,7837
1116,5396,7856
1211,5408,7888
1273,5405,7885
1356,5408,7888
1466,5406,7880
1598,5408,7888
1715,5393,7877
1840,5408,7888
1983,5439,7903
2131,5474,7940
2252,5452,7942
2373,5408,7940
2523,5358,7924
2712,5342,7940
2908,5330,7942
3100,5342,7940
3277,5362,7904
3439,5408,7888
3568,5441,7877
3681,5474,7888
3794,5477,7866
3923,5474,7837
4054,5457,7777
4165,5474,7733
4222,5505,7686
4214,5540,7681
4149,5520,7677
4068,5474,7681
3981,5419,7648
3875,5408,7629
3724,5408,7613
3536,5408,7629
3309,5372,7625
3051,5342,7629
2761,5324,7619
2470,5342,7629
2194,5349,7623
1937,5342,7629
1682,5302,7620
1453,5276,7629
1272,5259,7622
1162,5276,7629
1088,5297,7620
1017,5342,7629
919,5377,7623
823,5408,7629
750,5405,7619
726,5408,7629
724,5403,7625
726,5408,7629
717,5398,7616
726,5408,7629
760,5411,7635
823,5408,7629
892,5385,7548
969,5408,7421
1054,5468,7253
1162,5540,7110
1283,5568,6982
1405,5606,6902
1496,5665,6835
1550,5738,6799
1589,5754,6758
1647,5738,6747
1700,5702,6736
1695,5672,6747
1619,5607,6741
1550,5540,6747
1550,5486,6738
1598,5474,6747
1593,5454,6740
1501,5408,6747
1349,5330,6739
1211,5276,6747
1103,5256,6740
1017,5276,6747
937,5281,6738
872,5276,6747
833,5260,6743
823,5276,6747
825,5283,6721
823,5276,6695
812,5248,6655
823,5276,6643
915,5333,6634
1162,5342,6643
1590,5144,6622
2179,4682,6591
2866,3939,6545
3584,3034,6539
4203,2162,6539
4504,1649,6539
4217,1681,6502
3245,2242,6487
1827,3047,6482
484,3825,6487
-327,4403,6455
-484,4814,6435
-209,5107,6426
194,5342,6435
521,5482,6408
726,5540,6383
827,5531,6367
872,5540,6383
892,5566,6382
920,5606,6383
960,5607,6373
1017,5606,6383
1067,5616,6379
1114,5672,6383
1165,5718,6375
1259,5738,6383
1363,5724,6377
1453,5738,6383
1510,5771,6376
1598,5804,6383
1719,5798,6377
1840,5804,6383
1929,5827,6377
2034,5870,6383
2188,5875,6377
2373,5870,6383
2540,5858,6377
2712,5870,6383
2916,5864,6376
3148,5870,6383
3368,5884,6377
3584,5935,6383
3805,5974,6376
4020,6001,6383
4189,5995,6378
4310,6001,6383
4396,6019,6375
4456,6067,6383
4476,6085,6380
4456,6067,6383
4384,6015,6370
4262,6001,6383
4098,6006,6403
3923,6001,6435
3740,5935,6436
3536,5870,6435
3297,5824,6425
3051,5804,6435
2810,5743,6432
2567,5672,6435
2300,5613,6426
2034,5606,6435
1794,5586,6432
1598,5540,6435
1419,5457,6424
1259,5408,6435
1117,5390,6436
1017,5408,6435
937,5407,6402
872,5408,6383
809,5398,6371
775,5408,6383
764,5404,6378
775,5408,6383
775,5401,6378
775,5408,6383
783,5400,6371
823,5408,6383
884,5438,6402
969,5540,6435
1074,5671,6436
1211,5804,6435
1348,5880,6425
1453,5935,6435
1511,5970,6431
1550,6001,6435
1584,5984,6427
1598,5935,6435
1564,5860,6430
1501,5804,6435
1456,5739,6428
1453,5672,6435
1451,5592,6429
1405,5540,6435
1292,5505,6428
1162,5474,6435
1049,5428,6429
969,5408,6435
897,5408,6429
823,5408,6435
759,5369,6429
726,5342,6435
725,5333,6429
726,5342,6435
694,5328,6428
630,5342,6435
568,5377,6429
581,5408,6435
746,5327,6427
1114,5078,6435
1652,4535,6431
2325,3627,6435
3144,2398,6425
4068,1187,6435
4767,387,6434
4746,264,6435
3796,735,6419
2276,1583,6435
800,2545,6458
-194,3495,6487
-572,4315,6480
-387,4946,6487
118,5331,6504
581,5540,6539
757,5644,6539
726,5738,6539
692,5810,6545
726,5870,6591
748,5880,6622
726,5870,6643
702,5828,6635
726,5804,6643
796,5790,6639
920,5804,6643
1055,5807,6629
1162,5804,6643
1194,5792,6662
1211,5804,6695
1253,5829,6695
1356,5870,6695
1499,5898,6684
1695,5935,6695
1933,5966,6690
2179,6001,6695
2375,6002,6686
2518,6001,6695
2643,6009,6689
2809,6067,6695
3031,6118,6687
3293,6133,6695
3549,6089,6688
3778,6067,6695
3978,6085,6688
4165,6133,6695
