II,aVR,ABP,RESP
682,6450,5006,2347
713,7322,5721,2654
545,6519,5125,2347
463,6131,4829,2197
545,6589,5203,2373
637,6817,5432,2473
636,6519,5243,2373
595,6347,5112,2307
591,6519,5243,2373
627,6590,5322,2413
682,6450,5243,2373
736,6380,5192,2345
773,6450,5243,2373
781,6448,5256,2387
773,6381,5203,2373
752,6383,5153,2363
727,6450,5125,2373
724,6443,5071,2376
773,6381,5006,2373
843,6349,4948,2370
864,6381,4888,2373
816,6398,4804,2371
773,6381,4730,2373
794,6306,4665,2369
864,6242,4612,2373
920,6209,4535,2374
954,6242,4454,2373
993,6263,4369,2357
1045,6242,4297,2347
1082,6175,4214,2341
1091,6172,4139,2347
1087,6216,4057,2347
1091,6242,3981,2347
1095,6173,3895,2335
1091,6103,3824,2321
1072,6077,3758,2301
1045,6103,3705,2295
1007,6115,3641,2295
954,6172,3587,2295
898,6275,3539,2280
864,6381,3508,2269
857,6377,3468,2266
864,6311,3430,2269
863,6245,3384,2257
864,6242,3351,2244
868,6241,3310,2235
864,6242,3272,2244
828,6227,3225,2247
773,6242,3193,2244
720,6281,3166,2227
682,6381,3154,2218
639,6474,3132,2212
591,6519,3114,2218
554,6478,3090,2218
545,6450,3075,2218
534,6486,3052,2213
500,6589,3035,2218
451,6657,3012,2219
455,6658,2996,2218
503,6609,2973,2202
545,6589,2956,2192
512,6610,2933,2187
455,6658,2917,2192
449,6661,2895,2192
500,6658,2878,2192
542,6626,2854,2189
545,6589,2838,2192
530,6563,2816,2191
500,6658,2799,2192
446,6764,2775,2189
364,6727,2759,2192
269,6547,2738,2191
318,6381,2720,2192
860,5948,2694,2188
2091,4855,2681,2192
3603,3338,2675,2194
4727,2219,2681,2192
5379,1534,2667,2177
6045,624,2641,2166
6686,-281,2609,2161
6409,416,2602,2166
4670,3356,2603,2165
2227,6935,2602,2166
276,9093,2578,2164
-818,9709,2562,2166
-1421,9831,2558,2163
-1727,9848,2562,2166
-1654,9382,2545,2168
-1318,8600,2523,2166
-1007,8047,2510,2150
-773,7837,2523,2141
-489,7590,2530,2137
-182,7282,2523,2141
-2,7122,2497,2129
45,7143,2483,2115
76,7108,2478,2105
136,7005,2483,2115
173,6953,2480,2120
182,7005,2483,2115
191,7039,2484,2095
227,7005,2483,2089
257,6923,2463,2089
273,6866,2444,2089
256,6841,2434,2073
227,6866,2444,2063
211,6890,2449,2061
227,6935,2444,2063
261,6945,2421,2049
273,6935,2405,2037
253,6904,2396,2033
227,6935,2405,2037
222,6985,2408,2026
227,7005,2405,2012
227,6950,2383,2003
227,6935,2365,2012
232,6971,2355,2015
227,7005,2365,2012
202,6957,2370,1996
182,6935,2365,1986
179,6989,2341,1979
182,7074,2326,1986
176,7063,2319,1989
182,7005,2326,1986
207,6952,2323,1969
227,6935,2326,1960
223,6891,2323,1956
227,6866,2326,1960
264,6861,2319,1958
318,6866,2326,1960
361,6805,2337,1961
409,6727,2365,1960
475,6651,2393,1946
545,6589,2444,1934
606,6482,2511,1928
682,6381,2602,1934
778,6294,2691,1934
864,6242,2799,1934
911,6166,2921,1931
954,6103,3075,1934
1023,6050,3230,1933
1091,6034,3390,1934
1110,6016,3539,1932
1091,6034,3705,1934
1077,6062,3875,1933
1091,6103,4060,1934
1103,6105,4235,1932
1091,6103,4415,1934
1062,6092,4576,1933
1045,6103,4730,1934
1044,6117,4863,1931
1045,6172,5006,1934
1040,6221,5145,1934
1045,6242,5282,1934
1055,6198,5385,1929
1045,6172,5479,1934
1001,6187,5569,1945
954,6242,5676,1960
938,6254,5765,1962
954,6242,5834,1960
976,6222,5871,1956
1000,6242,5913,1960
1023,6250,5950,1960
1045,6242,5992,1960
1061,6199,6011,1956
1091,6172,6031,1960
1136,6136,6044,1960
1182,6103,6071,1960
1208,6071,6087,1954
1227,6103,6110,1960
1250,6155,6113,1971
1273,6172,6110,1986
1277,6101,6085,1986
1273,6034,6071,1986
1271,6011,6050,1983
1273,6034,6031,1986
1257,6027,5987,1982
1227,6034,5952,1986
1196,6060,5922,1994
1182,6103,5913,2012
1180,6082,5881,2016
1182,6034,5834,2012
1168,5999,5765,2003
1136,6034,5716,2012
1101,6075,5671,2026
1091,6103,5637,2037
1096,6094,5580,2034
1091,6103,5519,2037
1064,6105,5437,2048
1045,6103,5361,2063
1047,6079,5275,2063
1045,6103,5203,2063
1008,6164,5124,2069
954,6242,5046,2089
902,6277,4945,2102
864,6311,4849,2115
813,6368,4744,2124
773,6450,4652,2141
740,6499,4547,2152
727,6519,4454,2166
714,6514,4365,2176
727,6519,4297,2192
763,6506,4218,2203
773,6519,4139,2218
743,6523,4049,2228
727,6519,3981,2244
734,6487,3918,2255
682,6519,3863,2269
576,6580,3794,2280
545,6589,3745,2295
637,6433,3702,2306
864,6103,3666,2321
1476,5446,3605,2331
2727,4369,3548,2347
4219,3049,3498,2359
5181,1942,3469,2373
5571,1174,3427,2380
6090,694,3390,2398
6706,819,3358,2414
6227,2289,3351,2424
4025,5036,3335,2419
1273,7837,3311,2424
-441,9399,3267,2436
-954,9709,3232,2450
-1153,9518,3204,2447
-1409,9293,3193,2450
-1416,8934,3173,2461
-1091,8461,3154,2476
-755,8025,3127,2474
-545,7698,3114,2476
-320,7381,3095,2485
-45,7143,3075,2502
147,7034,3045,2501
227,7005,3035,2502
273,6927,3033,2509
318,6866,3035,2527
337,6863,3016,2530
364,6866,2996,2527
410,6789,2973,2522
455,6727,2956,2527
443,6763,2931,2527
409,6866,2917,2527
390,6895,2912,2524
409,6866,2917,2527
442,6832,2902,2526
455,6866,2878,2527
439,6883,2848,2524
409,6866,2838,2527
395,6807,2835,2525
409,6797,2838,2527
427,6818,2824,2524
409,6866,2799,2527
357,6893,2766,2526
318,6935,2759,2527
327,6954,2762,2523
364,6935,2759,2527
379,6870,2734,2529
364,6866,2720,2527
335,6929,2718,2511
318,7005,2720,2502
312,6988,2697,2496
318,6935,2681,2502
335,6888,2676,2500
364,6866,2681,2502
402,6798,2660,2500
455,6727,2641,2502
506,6674,2631,2489
545,6658,2641,2476
579,6601,2639,2467
636,6519,2641,2476
711,6428,2649,2480
773,6381,2681,2476
823,6321,2712,2456
909,6242,2759,2450
1022,6121,2821,2450
1091,6034,2917,2450
1089,5997,3015,2433
1091,6034,3114,2424
1141,6072,3201,2422
1182,6103,3311,2424
1151,6117,3439,2409
1091,6172,3587,2398
1062,6221,3723,2395
1045,6242,3863,2398
998,6219,3997,2385
954,6242,4139,2373
951,6288,4261,2367
954,6311,4376,2373
915,6260,4471,2364
864,6242,4573,2347
849,6292,4666,2326
864,6381,4770,2321
866,6394,4866,2319
864,6381,4967,2321
867,6392,5049,2310
864,6450,5125,2295
835,6446,5181,2275
818,6381,5243,2269
835,6320,5298,2269
864,6381,5361,2269
864,6487,5404,2256
864,6519,5440,2244
909,6392,5456,2229
1000,6242,5479,2218
1059,6181,5496,2200
1045,6242,5519,2192
998,6298,5521,2190
1000,6311,5519,2192
1054,6269,5497,2179
1091,6242,5479,2166
1054,6247,5453,2152
1000,6311,5440,2141
1010,6329,5418,2115
1091,6242,5401,2089
1139,6099,5372,2068
1091,6103,5361,2063
979,6256,5345,2054
909,6381,5322,2037
918,6325,5263,2008
954,6242,5203,1986
939,6269,5151,1968
864,6381,5125,1960
794,6405,5077,1948
773,6381,5006,1934
777,6390,4913,1910
773,6450,4849,1883
810,6406,4793,1852
954,6242,4730,1831
1181,6027,4629,1816
1364,5895,4533,1805
1455,5810,4448,1782
1591,5687,4376,1754
1926,5379,4276,1722
2409,4924,4179,1702
2774,4495,4089,1680
2772,4369,4021,1651
2347,4555,3938,1609
