II,MCL,ABP,RESP
1092,-32768,8005,5386
1311,-32768,9065,6098
1285,-32768,8005,5386
1342,-32768,7452,5017
1574,-32768,8005,5386
1819,-32768,8334,5602
2024,-32768,8005,5386
2258,-32768,7790,5262
2538,-32768,8005,5430
2759,-32768,8133,5525
2891,-32768,8005,5430
2973,-32768,7925,5369
3052,-32768,8005,5430
3118,-32768,8015,5461
3180,-32768,7935,5430
3233,-32768,7896,5414
3277,-32768,7935,5430
3302,-32768,7944,5415
3341,-32768,7935,5386
3397,-32768,7931,5375
3469,-32768,7935,5386
3532,-32768,7895,5370
3598,-32768,7864,5341
3668,-32768,7842,5301
3759,-32768,7864,5297
3851,-32768,7869,5300
3951,-32768,7864,5297
4045,-32768,7821,5252
4144,-32768,7794,5208
4236,-32768,7774,5172
4337,-32768,7794,5163
4443,-32768,7799,5141
4562,-32768,7794,5119
4658,-32768,7749,5087
4722,-32768,7724,5074
4753,-32768,7707,5053
4787,-32768,7724,5030
4807,-32768,7719,4982
4787,-32768,7724,4941
4700,-32768,7713,4904
4594,-32768,7724,4896
4486,-32768,7716,4880
4369,-32768,7724,4852
4211,-32768,7714,4796
4048,-32768,7724,4763
3896,-32768,7715,4739
3759,-32768,7724,4718
3607,-32768,7714,4667
3469,-32768,7724,4629
3350,-32768,7732,4602
3245,-32768,7794,4585
3115,-32768,7878,4537
2988,-32768,8005,4496
2867,-32768,8128,4465
2763,-32768,8286,4451
2653,-32768,8447,4410
2570,-32768,8637,4362
2512,-32768,8806,4310
2474,-32768,8988,4273
2419,-32768,9156,4225
2377,-32768,9339,4184
2352,-32768,9488,4137
2345,-32768,9620,4095
2324,-32768,9699,4041
2313,-32768,9760,4006
2318,-32768,9770,3979
2345,-32768,9760,3962
2363,-32768,9716,3919
2377,-32768,9690,3873
2380,-32768,9655,3822
2377,-32768,9620,3783
2356,-32768,9527,3736
2345,-32768,9409,3694
2351,-32768,9259,3647
2377,-32768,9128,3605
2386,-32768,8985,3553
2377,-32768,8847,3516
2361,-32768,8672,3488
2377,-32768,8496,3472
2410,-32768,8303,3433
2441,-32768,8145,3383
2442,-32768,7991,3326
2441,-32768,7864,3294
2451,-32768,7734,3270
2474,-32768,7654,3249
2481,-32768,7596,3207
2474,-32768,7584,3160
2457,-32768,7566,3108
2441,-32768,7584,3071
2431,-32768,7605,3040
2441,-32768,7654,3027
2462,-32768,7680,3008
2474,-32768,7724,2982
2477,-32768,7754,2935
2538,-32768,7794,2893
2697,-32768,7794,2861
2955,-32768,7794,2849
3282,-32768,7780,2827
3630,-32768,7794,2804
3852,-32768,7791,2776
3791,-32768,7794,2760
3437,-32768,7779,2738
2955,-32768,7794,2715
2405,-32768,7817,2684
1703,-32768,7864,2671
858,-32768,7876,2667
128,-32768,7864,2671
-315,-32768,7815,2653
-546,-32768,7794,2626
-673,-32768,7782,2595
-578,-32768,7794,2582
-203,-32768,7785,2563
257,-32768,7794,2537
539,-32768,7793,2502
675,-32768,7794,2493
817,-32768,7754,2495
996,-32768,7724,2493
1112,-32768,7704,2465
1189,-32768,7724,2448
1288,-32768,7725,2446
1413,-32768,7724,2448
1502,-32768,7707,2425
1606,-32768,7724,2404
1779,-32768,7728,2397
2024,-32768,7724,2404
2266,-32768,7678,2386
2506,-32768,7654,2359
2743,-32768,7639,2344
2955,-32768,7654,2359
3086,-32768,7647,2369
3148,-32768,7654,2359
3186,-32768,7650,2328
3245,-32768,7654,2315
3301,-32768,7616,2314
3341,-32768,7584,2315
3361,-32768,7560,2292
3405,-32768,7584,2270
3476,-32768,7592,2262
3566,-32768,7584,2270
3635,-32768,7535,2258
3694,-32768,7513,2226
3750,-32768,7501,2188
3823,-32768,7513,2181
3906,-32768,7504,2186
4016,-32768,7513,2181
4131,-32768,7512,2152
4240,-32768,7513,2137
4329,-32768,7471,2137
4433,-32768,7443,2137
