III,V,PLETH,ABP
1236,2118,6319,6612
1430,2372,7145,7593
1312,2060,6257,6861
1269,1895,5744,6532
1387,2031,6132,7110
1465,2105,6389,7519
1438,2002,6132,7387
1421,1930,5933,7317
1463,1973,6069,7580
1484,1991,6163,7764
1463,1944,6069,7718
1455,1920,6003,7682
1488,1944,6069,7774
1515,1945,6104,7826
1513,1915,6069,7801
1503,1900,6044,7773
1513,1915,6069,7774
1540,1924,6079,7740
1564,1915,6069,7691
1574,1896,6055,7642
1589,1886,6069,7608
1628,1882,6093,7559
1690,1886,6132,7525
1746,1876,6134,7477
1791,1857,6132,7442
1826,1826,6121,7391
1867,1799,6132,7359
1905,1768,6128,7320
1942,1741,6132,7304
1964,1716,6123,7272
1968,1712,6132,7248
1939,1721,6127,7207
1892,1741,6132,7193
1836,1753,6123,7180
1791,1770,6132,7193
1750,1784,6128,7188
1715,1799,6132,7193
1681,1799,6122,7183
1665,1799,6132,7193
1668,1798,6130,7189
1690,1799,6132,7193
1705,1797,6115,7173
1715,1799,6132,7165
1719,1803,6159,7144
1741,1799,6194,7138
1765,1783,6192,7114
1791,1770,6194,7110
1792,1769,6190,7101
1791,1770,6194,7110
1792,1765,6179,7096
1816,1770,6194,7082
1837,1801,6222,7046
1841,1857,6257,7027
1807,1912,6250,7002
1766,1944,6257,6999
1759,1896,6279,6982
1841,1712,6319,6972
2027,1345,6320,6945
2321,841,6319,6944
2714,276,6313,6938
3204,-261,6319,6944
3747,-737,6305,6924
4263,-1131,6319,6916
4638,-1458,6346,6896
4818,-1712,6382,6889
4842,-1888,6377,6863
4818,-1944,6382,6861
4807,-1862,6401,6856
4818,-1625,6444,6861
4833,-1238,6448,6839
4818,-696,6444,6833
4630,-46,6451,6826
4112,638,6507,6833
3277,1258,6550,6813
2396,1770,6570,6806
1740,2150,6553,6796
1362,2408,6570,6806
1136,2546,6598,6789
984,2611,6632,6778
900,2640,6625,6763
883,2669,6632,6778
876,2689,6653,6778
858,2698,6695,6778
833,2696,6696,6754
832,2698,6695,6750
840,2702,6702,6743
858,2698,6757,6750
868,2681,6797,6734
883,2669,6820,6723
892,2668,6806,6698
908,2669,6820,6695
919,2656,6841,6685
933,2640,6882,6695
943,2632,6902,6692
959,2640,6945,6695
970,2642,6994,6675
984,2640,7070,6667
995,2632,7125,6648
1009,2640,7195,6640
1015,2651,7253,6615
1009,2669,7320,6612
994,2680,7366,6606
984,2698,7446,6612
975,2719,7533,6594
959,2756,7633,6584
922,2795,7691,6564
883,2843,7758,6557
853,2885,7833,6533
832,2930,7946,6529
802,2969,8037,6523
757,3017,8134,6529
703,3062,8215,6510
656,3104,8321,6501
615,3132,8409,6491
580,3162,8509,6501
541,3183,8592,6488
504,3191,8697,6474
478,3168,8784,6445
479,3133,8885,6446
499,3090,8967,6442
530,3046,9072,6446
560,2981,9162,6424
605,2901,9260,6418
671,2810,9321,6408
757,2727,9385,6418
844,2640,9433,6411
933,2553,9510,6418
1021,2460,9572,6420
1110,2379,9635,6446
1189,2302,9661,6463
1261,2234,9698,6501
1324,2166,9721,6539
1387,2118,9760,6612
1442,2083,9762,6691
1488,2060,9760,6806
1524,2027,9740,6920
1564,2002,9760,7055
1604,1982,9783,7174
1640,1973,9823,7304
1663,1957,9822,7413
1690,1944,9823,7525
1719,1928,9807,7607
1741,1915,9823,7691
1742,1895,9822,7755
1741,1886,9823,7829
1748,1883,9785,7875
1766,1886,9760,7912
1778,1872,9720,7912
1791,1857,9698,7912
1803,1847,9655,7894
1816,1857,9635,7884
1824,1862,9598,7845
1841,1857,9573,7801
1872,1836,9523,7735
1917,1828,9510,7691
1956,1827,9501,7642
1993,1828,9510,7608
2027,1813,9474,7556
2068,1799,9448,7525
2105,1785,9424,7490
2144,1770,9448,7469
2182,1738,9451,7423
2220,1712,9448,7387
2235,1700,9406,7344
2220,1712,9385,7331
2164,1725,9349,7309
2094,1741,9323,7304
2022,1753,9272,7289
1968,1770,9260,7304
1916,1782,9252,7311
1867,1799,9260,7331
1818,1814,9225,7328
1791,1828,9197,7331
1783,1829,9157,7313
1791,1828,9135,7304
1790,1826,9088,7278
1791,1828,9072,7276
1786,1828,9062,7268
1791,1828,9072,7276
1789,1828,9038,7258
1791,1828,9010,7248
1785,1826,8985,7225
1791,1828,9010,7221
1790,1837,9015,7200
1791,1857,9010,7193
1779,1889,8965,7171
1766,1944,8947,7165
1718,2010,8933,7144
1640,2060,8947,7138
1579,2019,8938,7116
1640,1828,8947,7110
1865,1450,8939,7089
2220,928,8947,7082
2642,343,8934,7061
3128,-203,8947,7055
3672,-668,8947,7033
4213,-1044,8947,7027
4619,-1365,8904,7006
4818,-1625,8885,6999
4846,-1813,8873,6978
4818,-1886,8885,6972
4804,-1823,8852,6951
4818,-1596,8822,6944
4839,-1207,8796,6922
4818,-667,8822,6916
4608,-32,8829,6896
4061,638,8822,6889
3200,1265,8775,6865
2295,1799,8759,6861
1619,2190,8751,6852
1236,2437,8759,6861
1023,2555,8724,6846
883,2611,8697,6833
800,2641,8674,6805
782,2669,8697,6806
785,2686,8700,6802
782,2698,8697,6806
764,2703,8655,6784
757,2698,8634,6778
760,2681,8616,6770
782,2669,8634,6778
798,2669,8635,6761
807,2669,8634,6750
809,2655,8594,6728
832,2640,8572,6723
862,2634,8552,6700
883,2640,8572,6695
878,2640,8573,6686
883,2640,8572,6695
906,2637,8532,6680
933,2640,8509,6667
938,2635,8489,6641
933,2640,8509,6640
933,2649,8512,6633
933,2669,8509,6640
921,2681,8467,6623
908,2698,8447,6612
899,2718,8431,6587
883,2756,8447,6584
845,2796,8441,6577
807,2843,8447,6584
782,2884,8436,6569
757,2930,8447,6557
710,2972,8439,6530
656,3017,8447,6529
612,3057,8438,6525
580,3104,8447,6529
541,3140,8437,6507
504,3162,8447,6501
482,3161,8440,6493
479,3162,8447,6501
477,3156,8435,6484
479,3133,8447,6474
493,3077,8445,6451
530,3017,8447,6446
577,2960,8409,6424
631,2901,8384,6418
686,2817,8364,6398
757,2727,8384,6391
840,2637,8386,6372
933,2553,8384,6391
1015,2459,8344,6413
1085,2379,8321,6446
1145,2314,8302,6456
1211,2263,8321,6501
1277,2200,8324,6569
1337,2147,8321,6667
1386,2108,8280,6749
1438,2089,8259,6861
1491,2060,8243,6996
1539,2031,8259,7165
1567,1997,8254,7306
1589,1973,8259,7442
1611,1949,8248,7561
1640,1944,8259,7691
1664,1945,8252,7782
1690,1944,8259,7857
1715,1925,8249,7896
1741,1915,8259,7940
1754,1913,8251,7964
1766,1915,8259,7995
1777,1899,8250,7998
1791,1886,8259,7995
1794,1881,8251,7962
1791,1886,8259,7940
1784,1873,8250,7907
1791,1857,8259,7884
1810,1847,8251,7838
1841,1857,8259,7801
1876,1862,8250,7753
1917,1857,8259,7718
1956,1839,8251,7667
1993,1828,8259,7635
2025,1815,8249,7599
2068,1799,8259,7580
2112,1767,8253,7543
2144,1741,8259,7525
2142,1729,8246,7501
2119,1741,8259,7497
2083,1755,8259,7474
2043,1770,8259,7469
1985,1779,8218,7459
1917,1799,8196,7469
1846,1816,8181,7462
1791,1828,8196,7469
1746,1825,8189,7463
1715,1828,8196,7469
1686,1839,8189,7452
1665,1857,8196,7442
1645,1862,8181,7418
1640,1857,8196,7414
1636,1851,8218,7395
1640,1857,8259,7387
1627,1871,8259,7363
1614,1886,8259,7359
1595,1892,8246,7342
1589,1886,8259,7331
1584,1878,8253,7296
1589,1886,8259,7276
1576,1907,8249,7251
1539,1944,8259,7248
1472,2008,8251,7228
1413,2118,8259,7221
1361,2203,8250,7199
1337,2147,8259,7193
1400,1852,8251,7171
1640,1364,8259,7165
2025,789,8250,7145
2447,232,8259,7138
2882,-289,8250,7113
3431,-754,8259,7110
4073,-1141,8250,7102
4591,-1422,8259,7110
4808,-1641,8250,7092
4818,-1828,8259,7082
4802,-1936,8250,7059
4818,-1828,8259,7055
4827,-1457,8250,7035
4818,-899,8259,7027
4703,-287,8250,7005
4288,348,8259,6999
3494,991,8250,6978
2548,1596,8259,6972
1765,2064,8250,6951
1261,2379,8259,6944
948,2564,8250,6922
757,2669,8259,6916
670,2709,8250,6896
656,2727,8259,6889
646,2741,8250,6866
631,2756,8259,6861
622,2757,8250,6842
631,2756,8259,6833
629,2759,8251,6808
631,2756,8259,6806
637,2740,8250,6800
656,2727,8259,6806
666,2727,8251,6786
681,2727,8259,6778
701,2712,8249,6759
732,2698,8259,6750
749,2694,8252,6716
757,2698,8259,6695
754,2693,8248,6670
757,2698,8259,6667
759,2710,8254,6648
757,2727,8259,6640
744,2723,8243,6618
732,2727,8259,6612
720,2746,8280,6591
706,2785,8321,6584
682,2814,8324,6566
656,2843,8321,6557
631,2877,8305,6531
605,2930,8321,6529
570,2977,8324,6525
530,3017,8321,6529
489,3051,8281,6500
454,3104,8259,6474
417,3164,8242,6444
378,3220,8259,6446
337,3251,8259,6441
303,3278,8259,6446
273,3298,8226,6428
252,3307,8196,6418
242,3285,8152,6395
252,3249,8134,6391
275,3206,8103,6373
303,3162,8071,6363
332,3096,8003,6336
378,3017,7946,6335
446,2927,7880,6331
530,2843,7821,6335
615,2754,7725,6312
706,2669,7633,6308
798,2579,7530,6308
883,2495,7446,6335
949,2404,7343,6343
1009,2321,7258,6363
1071,2247,7162,6384
1135,2205,7070,6446
1187,2175,6941,6514
1236,2147,6820,6612
1286,2100,6705,6709
1337,2060,6632,6833
1370,2034,6560,6950
1387,2031,6507,7082
