II,III,PLETH,ABP
2827,4347,6439,7212
3148,4945,7267,8161
2714,4347,6368,7177
2497,3958,5878,6630
2714,4154,6298,7070
2848,4269,6561,7315
2714,4058,6298,6963
2600,3896,6102,6704
2657,3961,6227,6821
2709,4008,6282,6855
2657,3961,6156,6644
2581,3963,6093,6465
2544,4058,6156,6431
2524,4122,6154,6347
2544,4154,6085,6182
2620,4224,6061,6047
2714,4347,6085,5969
2775,4456,6060,5859
2827,4541,6015,5720
2888,4598,6002,5594
2940,4637,6015,5507
2960,4663,5986,5427
2996,4734,5944,5365
3070,4832,5895,5286
3166,4927,5873,5223
3205,4949,5835,5157
3166,4927,5802,5116
3073,4901,5759,5071
2996,4927,5732,5045
2951,4974,5689,5017
2940,5024,5661,5009
2934,5034,5622,4989
2940,5024,5590,4974
2939,4978,5541,4946
2940,4927,5519,4938
2913,4862,5509,4931
2883,4830,5519,4938
2859,4815,5510,4932
2883,4830,5519,4938
2932,4829,5539,4936
2996,4830,5590,4938
3050,4822,5624,4917
3109,4830,5661,4903
3156,4831,5683,4890
3166,4830,5732,4903
3118,4816,5784,4905
3053,4830,5873,4903
3016,4887,5968,4878
3053,5024,6085,4867
3182,5226,6185,4860
3449,5507,6298,4867
3874,5866,6397,4852
4466,6376,6510,4832
5189,7067,6606,4802
5993,7922,6722,4796
6723,8745,6825,4793
7180,9275,6934,4796
7177,9242,7024,4777
6671,8598,7147,4761
5697,7478,7281,4736
4410,6183,7430,4725
3065,4948,7537,4704
1979,3961,7642,4690
1278,3316,7736,4666
905,3092,7854,4654
754,3200,7955,4632
848,3478,8067,4619
1155,3742,8164,4595
1526,3961,8279,4583
1791,4103,8376,4562
1979,4154,8491,4548
2183,4098,8592,4524
2431,4058,8703,4512
2631,4106,8796,4492
2770,4251,8916,4477
2879,4396,9024,4451
2996,4541,9128,4441
3057,4656,9188,4424
3053,4734,9270,4405
3003,4707,9362,4364
2996,4637,9482,4334
3024,4563,9559,4310
3053,4541,9623,4299
3045,4557,9656,4275
3053,4637,9694,4263
3100,4744,9694,4257
3166,4830,9694,4263
3184,4840,9679,4248
3166,4830,9694,4228
3149,4850,9693,4201
3166,4927,9694,4192
3175,4992,9655,4174
3166,5024,9623,4157
3145,5015,9576,4129
3166,5024,9553,4121
3232,5054,9511,4116
3336,5120,9482,4121
3428,5176,9434,4105
3505,5217,9411,4086
3558,5219,9371,4057
3618,5217,9340,4050
3689,5205,9288,4045
3788,5217,9270,4050
3881,5245,9257,4033
3957,5314,9270,4015
4006,5374,9239,3986
4071,5410,9199,3979
4151,5402,9140,3972
4240,5410,9128,3979
4301,5443,9122,3972
4353,5507,9128,3979
4390,5552,9091,3984
4410,5603,9057,4015
4389,5650,9009,4050
4353,5700,8987,4121
4303,5708,8944,4209
4240,5700,8916,4334
4150,5684,8871,4465
4071,5700,8845,4619
4007,5707,8800,4778
3957,5700,8774,4974
3892,5650,8734,5179
3844,5603,8703,5400
3829,5574,8634,5607
3844,5603,8562,5827
3833,5651,8473,6038
3788,5700,8420,6253
3705,5705,8374,6435
3618,5700,8350,6608
3510,5687,8286,6754
3392,5700,8208,6892
3262,5701,8111,6999
3166,5700,8067,7106
3110,5681,8032,7194
3109,5700,7996,7283
3129,5764,7913,7340
3166,5893,7854,7390
3178,6011,7811,7421
3166,6086,7784,7461
3124,6090,7709,7480
3109,6086,7642,7496
3124,6082,7588,7492
3166,6086,7571,7496
3190,6044,7531,7482
3222,5990,7501,7461
3265,5953,7460,7415
3336,5990,7430,7390
3408,6045,7357,7358
3505,6086,7288,7319
3612,6080,7229,7240
3731,6086,7218,7177
3836,6092,7191,7120
3957,6086,7147,7070
4089,6029,7063,6980
4240,5990,7005,6892
4376,5977,6958,6802
4523,5990,6934,6715
4663,5947,6891,6587
4805,5893,6864,6466
4901,5855,6825,6352
4975,5893,6793,6253
5027,5946,6740,6114
5088,5990,6722,5969
5129,5990,6718,5825
5145,5990,6722,5720
5122,5986,6682,5610
5088,5990,6651,5507
5034,5977,6635,5390
4975,5990,6651,5294
4944,6039,6646,5195
5032,6183,6651,5116
5267,6439,6648,5033
5654,6859,6651,4974
6167,7395,6613,4912
6841,8019,6581,4867
7621,8685,6559,4818
8367,9371,6581,4796
8850,9833,6584,4775
8933,9758,6581,4761
8533,8972,6560,4721
7689,7729,6581,4690
6514,6414,6610,4661
5258,5314,6651,4654
4132,4451,6651,4634
3279,3864,6651,4619
2711,3611,6659,4594
2431,3768,6722,4583
2364,4209,6790,4562
2431,4734,6864,4548
2532,5114,6915,4524
2657,5314,7005,4512
2791,5375,7106,4491
2940,5410,7218,4477
3072,5417,7284,4453
3222,5410,7359,4441
3387,5382,7444,4420
3562,5410,7571,4405
3676,5487,7679,4381
3731,5603,7784,4370
3728,5670,7872,4352
3731,5700,7996,4334
3729,5691,8107,4295
3731,5700,8208,4263
3704,5698,8267,4236
3675,5700,8350,4228
3641,5716,8445,4209
3618,5797,8562,4192
3586,5879,8636,4167
3562,5893,8703,4157
3547,5798,8758,4139
3562,5700,8845,4121
3571,5665,8916,4083
3562,5700,8987,4050
