II,aVF,PLETH,RESP
2628,1906,2269,3865
2975,2155,2571,4336
2628,1906,2269,3768
2449,1780,2111,3451
2628,1906,2269,3671
2732,1963,2367,3777
2628,1870,2269,3559
2565,1828,2192,3403
2628,1906,2236,3462
2643,1949,2268,3479
2579,1906,2236,3365
2549,1872,2218,3281
2579,1906,2236,3285
2586,1964,2232,3263
2579,2016,2204,3188
2599,2058,2192,3123
2628,2090,2204,3092
2624,2112,2207,3055
2628,2163,2204,3011
2672,2240,2201,2965
2727,2309,2204,2914
2750,2355,2200,2852
2777,2419,2204,2802
2825,2502,2204,2757
2876,2566,2204,2721
2883,2571,2186,2672
2876,2566,2171,2625
2889,2590,2161,2578
2926,2639,2171,2544
2937,2655,2174,2504
2926,2639,2171,2464
2911,2623,2150,2419
2926,2639,2138,2383
2949,2662,2131,2343
2975,2676,2138,2303
2981,2673,2136,2252
2975,2676,2138,2206
2963,2676,2132,2161
2975,2676,2138,2125
3001,2668,2153,2085
3025,2676,2204,2045
3010,2695,2265,1996
2975,2713,2335,1948
2937,2701,2399,1896
2926,2676,2500,1852
2924,2649,2625,1809
2926,2639,2763,1771
2919,2633,2873,1729
2926,2639,2993,1691
2930,2642,3128,1649
2926,2639,3289,1610
2897,2617,3443,1567
2876,2603,3618,1530
2869,2597,3807,1495
2876,2603,4012,1465
2873,2599,4194,1427
2876,2603,4374,1385
2879,2605,4552,1340
2876,2603,4736,1304
2848,2580,4890,1271
2827,2566,5032,1240
2819,2562,5159,1201
2827,2566,5295,1159
2823,2560,5414,1116
2827,2566,5525,1079
2829,2572,5610,1045
2827,2566,5690,1014
2798,2537,5751,981
2777,2529,5821,950
2770,2548,5884,917
2777,2566,5953,886
2772,2547,5993,852
2777,2529,6019,821
2782,2527,6025,789
2777,2529,6051,757
2743,2505,6080,718
2727,2493,6117,676
2745,2507,6139,632
2777,2529,6183,596
2766,2515,6231,564
2727,2493,6282,531
2687,2485,6297,492
2678,2493,6315,451
2674,2486,6336,410
2678,2493,6380,370
