II,MCL,ABP,RESP
3438,2682,5946,5192
3766,3033,6684,5897
3285,2682,5821,5233
3178,2519,5338,4897
3515,2732,5696,5275
3594,2854,5901,5511
3362,2732,5633,5317
3292,2647,5466,5190
3438,2732,5633,5338
3455,2793,5732,5425
3362,2732,5633,5338
3442,2663,5582,5280
3667,2682,5696,5338
3710,2727,5793,5368
3515,2732,5821,5338
3356,2713,5854,5318
3438,2732,5946,5338
3618,2773,6040,5344
3667,2782,6134,5338
3569,2742,6223,5333
3515,2732,6322,5338
3566,2781,6408,5333
3591,2831,6509,5338
3492,2809,6596,5333
3438,2782,6697,5338
3537,2799,6786,5333
3667,2831,6885,5338
3653,2808,6968,5333
3591,2782,7073,5338
3610,2797,7168,5333
3667,2831,7261,5338
3636,2813,7318,5333
3591,2782,7386,5338
3618,2788,7446,5333
3667,2831,7511,5338
3631,2843,7540,5333
3591,2831,7573,5338
3621,2834,7601,5333
3667,2881,7636,5338
3630,2921,7636,5333
3591,2931,7636,5338
3616,2904,7629,5333
3667,2881,7636,5338
3662,2856,7610,5333
3667,2831,7573,5338
3715,2810,7525,5333
3744,2831,7511,5338
3690,2869,7486,5333
3667,2881,7448,5338
3738,2844,7373,5333
3820,2831,7323,5338
3774,2859,7285,5333
3667,2881,7261,5338
3621,2836,7197,5333
3667,2782,7135,5338
3690,2779,7066,5333
3667,2831,7010,5338
3661,2868,6933,5333
3744,2881,6885,5338
3829,2879,6847,5333
3820,2881,6822,5338
3720,2871,6756,5333
3667,2881,6697,5338
3677,2905,6649,5333
3667,2931,6635,5338
3594,2928,6601,5333
3591,2931,6572,5338
3682,2937,6532,5333
3744,2931,6509,5338
3688,2894,6470,5333
3667,2881,6447,5338
3752,2889,6412,5333
3820,2881,6384,5338
3761,2835,6337,5333
3744,2831,6322,5338
3864,2883,6317,5333
3973,2931,6322,5338
3903,2906,6286,5333
3820,2881,6259,5338
3871,2904,6242,5333
3973,2931,6259,5338
3943,2905,6257,5333
3897,2881,6259,5338
3923,2906,6250,5333
3973,2931,6259,5338
3920,2890,6254,5333
3897,2831,6259,5338
3947,2829,6252,5333
3973,2881,6259,5338
3891,2918,6252,5333
3897,2931,6259,5338
4010,2949,6255,5333
3973,3030,6259,5338
3643,3197,6248,5333
