II,III,PLETH,ABP
-210,-306,1424,2625
-292,-432,1925,3517
-332,-466,1960,3556
-360,-452,1786,3234
-396,-446,1702,3082
-433,-465,1737,3133
-466,-490,1760,3153
-500,-505,1706,3045
-532,-510,1639,2932
-547,-505,1621,2906
-542,-486,1628,2919
-523,-457,1604,2876
-499,-428,1558,2802
-480,-406,1532,2767
-477,-387,1532,2775
-492,-368,1520,2758
-517,-356,1490,2715
-541,-348,1467,2689
-557,-330,1465,2696
-562,-293,1460,2691
-546,-249,1438,2671
-502,-213,1410,2655
-430,-175,1395,2662
-344,-118,1381,2662
-263,-52,1360,2662
-205,-10,1324,2660
-170,-8,1297,2672
-131,-28,1277,2681
-62,-36,1256,2693
36,-12,1216,2695
121,29,1177,2704
172,66,1147,2710
207,81,1128,2726
240,74,1089,2734
263,41,1034,2747
263,-12,984,2752
272,-59,972,2766
295,-89,966,2777
316,-91,940,2794
318,-68,903,2805
317,-32,920,2821
316,-19,969,2830
303,-30,991,2841
289,-38,972,2844
305,-20,1013,2853
335,-12,1131,2859
290,-102,1249,2873
129,-342,1303,2878
-34,-627,1393,2886
10,-715,1570,2887
329,-514,1765,2896
774,-259,1883,2900
1220,-172,2005,2905
1831,36,2212,2900
2811,868,2470,2905
3898,2156,2668,2909
4386,2961,2837,2917
3854,2666,3048,2911
2678,1816,3313,2908
1615,1456,3542,2901
1015,1845,3725,2904
649,2268,3906,2900
197,2028,4138,2899
-352,1240,4369,2891
-788,519,4559,2887
-976,204,4705,2874
-960,108,4873,2867
-856,-50,5058,2858
-742,-269,5221,2855
-649,-398,5322,2845
-598,-438,5420,2837
-598,-493,5537,2822
-619,-559,5654,2815
-627,-549,5713,2802
-627,-481,5756,2794
-643,-456,5812,2780
-660,-486,5884,2773
-662,-496,5914,2760
-650,-456,5923,2752
-640,-414,5934,2738
-610,-381,5976,2731
-552,-339,5994,2718
-495,-280,5985,2710
-470,-220,5956,2696
-456,-157,5956,2689
-415,-100,5952,2677
-354,-70,5925,2667
-308,-79,5866,2648
-296,-114,5843,2636
-293,-149,5839,2622
-276,-183,5808,2614
-249,-220,5699,2597
-241,-264,5589,2583
-266,-314,5504,2564
-307,-383,5429,2552
-328,-462,5313,2533
-321,-535,5217,2520
-314,-589,5161,2504
-346,-639,5119,2497
-418,-694,5021,2482
