II,III,PLETH
8127,8080,3985
9563,9380,4623
9128,8668,4239
9355,8641,4079
10687,10137,4456
11586,11960,4741
11355,13369,4710
10570,14441,4716
9574,14838,4927
8110,13832,5103
6345,11606,5145
4826,9199,5183
3785,7492,5289
3084,6705,5369
2783,6758,5398
2989,7328,5422
3562,7933,5471
4192,8212,5503
4787,8227,5507
5360,8160,5487
5900,8080,5471
6329,7937,5454
6679,7786,5434
6937,7632,5381
7125,7492,5326
7196,7317,5268
7236,7199,5217
7270,7156,5143
7347,7199,5072
7400,7202,4997
7459,7199,4927
7506,7184,4833
7570,7199,4746
7588,7152,4665
7570,7052,4601
7537,6931,4513
7570,6905,4420
7633,6956,4330
7681,7052,4275
7667,7112,4222
7681,7199,4166
7730,7323,4086
7793,7492,4021
7792,7599,3972
7793,7639,3949
7792,7625,3913
7793,7639,3877
7756,7650,3831
7793,7639,3804
7898,7566,3779
8015,7492,3768
8025,7414,3747
8015,7345,3732
8042,7254,3707
8127,7199,3695
8176,7140,3677
8238,7052,3659
8326,6889,3631
8460,6758,3623
8567,6671,3621
8683,6611,3623
8793,6514,3602
8906,6464,3587
8962,6458,3579
9017,6464,3587
9065,6425,3573
9128,6464,3550
9167,6598,3521
9240,6758,3514
9312,6823,3511
9351,6905,3514
9267,7082,3499
9128,7345,3478
8990,7532,3449
8906,7639,3442
8775,7700,3440
8572,7786,3442
8309,7856,3423
8127,7933,3406
8036,8002,3384
8015,8080,3369
7961,8098,3344
7904,8080,3333
7837,8049,3328
7793,8080,3333
7722,8105,3318
7681,8080,3297
7660,7983,3271
7681,7933,3261
7678,7932,3243
7681,7933,3224
7668,7852,3198
7681,7786,3188
7702,7770,3185
7793,7786,3188
7908,7722,3172
8015,7639,3152
8031,7597,3126
8015,7639,3116
7994,7656,3099
8015,7639,3079
8017,7603,3051
8015,7639,3043
7997,7706,3042
8015,7786,3043
8019,7840,3023
8015,7933,3007
7991,8022,2999
8015,8080,3007
8037,8063,2996
8015,8080,2971
7898,8144,2940
7793,8227,2935
7752,8233,2936
7793,8227,2935
7808,8225,2912
7793,8227,2898
7734,8155,2894
7681,8080,2898
7610,8045,2881
7570,8080,2862
7549,8092,2849
7570,8080,2862
7573,8014,2868
7570,7933,2862
7518,7830,2837
7459,7786,2826
7411,7780,2821
7459,7786,2826
7534,7718,2819
7570,7639,2826
7508,7592,2837
7459,7639,2862
7448,7712,2873
7459,7786,2898
7401,7797,2936
7347,7786,3007
7326,7757,3075
7347,7786,3152
7303,7847,3226
7236,7933,3333
7186,7949,3461
