II,V,PLETH,RESP
-25802,-32768,498,-32210
-32768,-32768,644,-32768
-32768,-32768,636,-32768
-32768,-32768,573,-32768
-32768,-32768,539,-32768
-32768,-32768,532,-32768
-32768,-32768,541,-32768
-32768,-32768,557,-32768
-32768,-32768,583,-32768
-32768,-32768,607,-32768
-32768,-32768,645,-32768
-32768,-32768,709,-32768
-32768,-32768,807,-32768
-32768,-32768,906,-32768
-32768,-32768,999,-32768
-32768,-32768,1101,-32768
-32768,-32768,1253,-32768
-32768,-32768,1425,-32768
-32768,-32768,1572,-32768
-32768,-32768,1693,-32768
-32768,-32768,1867,-32768
-32768,-32768,2089,-32768
-32768,-32768,2284,-32768
-32768,-32768,2414,-32768
-32768,-32768,2578,-32768
-32768,-32768,2807,-32768
-32768,-32768,3021,-32768
-32768,-32768,3146,-32768
-32768,-32768,3273,-32768
-32768,-32768,3463,-32768
-32768,-32768,3654,-32768
-32768,-32768,3755,-32768
-32768,-32768,3838,-32768
-32768,-32768,3977,-32768
-32768,-32768,4134,-32768
-32768,-32768,4215,-32768
-32768,-32768,4267,-32768
-32768,-32768,4364,-32768
-32768,-32768,4497,-32768
-32768,-32768,4576,-32768
-32768,-32768,4611,-32768
-32768,-32768,4640,-32768
-32768,-32768,4684,-32768
-32768,-32768,4695,-32768
-32768,-32768,4684,-32768
-32768,-32768,4671,-32768
-32768,-32768,4682,-32768
-32768,-32768,4682,-32768
-32768,-32768,4673,-32768
-32768,-32768,4652,-32768
-32768,-32768,4649,-32768
-32768,-32768,4645,-32768
-32768,-32768,4639,-32768
-32768,-32768,4610,-32768
-32768,-32768,4587,-32768
-32768,-32768,4563,-32768
-32768,-32768,4547,-32768
-32768,-32768,4508,-32768
-32768,-32768,4470,-32768
-32768,-32768,4430,-32768
-32768,-32768,4404,-32768
-32768,-32768,4362,-32768
-32768,-32768,4316,-32768
-32768,-32768,4259,-32768
-32768,-32768,4221,-32768
-32768,-32768,4175,-32768
-32768,-32768,4124,-32768
-32768,-32768,4055,-32768
-32768,-32768,4004,-32768
-32768,-32768,3960,-32768
-32768,-32768,3920,-32768
-32768,-32768,3858,-32768
-32768,-32768,3812,-32768
-32768,-32768,3776,-32768
-32768,-32768,3753,-32768
-32768,-32768,3710,-32768
-32768,-32768,3676,-32768
-32768,-32768,3652,-32768
-32768,-32768,3644,-32768
-32768,-32768,3617,-32768
-32768,-32768,3594,-32768
-32768,-32768,3576,-32768
-32768,-32768,3577,-32768
-32768,-32768,3567,-32768
-32768,-32768,3564,-32768
-32768,-32768,3560,-32768
-32768,-32768,3569,-32768
-32768,-32768,3565,-32768
-32768,-32768,3566,-32768
-32768,-32768,3562,-32768
-32768,-32768,3568,-32768
-32768,-32768,3566,-32768
-32768,-32768,3574,-32768
-32768,-32768,3579,-32768
-32768,-32768,3587,-32768
-32768,-32768,3581,-32768
-32768,-32768,3580,-32768
-32768,-32768,3574,-32768
-32768,-32768,3573,-32768
-32768,-32768,3561,-32768
-32768,-32768,3558,-32768
-32768,-32768,3553,-32768
-32768,-32768,3553,-32768
-32768,-32768,3537,-32768
-32768,-32768,3525,-32768
-32768,-32768,3509,-32768
-32768,-32768,3499,-32768
-32768,-32768,3477,-32768
-32768,-32768,3461,-32768
-32768,-32768,3443,-32768
-32768,-32768,3434,-32768
-32768,-32768,3413,-32768
-32768,-32768,3393,-32768
-32768,-32768,3366,-32768
-32768,-32768,3351,-32768
-32768,-32768,3329,-32768
-32768,-32768,3306,-32768
-32768,-32768,3271,-32768
-32768,-32768,3249,-32768
-32768,-32768,3225,-32768
-32768,-32768,3202,-32768
-32768,-32768,3164,-32768
-32768,-32768,3138,-32768
-32768,-32768,3117,-32768
-32768,-32768,3096,-32768
-32768,-32768,3056,-32768
-32768,-32768,3029,-32768
-32768,-32768,3009,-32768
-32768,-32768,2990,-32768
-32768,-32768,2949,-32768
-32768,-32768,2919,-32768
-32768,-32768,2902,-32768
-32768,-32768,2884,-32768
-32768,-32768,2841,-32768
-32768,-32768,2810,-32768
-32768,-32768,2796,-32768
-32768,-32768,2776,-32768
-32768,-32768,2712,-32768
-32768,-32768,2642,-32768
-32768,-32768,2590,-32768
-32768,-32768,2554,-32768
-32768,-32768,2501,-32768
-32768,-32768,2459,-32768
-32768,-32768,2437,-32768
-32768,-32768,2426,-32768
-32768,-32768,2391,-32768
-32768,-32768,2354,-32768
-32768,-32768,2330,-32768
-32768,-32768,2317,-32768
-32768,-32768,2283,-32768
-32768,-32768,2248,-32768
-32768,-32768,2222,-32768
-32768,-32768,2206,-32768
-32768,-32768,2177,-32768
-32768,-32768,2148,-32768
-32768,-32768,2126,-32768
