I,V,ABP,RESP
7059,3217,3417,1222
7822,3622,3824,1404
6717,3175,3303,1264
6156,2926,3002,1191
6603,3090,3189,1285
6821,3142,3290,1351
6489,2963,3113,1326
6352,2891,2984,1316
6603,3005,3037,1367
6682,3047,3052,1406
6489,2963,2961,1409
6428,2919,2902,1419
6603,2963,2923,1450
6693,2981,2922,1468
6603,2963,2885,1471
6496,2972,2869,1483
6489,3005,2885,1512
6530,2998,2889,1537
6603,2963,2885,1554
6677,2945,2884,1569
6717,2963,2885,1595
6699,2983,2877,1626
6717,3005,2885,1657
6768,3019,2902,1677
6831,3048,2923,1699
6833,3055,2922,1725
6831,3048,2923,1761
6823,3015,2932,1792
6831,3005,2961,1823
6813,3019,2980,1850
6831,3048,2999,1885
6834,3067,3012,1917
6831,3090,3037,1948
6818,3104,3055,1967
6945,3090,3075,1989
7182,3070,3089,2014
7400,3132,3113,2051
7426,3311,3131,2085
7400,3556,3151,2113
7524,3833,3164,2130
7856,4191,3189,2155
8132,4629,3209,2183
8197,5122,3227,2217
8170,5720,3235,2245
8425,6476,3265,2279
9101,7072,3304,2311
10019,6942,3341,2341
10816,5874,3343,2358
11499,4360,3341,2383
12386,2997,3347,2412
13662,1947,3379,2445
14762,1046,3402,2463
14914,296,3417,2486
13989,-221,3414,2513
12751,-550,3417,2548
11778,-804,3413,2570
10930,-889,3417,2590
9813,-705,3414,2607
8653,-339,3417,2631
7899,-11,3412,2649
7628,254,3417,2673
7442,559,3416,2699
7172,974,3417,2735
6918,1411,3409,2758
6831,1820,3417,2776
6821,2193,3421,2789
6831,2582,3417,2818
6819,2951,3391,2848
6831,3259,3379,2880
6822,3437,3377,2897
6831,3513,3379,2921
6821,3532,3356,2948
6831,3556,3341,2983
6817,3580,3336,3006
6831,3598,3341,3025
6825,3597,3322,3039
6831,3598,3303,3066
6814,3610,3293,3088
6831,3640,3303,3108
6864,3656,3292,3113
6945,3640,3265,3128
7011,3603,3231,3145
7059,3598,3227,3170
7051,3621,3229,3186
7059,3640,3227,3211
7089,3631,3202,3238
7172,3640,3189,3274
7240,3668,3186,3295
7286,3683,3189,3315
7280,3651,3170,3329
7286,3640,3151,3356
7314,3674,3130,3378
7400,3725,3113,3398
7470,3728,3085,3404
7514,3725,3075,3419
7534,3740,3075,3434
7628,3767,3075,3460
7757,3749,3051,3477
7856,3725,3037,3501
7851,3727,3035,3519
7856,3767,3037,3543
7933,3791,3014,3557
8083,3810,2999,3584
8174,3822,2996,3612
8197,3852,2999,3646
8175,3879,2978,3666
8197,3937,2961,3688
8240,4014,2957,3704
8311,4106,2961,3729
8366,4170,2941,3745
8425,4233,2923,3771
8439,4304,2917,3797
8425,4402,2923,3833
8363,4502,2906,3854
8311,4614,2885,3874
8249,4721,2873,3888
8197,4826,2885,3916
8129,4907,2890,3936
8083,4995,2885,3957
7999,5092,2862,3964
7856,5207,2847,3978
7647,5303,2838,3991
7514,5376,2847,4019
7484,5398,2851,4039
7514,5376,2847,4061
7474,5300,2823,4068
7400,5207,2809,4082
7324,5101,2803,4088
7286,4995,2809,4102
7223,4857,2805,4108
7172,4699,2809,4123
7145,4521,2819,4130
7172,4360,2847,4144
7182,4204,2867,4148
7172,4064,2885,4164
7113,3925,2895,4174
7059,3810,2923,4185
7022,3699,2956,4180
7059,3598,2999,4185
7090,3495,3031,4191
7059,3429,3075,4206
6928,3382,3124,4204
6831,3344,3189,4206
6804,3288,3244,4201
6831,3259,3303,4206
6824,3254,3353,4201
6831,3259,3417,4206
6840,3234,3481,4204
6831,3217,3569,4206
6756,3211,3659,4191
6717,3217,3758,4185
6719,3206,3846,4180
6717,3217,3948,4185
6640,3242,4056,4174
6603,3259,4176,4164
6643,3244,4275,4149
6717,3259,4366,4144
6715,3308,4439,4129
6717,3344,4518,4123
6764,3318,4590,4110
6831,3302,4669,4102
6796,3323,4732,4080
6717,3344,4783,4061
6674,3303,4815,4035
6717,3259,4859,4019
6738,3251,4901,3995
6717,3259,4935,3978
6681,3232,4936,3953
6717,3217,4935,3936
6750,3238,4932,3911
6717,3259,4935,3895
6614,3220,4916,3871
6603,3175,4897,3854
6708,3177,4875,3828
6831,3217,4859,3812
6810,3213,4823,3791
6717,3175,4783,3771
6661,3148,4730,3736
6717,3175,4669,3709
6785,3208,4578,3682
6831,3217,4480,3667
6829,3191,4377,3637
6831,3175,4290,3605
6821,3168,4194,3565
6831,3175,4100,3543
6830,3181,3997,3520
6831,3217,3910,3501
6808,3264,3827,3468
6831,3302,3758,3439
6913,3311,3681,3405
7059,3344,3606,3377
7153,3393,3523,3340
7172,3429,3455,3315
7167,3431,3389,3291
7286,3471,3341,3274
7488,3539,3283,3240
7628,3556,3227,3211
7563,3457,3161,3184
7400,3344,3113,3170
7254,3298,3069,3147
7172,3302,3037,3128
7061,3266,2994,3104
6945,3217,2961,3087
6852,3189,2933,3061
6831,3175,2923,3046
6822,3116,2904,3031
6831,3048,2885,3025
6826,3009,2858,3005
6831,3005,2847,2983
6818,2986,2841,2956
6831,2963,2847,2942
6835,2952,2845,2928
6831,2963,2847,2921
6802,2963,2841,2908
6831,2963,2847,2901
6895,2960,2857,2888
6945,2963,2885,2880
6893,2954,2907,2866
6831,2963,2923,2859
6833,2981,2919,2847
6945,3005,2923,2838
7038,3003,2934,2822
7059,3005,2961,2818
6993,3015,2979,2815
6945,3048,2999,2818
6924,3054,3013,2807
6945,3048,3037,2797
6938,3030,3054,2782
6945,3048,3075,2776
6968,3074,3090,2764
7059,3090,3113,2756
7092,3082,3129,2742
7059,3090,3151,2735
7017,3102,3167,2721
7172,3090,3189,2714
7435,3079,3204,2702
7628,3175,3227,2693
7658,3389,3245,2678
7742,3640,3265,2673
7884,3910,3277,2670
7856,4318,3303,2673
7498,4886,3325,2662
7172,5503,3341,2652
7272,6101,3336,2638
7856,6730,3341,2631
8674,7197,3355,2619
9677,7069,3379,2611
10888,6155,3382,2597
12296,4868,3379,2590
13757,3729,3372,2577
15142,2878,3379,2569
16073,2140,3378,2557
16167,1482,3379,2548
15407,962,3373,2534
14345,550,3379,2528
13344,135,3379,2517
12296,-212,3379,2507
10975,-354,3371,2484
9677,-254,3379,2465
8811,-32,3383,2449
8425,254,3379,2445
8128,586,3352,2435
7742,974,3341,2424
7359,1370,3340,2403
7172,1778,3341,2383
7112,2169,3317,2357
7059,2540,3303,2341
6930,2842,3300,2328
6831,3090,3303,2320
6793,3254,3280,2301
6831,3344,3265,2279
6834,3367,3261,2253
6831,3386,3265,2238
6809,3424,3244,2224
6831,3471,3227,2217
6823,3484,3222,2198
6831,3471,3227,2175
6852,3458,3208,2147
6945,3471,3189,2134
7021,3483,3180,2124
7059,3471,3189,2113
7037,3438,3176,2089
7059,3429,3151,2072
7111,3446,3121,2060
7172,3471,3113,2051
7172,3471,3110,2028
7172,3471,3113,2010
7170,3471,3098,1996
7172,3471,3075,1989
7142,3457,3044,1968
7172,3471,3037,1948
7270,3500,3039,1931
7400,3513,3037,1927
7461,3480,3012,1916
7514,3471,2999,1906
7602,3506,2998,1893
7742,3556,2999,1885
7827,3557,2976,1872
7856,3556,2961,1865
7839,3572,2957,1855
7856,3598,2961,1844
7892,3590,2941,1822
7969,3598,2923,1803
8030,3635,2917,1787
8083,3683,2923,1782
8117,3695,2907,1771
8197,3725,2885,1761
8275,3786,2872,1748
8311,3852,2885,1740
8254,3867,2892,1729
8197,3894,2885,1720
8177,3976,2860,1707
8197,4106,2847,1699
8159,4215,2842,1687
8083,4318,2847,1678
7997,4422,2843,1666
7969,4529,2847,1657
7931,4608,2847,1646
7856,4699,2847,1637
7722,4804,2827,1625
7628,4910,2809,1616
7565,4976,2798,1604
7514,5037,2809,1595
7400,5094,2823,1583
7286,5122,2847,1575
7197,5074,2865,1563
7172,4995,2885,1554
7157,4913,2896,1541
7172,4826,2923,1533
7175,4676,2955,1523
7172,4487,2999,1512
7144,4295,3031,1498
7172,4148,3075,1492
7234,4018,3124,1490
7286,3894,3189,1492
7240,3759,3242,1483
7172,3640,3303,1471
7137,3539,3366,1458
7172,3471,3455,1450
7187,3406,3544,1439
7172,3344,3644,1430
7112,3270,3745,1417
7059,3217,3872,1409
6989,3182,4003,1397
6945,3175,4138,1388
6919,3157,4251,1377
6945,3132,4366,1367
6958,3097,4474,1355
6945,3090,4594,1347
6878,3090,4703,1336
6831,3090,4821,1326
6810,3075,4933,1313
6831,3090,5049,1305
6831,3119,5145,1296
6831,3132,5239,1285
6819,3102,5316,1263
6831,3090,5391,1243
6826,3108,5446,1228
6831,3132,5505,1222
6821,3124,5548,1213
6831,3132,5581,1202
6825,3162,5581,1188
6831,3175,5581,1181
6822,3126,5576,1173
