I,V,ABP,RESP
4219,3324,3936,2931
4827,3764,4464,3309
4296,3324,3936,2899
3995,3095,3641,2675
4296,3324,3892,2867
4519,3458,4052,2989
4373,3324,3892,2867
4222,3248,3772,2776
4296,3363,3849,2835
4385,3443,3886,2865
4373,3402,3806,2803
4366,3356,3760,2758
4449,3363,3806,2772
4545,3360,3829,2767
4603,3363,3806,2740
4616,3400,3790,2730
4603,3441,3806,2740
4582,3438,3810,2729
4603,3441,3806,2708
4649,3468,3802,2691
4679,3480,3806,2676
4671,3444,3802,2652
4679,3441,3806,2644
4711,3492,3801,2644
4756,3558,3806,2644
4761,3574,3802,2625
4756,3597,3806,2612
4771,3654,3801,2609
4833,3715,3806,2612
4866,3727,3802,2595
4833,3754,3806,2580
4740,3825,3800,2575
4679,3910,3806,2580
4649,3956,3803,2567
4603,4028,3806,2549
4486,4147,3797,2537
4373,4262,3806,2549
4307,4303,3818,2554
4296,4340,3849,2549
4264,4428,3866,2527
4219,4536,3892,2517
4169,4586,3918,2512
4142,4614,3979,2517
4120,4656,4053,2514
4142,4692,4152,2517
4205,4653,4247,2517
4296,4575,4368,2517
4346,4508,4499,2500
4373,4458,4671,2485
4392,4351,4863,2476
4449,4184,5103,2485
4521,3990,5356,2488
4603,3832,5622,2485
4651,3704,5860,2467
4679,3597,6098,2453
4697,3479,6328,2444
4756,3363,6574,2453
4815,3261,6796,2458
4833,3206,7006,2453
4784,3158,7181,2431
4756,3089,7352,2421
4778,2991,7503,2420
4833,2933,7655,2421
4844,2922,7785,2404
4833,2933,7915,2389
4821,2900,8011,2383
4833,2855,8088,2389
4831,2831,8127,2379
4833,2855,8174,2357
4832,2868,8204,2332
4833,2855,8217,2326
4797,2831,8190,2325
4756,2855,8174,2326
4730,2890,8156,2310
4756,2894,8131,2294
4795,2853,8060,2274
4833,2855,8001,2262
4836,2913,7953,2245
4833,2972,7915,2230
4822,2961,7829,2211
4833,2933,7742,2198
4834,2939,7663,2180
4833,2972,7612,2166
4820,2964,7518,2148
4833,2933,7396,2134
4841,2914,7249,2117
4833,2933,7136,2103
4786,2951,7025,2084
4756,2972,6920,2071
4743,2980,6785,2053
4756,2972,6660,2039
4770,2939,6537,2021
4833,2933,6444,2007
4921,2964,6337,1990
4986,3011,6228,1975
4942,3010,6092,1956
4833,2972,5968,1943
4742,2931,5834,1927
4756,2933,5709,1911
4829,2963,5569,1891
4910,3011,5449,1880
4948,3051,5331,1867
4986,3089,5233,1848
5022,3110,5119,1813
5063,3128,5017,1784
5085,3152,4915,1763
5140,3206,4844,1752
5237,3251,4771,1734
5370,3246,4714,1720
5449,3170,4654,1705
5447,3089,4628,1688
5352,3047,4602,1656
5216,3050,4584,1625
5051,3041,4549,1602
4910,3011,4541,1593
4823,2955,4551,1578
4833,2894,4584,1561
4862,2825,4600,1541
4833,2776,4628,1529
4710,2748,4659,1514
4603,2737,4714,1497
4569,2715,4754,1477
4603,2698,4801,1465
4611,2689,4838,1452
4603,2698,4887,1434
4590,2700,4924,1410
4603,2698,4974,1402
4601,2678,5016,1403
4603,2659,5060,1402
4598,2643,5079,1383
4603,2659,5103,1370
4591,2681,5121,1368
4603,2698,5147,1370
4630,2689,5159,1355
4679,2698,5190,1338
4691,2721,5215,1331
4679,2737,5233,1338
4632,2716,5223,1340
4603,2698,5233,1338
4573,2711,5255,1335
4603,2737,5276,1338
4662,2739,5255,1337
4756,2737,5233,1338
4809,2755,5224,1337
4833,2815,5233,1338
4821,2974,5202,1336
4833,3285,5147,1338
4884,3644,5085,1339
4986,3910,5060,1338
5041,4165,5040,1332
5063,4653,5017,1338
5238,5276,4969,1352
5830,5553,4930,1370
6762,5181,4885,1373
7748,4419,4844,1370
8693,3584,4789,1366
9896,2659,4757,1370
11442,1558,4734,1370
12888,587,4714,1370
13578,89,4666,1368
13348,0,4628,1370
12469,-64,4599,1369
11277,-235,4584,1370
9905,-364,4542,1369
8515,-313,4498,1370
7307,-144,4460,1368
6444,78,4455,1370
5864,347,4439,1370
5447,704,4411,1370
5091,1121,4361,1366
4833,1564,4325,1370
4677,1963,4295,1373
4603,2307,4282,1370
4527,2591,4258,1352
4449,2855,4238,1338
4363,3065,4211,1334
4296,3206,4195,1338
4230,3263,4170,1328
4219,3285,4152,1306
4222,3299,4124,1282
4219,3324,4109,1274
4157,3331,4084,1275
4142,3324,4065,1274
4195,3324,4037,1260
4296,3363,4022,1242
4323,3404,4000,1224
4296,3402,3979,1211
4263,3363,3946,1194
4296,3363,3936,1179
4343,3410,3933,1162
4373,3441,3936,1147
4363,3402,3912,1129
4373,3363,3892,1115
4404,3381,3880,1100
4449,3441,3892,1083
4457,3459,3894,1061
4449,3441,3892,1051
4434,3423,3883,1051
4449,3441,3892,1051
4476,3461,3895,1037
4526,3480,3892,1019
4566,3482,3866,1003
4603,3480,3849,988
4625,3466,3840,966
4679,3480,3849,956
4755,3515,3848,956
4833,3558,3849,956
4852,3563,3843,940
4833,3558,3849,924
4809,3572,3846,919
4833,3637,3849,924
4852,3704,3844,924
4833,3754,3849,924
4772,3779,3846,925
4756,3832,3849,924
4770,3908,3844,908
4756,3989,3849,892
4668,4042,3845,886
4603,4106,3849,892
4595,4183,3842,893
4603,4262,3849,892
4536,4314,3847,890
4449,4380,3849,892
4392,4472,3837,891
4373,4575,3849,892
4327,4630,3876,892
4296,4653,3936,892
4308,4668,3993,889
4373,4692,4065,892
4419,4678,4137,895
4449,4614,4238,892
4454,4501,4351,875
4449,4380,4498,860
4425,4256,4655,856
4449,4145,4844,860
4538,4015,5043,861
4679,3871,5276,860
4782,3717,5511,859
4833,3597,5752,860
4833,3498,5966,858
4833,3402,6185,860
4827,3289,6394,863
4833,3206,6617,860
4828,3147,6816,843
4833,3089,7006,828
4828,3010,7161,823
4833,2972,7309,828
4828,2972,7435,829
4833,2972,7569,828
4828,2923,7682,827
4833,2894,7785,828
4828,2907,7851,827
4833,2933,7915,828
4828,2910,7960,830
4833,2894,8001,828
4828,2921,8004,814
4833,2972,8001,796
4828,2968,7978,788
4833,2933,7958,796
4827,2911,7912,804
4833,2933,7871,796
4828,2954,7822,775
4833,2972,7785,765
4827,2985,7722,766
4833,3011,7655,765
4832,3018,7566,747
4833,3011,7482,733
4800,2998,7375,731
4756,3011,7266,733
4723,3021,7132,718
4756,3011,7006,701
4810,2976,6870,696
4833,2972,6747,701
4785,2994,6611,692
4756,3011,6487,669
4798,2986,6352,646
4910,2972,6228,637
4985,2986,6091,637
4986,3011,5968,637
4910,3005,5834,626
4833,3011,5709,605
4791,3047,5570,582
4833,3089,5449,573
4913,3090,5317,575
4986,3089,5190,573
4995,3116,5046,558
4986,3167,4930,542
4995,3202,4830,537
5063,3246,4757,542
5163,3296,4667,534
