II,V,ABP,RESP
3204,8168,3622,842
4267,10210,4024,966
5082,10692,3469,869
6399,11873,3200,816
7955,13959,3469,869
8781,15085,3625,898
8507,14256,3469,869
7558,12340,3384,860
6408,10544,3520,895
5254,9189,3613,911
4309,8168,3571,895
3787,7496,3551,893
3646,7277,3622,921
3596,7359,3674,945
3425,7425,3673,948
3117,7226,3667,942
2762,6831,3673,948
2444,6457,3655,960
2210,6237,3622,974
2034,6122,3592,986
1878,6089,3571,1000
1736,6096,3542,1015
1657,6089,3520,1027
1639,5994,3491,1027
1657,5940,3469,1027
1657,5943,3439,1034
1657,5940,3418,1053
1649,5834,3391,1069
1657,5792,3367,1079
1653,5858,3335,1087
1657,5940,3316,1106
1656,5881,3293,1132
1657,5792,3265,1158
1650,5765,3214,1173
1657,5792,3163,1185
1663,5773,3109,1195
1657,5792,3061,1211
1636,5872,3002,1224
1657,5940,2959,1237
1747,5879,2928,1249
1878,5792,2908,1264
1965,5765,2864,1276
1989,5792,2806,1290
2009,5778,2744,1301
2099,5792,2704,1316
2200,5865,2660,1328
2210,5940,2602,1343
2131,5892,2520,1354
2099,5792,2449,1369
2159,5743,2391,1381
2210,5792,2347,1395
2159,5823,2291,1406
2099,5792,2245,1422
2132,5704,2209,1434
2210,5643,2194,1448
2199,5620,2168,1458
2099,5643,2143,1474
2012,5655,2111,1489
1989,5643,2091,1501
1962,5576,2064,1499
1878,5495,2040,1501
1752,5406,2009,1508
1657,5346,1989,1527
1632,5273,1976,1541
1657,5198,1989,1553
1645,5147,2010,1562
1547,5198,2040,1580
1404,5257,2072,1595
1326,5198,2143,1606
1327,4968,2249,1604
1326,4752,2398,1606
1233,4643,2562,1614
1105,4604,2755,1632
1048,4518,2943,1646
1105,4455,3112,1658
1157,4442,3237,1668
1105,4455,3367,1685
966,4426,3513,1699
884,4455,3673,1711
913,4541,3804,1711
994,4604,3928,1711
1044,4565,4049,1716
1105,4604,4183,1737
1236,4836,4306,1756
1436,5198,4438,1764
1619,5466,4567,1758
1768,5643,4693,1764
1912,5824,4793,1777
2099,6089,4897,1790
2316,6334,5000,1787
2541,6534,5101,1790
2731,6718,5174,1802
2872,6980,5254,1816
2976,7243,5347,1815
3093,7425,5458,1816
