II,V,ABP
751,-107,8695
748,-158,9380
596,-206,8403
601,-308,8906
585,-436,8989
572,-575,8880
576,-705,8767
603,-804,8831
631,-858,8899
644,-866,8840
650,-843,8768
661,-809,8767
675,-782,8776
692,-770,8720
716,-774,8668
747,-785,8650
778,-794,8628
799,-793,8579
807,-780,8526
801,-759,8489
777,-735,8430
737,-708,8362
688,-679,8296
635,-642,8220
591,-601,8151
564,-560,8070
566,-526,7997
589,-506,7904
627,-506,7815
660,-522,7695
683,-555,7584
689,-595,7447
693,-645,7334
699,-689,7206
719,-724,7120
741,-733,7019
764,-725,6966
772,-705,6888
772,-701,6853
765,-719,6783
767,-775,6760
781,-848,6699
816,-927,6693
858,-980,6650
907,-1010,6660
942,-1011,6634
964,-1005,6651
963,-998,6629
949,-1005,6642
924,-1020,6619
906,-1044,6624
899,-1064,6600
913,-1082,6600
941,-1095,6577
973,-1106,6575
983,-1111,6554
960,-1111,6549
897,-1101,6528
815,-1085,6517
741,-1063,6493
706,-1048,6478
718,-1044,6453
767,-1054,6438
824,-1070,6415
867,-1082,6402
883,-1076,6381
887,-1048,6368
886,-996,6346
894,-937,6334
906,-862,6308
910,-794,6295
903,-710,6265
885,-635,6251
873,-567,6219
876,-536,6207
893,-559,6175
920,-644,6168
935,-781,6137
940,-944,6133
936,-1097,6099
954,-1212,6093
1013,-1256,6052
1135,-1230,6043
1300,-1145,5996
1478,-1070,5986
1602,-1084,5942
1627,-1289,5934
1504,-1721,5893
1242,-2348,5885
869,-3028,5847
457,-3578,5838
79,-3816,5799
-185,-3662,5783
-297,-3143,5745
-245,-2406,5727
-68,-1633,5693
177,-990,5679
422,-565,5652
621,-368,5640
751,-340,5614
826,-403,5599
866,-482,5574
898,-538,5560
928,-556,5539
955,-545,5529
965,-521,5513
959,-501,5506
938,-506,5490
923,-549,5483
920,-643,5464
940,-775,5454
963,-921,5432
982,-1052,5424
970,-1132,5403
932,-1166,5403
870,-1158,5385
812,-1138,5389
772,-1123,5366
780,-1116,5368
830,-1108,5336
928,-1082,5338
1038,-1022,5306
1149,-930,5316
1228,-806,5291
1283,-676,5310
1308,-549,5290
1337,-450,5317
1376,-381,5310
1450,-350,5357
1541,-342,5388
1652,-349,5487
1756,-348,5592
1851,-335,5770
1917,-294,5957
1961,-233,6200
1974,-148,6438
1965,-65,6709
1936,6,6965
1899,38,7241
1858,19,7494
1817,-61,7742
1770,-190,7944
1712,-353,8111
1641,-520,8219
1561,-673,8294
1479,-796,8327
1410,-891,8353
1354,-962,8363
1306,-1017,8383
1252,-1062,8397
1188,-1101,8423
1113,-1132,8438
1038,-1160,8462
970,-1179,8469
921,-1193,8488
884,-1194,8485
854,-1185,8496
817,-1160,8481
781,-1125,8484
742,-1076,8454
718,-1020,8446
700,-955,8401
700,-889,8386
700,-817,8330
704,-753,8312
694,-698,8251
689,-672,8234
680,-675,8170
688,-723,8150
702,-801,8081
733,-906,8048
760,-1007,7966
786,-1099,7915
792,-1164,7819
790,-1213,7753
781,-1248,7653
781,-1285,7580
788,-1317,7477
812,-1345,7394
843,-1353,7281
877,-1344,7185
906,-1312,7068
933,-1269,6971
957,-1217,6868
981,-1165,6790
998,-1109,6711
1007,-1055,6654
1003,-1002,6595
989,-954,6555
965,-906,6512
942,-856,6486
919,-797,6457
898,-725,6447
873,-640,6431
851,-553,6434
837,-477,6426
841,-431,6435
865,-422,6426
905,-460,6438
942,-535,6427
963,-641,6438
950,-749,6423
909,-848,6434
841,-913,6414
767,-951,6424
692,-957,6402
640,-953,6414
608,-940,6386
607,-935,6395
621,-930,6363
654,-933,6368
684,-934,6332
716,-941,6331
736,-948,6298
754,-961,6297
763,-973,6264
774,-982,6259
784,-980,6230
797,-969,6224
809,-948,6193
823,-926,6180
833,-906,6147
846,-893,6128
857,-883,6092
873,-869,6069
891,-841,6037
909,-799,6016
914,-742,5987
905,-678,5968
876,-610,5941
837,-551,5922
799,-506,5892
775,-487,5870
766,-498,5837
769,-541,5814
775,-609,5782
779,-687,5764
781,-757,5733
787,-807,5717
795,-829,5687
803,-829,5674
796,-814,5644
777,-796,5636
746,-775,5608
726,-758,5607
726,-738,5581
758,-720,5585
804,-701,5558
851,-692,5561
873,-694,5531
873,-712,5534
847,-734,5499
815,-757,5498
774,-765,5465
735,-759,5464
692,-733,5434
657,-703,5435
629,-673,5412
624,-655,5414
637,-644,5392
666,-640,5388
693,-630,5363
708,-610,5355
701,-569,5332
674,-510,5323
628,-435,5305
577,-361,5300
532,-304,5285
507,-288,5282
507,-323,5271
531,-407,5268
571,-520,5256
618,-636,5251
666,-732,5239
716,-798,5236
764,-832,5225
811,-841,5222
837,-830,5210
843,-803,5207
819,-758,5190
784,-712,5186
751,-659,5167
737,-627,5165
749,-595,5146
768,-583,5148
786,-568,5131
782,-557,5138
758,-538,5119
721,-514,5127
677,-483,5107
643,-450,5116
624,-415,5092
641,-380,5097
711,-330,5069
862,-257,5070
1095,-155,5041
1390,-68,5042
1676,-61,5021
1870,-227,5029
1876,-615,5013
1650,-1204,5018
1199,-1869,5002
620,-2438,5003
42,-2741,4985
-391,-2698,4984
-590,-2333,4970
-536,-1778,4969
-293,-1193,4956
35,-715,4951
335,-405,4936
544,-261,4928
648,-228,4912
681,-247,4905
687,-270,4892
704,-278,4889
738,-269,4881
775,-251,4882
794,-233,4875
785,-219,4875
753,-214,4863
722,-215,4861
700,-226,4843
711,-238,4838
738,-248,4816
778,-254,4812
812,-248,4786
844,-237,4787
873,-218,4765
917,-193,4775
969,-160,4755
1039,-116,4767
1105,-65,4742
1168,-8,4753
1205,47,4724
1230,97,4737
1235,139,4716
1247,176,4737
1265,207,4727
1317,233,4758
1393,252,4772
1496,269,4840
1596,290,4918
1687,323,5074
1753,370,5267
1805,427,5538
1845,489,5831
1885,544,6163
1917,589,6478
1930,624,6786
1914,658,7051
1875,689,7291
1833,719,7485
1806,742,7656
1800,760,7785
1806,766,7896
1799,760,7973
1758,743,8042
1675,716,8088
1562,679,8139
1436,635,8177
1315,584,8231
1205,532,8273
1112,477,8334
1029,422,8377
960,369,8436
895,320,8467
835,273,8515
769,224,8530
701,163,8570
625,83,8574
557,-21,8611
485,-141,8605
423,-258,8636
356,-354,8619
302,-412,8642
263,-437,8612
271,-438,8622
323,-436,8577
427,-438,8573
542,-447,8524
651,-451,8519
717,-443,8479
748,-417,8478
745,-382,8445
737,-345,8438
735,-320,8394
753,-308,8366
782,-309,8307
818,-315,8263
844,-323,8191
856,-326,8130
843,-319,8046
814,-303,7968
773,-282,7869
739,-260,7779
720,-244,7678
721,-239,7591
734,-242,7496
743,-245,7415
734,-239,7327
692,-213,7252
616,-165,7165
501,-94,7095
351,-3,7018
180,98,6969
13,191,6914
-113,256,6892
-158,273,6859
-93,224,6857
75,112,6829
312,-42,6833
551,-198,6805
742,-320,6813
852,-386,6785
887,-398,6798
864,-366,6772
809,-314,6792
725,-250,6770
622,-187,6791
502,-124,6770
390,-73,6789
296,-31,6768
234,1,6782
184,35,6761
140,74,6770
93,115,6750
70,140,6757
84,129,6737
143,79,6736
219,5,6713
267,-70,6706
262,-120,6679
200,-151,6664
120,-175,6635
54,-215,6618
24,-281,6589
31,-358,6570
53,-431,6543
86,-480,6524
125,-504,6494
191,-504,6470
301,-478,6433
476,-411,6401
720,-289,6355
1021,-124,6318
1333,22,6268
1589,34,6235
1702,-199,6190
1605,-721,6167
1277,-1457,6126
766,-2213,6107
185,-2746,6064
-319,-2876,6047
-624,-2551,6001
-662,-1887,5984
-461,-1091,5939
-113,-380,5927
256,110,5880
548,348,5870
714,390,5825
771,320,5820
762,212,5780
731,101,5776
699,0,5743
669,-95,5741
629,-182,5709
581,-255,5704
523,-316,5675
484,-362,5669
461,-412,5640
475,-462,5632
504,-511,5608
548,-546,5603
585,-541,5585
608,-497,5583
607,-395,5570
576,-260,5569
518,-98,5555
437,69,5551
347,228,5535
273,366,5529
238,478,5511
262,567,5507
346,640,5491
480,705,5491
642,765,5482
810,822,5495
958,876,5496
1076,921,5525
1158,955,5542
1215,974,5593
1264,977,5633
1333,955,5724
1438,909,5818
1576,841,5984
1719,764,6156
1829,682,6405
1868,600,6642
1828,518,6931
1721,433,7169
1587,342,7429
1456,240,7616
1351,135,7816
1269,33,7945
1200,-52,8090
1126,-117,8182
1043,-154,8293
948,-167,8359
856,-162,8442
775,-153,8490
710,-136,8554
651,-115,8588
587,-81,8641
509,-40,8678
422,7,8734
341,47,8776
290,73,8829
275,81,8865
294,78,8900
327,67,8911
358,56,8919
370,42,8911
366,26,8908
348,7,8893
322,-9,8891
280,-21,8878
218,-21,8879
127,-11,8863
10,14,8863
-120,53,8843
-235,102,8845
-311,149,8820
-329,180,8823
-296,181,8796
-240,149,8803
-203,94,8772
-208,35,8780
-259,-12,8745
-321,-46,8752
-354,-75,8709
-329,-106,8713
-248,-135,8662
-130,-151,8662
-13,-137,8607
85,-89,8605
147,-17,8556
185,53,8558
202,101,8520
207,115,8526
195,107,8494
170,89,8500
137,74,8473
109,60,8477
103,40,8453
126,9,8456
176,-30,8438
229,-64,8440
260,-84,8420
260,-92,8414
237,-98,8389
224,-126,8376
251,-188,8349
333,-287,8334
464,-409,8308
620,-538,8291
772,-655,8259
896,-748,8236
973,-799,8199
994,-803,8176
952,-758,8141
862,-682,8124
745,-599,8091
628,-538,8080
532,-509,8046
467,-510,8036
439,-526,7998
445,-539,7991
489,-541,7951
566,-534,7947
663,-520,7904
752,-502,7902
806,-475,7857
819,-445,7858
811,-425,7811
814,-433,7809
856,-477,7758
938,-559,7750
1022,-657,7696
1068,-746,7683
1023,-796,7633
884,-792,7623
659,-730,7579
403,-624,7567
161,-484,7525
-28,-350,7509
-146,-235,7467
-208,-167,7448
-238,-142,7409
-267,-147,7389
-309,-160,7355
-360,-157,7335
-404,-129,7302
-412,-79,7280
-373,-13,7245
-277,69,7216
-127,177,7173
70,316,7133
300,460,7080
524,543,7034
683,471,6977
702,162,6933
517,-392,6881
118,-1100,6845
-446,-1783,6791
-1056,-2244,6750
-1573,-2342,6685
-1877,-2060,6633
-1915,-1500,6554
-1713,-842,6499
-1355,-266,6420
-952,121,6374
-599,298,6300
-356,316,6264
-236,244,6195
-224,152,6166
-277,67,6096
-350,4,6066
-402,-45,5996
-409,-68,5963
-363,-67,5892
-270,-33,5856
-158,13,5786
-47,66,5744
27,108,5673
57,138,5630
34,165,5567
-22,188,5535
-81,229,5497
-126,272,5494
-127,336,5488
-96,416,5510
-36,519,5525
28,640,5559
83,754,5584
118,836,5622
135,861,5647
136,836,5682
128,782,5702
120,732,5729
125,705,5742
158,704,5769
231,715,5790
337,721,5842
460,716,5905
569,708,6024
640,707,6170
664,720,6386
655,741,6617
642,770,6897
657,801,7148
707,832,7412
788,863,7609
862,892,7805
911,920,7927
918,952,8063
897,989,8137
867,1039,8242
847,1089,8293
829,1124,8380
798,1118,8414
729,1068,8480
616,981,8499
474,890,8548
335,820,8561
221,789,8608
134,778,8631
52,751,8685
-58,666,8715
-212,511,8765
-407,307,8790
-609,112,8827
-780,-22,8839
-892,-64,8860
-935,-30,8862
-913,32,8870
-846,71,8861
-742,62,8859
-617,14,8844
-484,-37,8838
-359,-58,8821
-263,-32,8814
-207,34,8794
-190,120,8785
-198,205,8757
-214,270,8740
-223,309,8699
-226,321,8671
-231,311,8615
-259,292,8577
-318,273,8505
-404,263,8460
-494,262,8382
-553,269,8342
-545,281,8268
-470,296,8240
-347,314,8174
-227,330,8160
-152,331,8101
-154,308,8097
-226,251,8046
-343,160,8051
-465,49,8009
-571,-60,8019
-653,-149,7987
-706,-203,8000
-724,-221,7976
-703,-211,7994
-640,-189,7980
-551,-165,8004
-458,-149,8002
