III,V,ABP,RESP
2072,0,3557,0
2384,-51,4027,0
2107,-98,3557,0
1901,-105,3313,0
2000,-98,3557,0
2142,-113,3699,0
2179,-146,3557,0
2194,-160,3468,0
2214,-146,3557,0
2161,-135,3586,0
2072,-146,3499,0
2026,-161,3455,0
2000,-146,3499,0
1925,-98,3520,0
1857,-49,3499,0
1869,-31,3492,0
1929,-49,3499,0
1955,-79,3475,0
1964,-98,3442,0
1999,-98,3432,0
2072,-98,3442,0
2171,-125,3439,0
2322,-195,3442,0
2472,-269,3443,0
2536,-293,3442,0
2470,-262,3411,0
2393,-244,3385,0
2416,-280,3371,0
2536,-342,3385,0
2636,-377,3385,0
2679,-391,3385,0
2698,-410,3375,0
2750,-439,3385,0
2820,-461,3383,0
2893,-488,3385,0
2968,-546,3374,0
3072,-635,3385,0
3178,-720,3386,0
3250,-781,3385,0
3281,-828,3366,0
3322,-879,3385,0
3373,-934,3428,0
3393,-977,3499,0
3364,-1002,3579,0
3357,-1025,3729,0
3389,-1055,3952,0
3393,-1074,4245,0
3313,-1064,4559,0
3215,-1025,4934,0
3140,-977,5367,0
3036,-928,5851,0
2853,-880,6318,0
2679,-830,6769,0
2590,-770,7174,0
2536,-684,7515,0
2408,-569,7735,0
2214,-439,7859,0
2001,-301,7892,0
1786,-146,7859,0
1573,13,7736,0
1429,146,7572,0
1338,247,7404,0
1214,342,7286,0
1031,447,7190,0
929,537,7113,0
967,593,7036,0
1036,635,6999,0
1011,687,6988,0
964,732,6999,0
978,757,6978,0
1000,781,6941,0
918,828,6880,0
786,879,6827,0
720,910,6762,0
750,928,6712,0
802,941,6636,0
857,928,6540,0
925,879,6410,0
1000,830,6310,0
1045,818,6224,0
1072,830,6138,0
1095,834,6013,0
1107,830,5909,0
1090,831,5823,0
1072,830,5737,0
1080,808,5594,0
1107,781,5450,0
1107,771,5324,0
1072,781,5220,0
1034,788,5079,-1
1036,781,4934,0
1060,758,4800,1
1072,732,4704,0
1055,718,4592,-2
1036,732,4475,0
1012,763,4347,7
964,781,4245,16
914,764,4147,24
929,732,4073,32
1001,717,4004,40
1036,732,3958,48
973,759,3916,56
893,781,3901,64
883,786,3893,73
929,781,3901,80
956,776,3897,86
964,781,3901,96
981,788,3896,113
1000,781,3901,129
997,756,3896,138
1000,732,3901,145
1022,725,3898,157
1036,732,3901,177
1013,735,3894,196
1000,732,3901,209
1028,730,3902,216
1072,732,3901,225
1079,733,3873,239
1072,732,3844,257
1100,732,3809,274
1179,732,3786,289
1260,718,3755,304
1322,684,3729,322
1375,645,3696,338
1429,635,3671,354
1431,656,3639,368
1357,684,3614,386
1280,676,3582,408
1322,635,3557,434
1459,592,3523,458
1536,586,3499,482
1453,609,3469,505
1322,635,3442,530
1282,639,3404,554
1322,635,3385,579
1323,630,3377,602
1250,635,3385,627
1183,633,3366,651
1179,635,3327,675
1226,630,3280,697
1286,635,3270,723
1337,631,3275,752
1357,635,3270,788
1345,660,3232,821
1322,732,3213,852
1292,833,3212,880
1250,928,3213,916
1198,1003,3179,955
1179,1074,3155,997
1187,1143,3152,1034
1179,1221,3155,1077
1080,1389,3124,1123
821,1758,3098,1174
284,2315,3093,1219
-571,2930,3098,1270
-1563,3537,3069,1323
-2286,4248,3040,1382
-2478,5147,3031,1437
-2286,6055,3040,1495
-2153,6584,3018,1551
-2286,6445,2983,1608
-2405,5647,2963,1655
-2000,4443,2983,1704
-926,3147,2997,1755
429,2002,2983,1817
1485,1153,2943,1873
2000,635,2926,1929
2144,362,2926,1981
2214,195,2926,2042
2313,53,2895,2103
2393,-49,2868,2170
2422,-86,2859,2232
2464,-98,2868,2299
2532,-138,2866,2360
2572,-195,2868,2427
2551,-233,2871,2489
2536,-244,2868,2556
2542,-253,2838,2618
2500,-244,2811,2685
2410,-219,2801,2741
2393,-195,2811,2797
2494,-215,2810,2847
2572,-244,2811,2910
2516,-244,2811,2971
2429,-195,2811,3038
2428,-150,2784,3098
2464,-146,2754,3167
2431,-177,2737,3236
2393,-195,2754,3312
2439,-177,2764,3374
2536,-146,2754,3440
2560,-147,2718,3506
2536,-195,2696,3585
2553,-256,2690,3652
2643,-293,2696,3713
2718,-296,2692,3767
2750,-293,2696,3842
2767,-308,2699,3918
2822,-342,2696,3987
2873,-373,2666,4022
2893,-391,2639,4051
2906,-405,2627,4074
3000,-439,2639,4099
3160,-490,2640,4101
3286,-537,2639,4099
3301,-565,2632,4093
3286,-586,2639,4099
3328,-623,2638,4097
3429,-684,2639,4099
3513,-758,2632,4094
3572,-830,2639,4099
3614,-889,2637,4096
3643,-928,2639,4099
3661,-952,2628,4095
3715,-977,2639,4099
3776,-1006,2658,4095
