II,MCL,PLETH,RESP
8598,3659,5724,2123
10118,3752,6425,2406
9854,2614,5587,2123
10563,1684,5120,1975
12655,1419,5450,2123
14422,1194,5616,2214
15167,747,5312,2123
15481,495,5105,2055
15553,747,5210,2100
14907,1290,5240,2130
13718,1867,5073,2100
12658,2425,4952,2081
11979,2987,4970,2100
11400,3489,4955,2099
10916,3883,4867,2076
10715,4152,4794,2066
10820,4332,4764,2076
11005,4452,4716,2078
11206,4556,4661,2076
11408,4637,4621,2077
11592,4705,4593,2076
11667,4750,4541,2063
11689,4780,4490,2053
11672,4773,4431,2047
11689,4780,4387,2053
11681,4811,4332,2052
11689,4854,4284,2053
11672,4863,4228,2049
11689,4854,4181,2053
11677,4845,4125,2051
11689,4854,4079,2053
11673,4855,4025,2050
11689,4854,3976,2053
11681,4847,3916,2051
11689,4854,3873,2053
11669,4852,3833,2050
11689,4854,3804,2053
11717,4847,3765,2051
11786,4854,3736,2053
11802,4852,3701,2051
11786,4854,3667,2053
11713,4846,3613,2051
11689,4854,3564,2053
11676,4855,3522,2051
11689,4854,3496,2053
11664,4839,3460,2051
11689,4854,3427,2053
11727,4887,3388,2051
11786,4929,3359,2053
11780,4933,3321,2051
11786,4929,3290,2053
11777,4920,3253,2051
11786,4929,3222,2053
11754,4924,3183,2051
11786,4929,3153,2053
11861,4947,3117,2051
11979,5004,3085,2053
12026,5051,3043,2051
12075,5078,3016,2053
12139,5069,2994,2051
12269,5078,2982,2053
12366,5104,2960,2051
12462,5153,2948,2053
12535,5186,2931,2051
12655,5228,2913,2053
12753,5265,2876,2051
12848,5302,2845,2053
12890,5305,2820,2051
12945,5302,2810,2053
12979,5295,2792,2051
13041,5302,2776,2053
13081,5299,2755,2050
13138,5302,2742,2053
13149,5280,2721,2051
13138,5228,2708,2053
13048,5138,2691,2050
12945,5078,2673,2053
12802,5042,2638,2051
12655,5004,2605,2053
12426,4922,2577,2050
12172,4854,2571,2053
11919,4812,2568,2052
11786,4780,2571,2053
11695,4703,2557,2049
11592,4630,2536,2053
11387,4580,2508,2054
11206,4556,2502,2053
11098,4509,2504,2038
11109,4481,2502,2029
11111,4475,2480,2025
11109,4481,2468,2029
11082,4444,2466,2027
11109,4406,2468,2029
11118,4389,2449,2030
11109,4406,2433,2029
11015,4407,2429,2015
10916,4406,2433,2006
10824,4400,2418,2003
10820,4406,2399,2006
10818,4399,2388,1994
10820,4406,2399,1982
10786,4408,2404,1974
10820,4406,2399,1982
10870,4388,2379,1985
10916,4406,2365,1982
10891,4448,2357,1967
10916,4481,2365,1958
10995,4450,2369,1953
11109,4406,2365,1958
11127,4384,2343,1960
11109,4406,2331,1958
11083,4413,2326,1945
11109,4406,2331,1935
11106,4391,2327,1928
11109,4406,2331,1935
11095,4413,2332,1938
11109,4406,2331,1935
11098,4385,2311,1918
11109,4406,2296,1911
11103,4450,2289,1910
11109,4481,2296,1911
11088,4449,2295,1897
11109,4406,2296,1888
11120,4385,2294,1884
11109,4406,2296,1888
11005,4412,2281,1877
10916,4406,2262,1864
10872,4393,2248,1856
10916,4406,2262,1864
10929,4411,2281,1868
10916,4406,2296,1864
10850,4387,2290,1849
10820,4406,2296,1840
10797,4443,2319,1836
10820,4481,2365,1840
10816,4480,2401,1840
10820,4481,2433,1840
10799,4480,2458,1837
10820,4481,2502,1840
10819,4465,2556,1839
10820,4481,2639,1840
10807,4519,2732,1837
10916,4556,2845,1840
11150,4546,2955,1840
11496,4556,3085,1840
11803,4611,3215,1835
12075,4705,3359,1840
12309,4759,3500,1850
12558,4780,3667,1864
12693,4776,3838,1865
12655,4780,4010,1864
12443,4771,4159,1860
12269,4780,4318,1864
12212,4787,4485,1863
12269,4780,4661,1864
12282,4712,4815,1861
12269,4630,4970,1864
12243,4566,5121,1864
12269,4556,5278,1864
12251,4556,5405,1860
12172,4556,5518,1864
11969,4522,5616,1865
11689,4481,5724,1864
11315,4430,5814,1857
10916,4406,5895,1864
10468,4397,5957,1878
10047,4406,6032,1888
9699,4406,6101,1876
9564,4406,6169,1864
9545,4401,6215,1858
9564,4406,6272,1864
9519,4405,6326,1863
9564,4406,6375,1864
9669,4400,6381,1864
9757,4406,6375,1864
9675,4407,6364,1851
9564,4406,6375,1840
9497,4392,6367,1836
9467,4406,6341,1840
9279,4440,6284,1832
8984,4481,6238,1817
8698,4455,6186,1798
8598,4332,6135,1793
8642,4063,6060,1792
8888,3659,5998,1793
9415,3127,5940,1783
10433,2539,5895,1770
11886,1942,5826,1752
13524,1419,5758,1746
14847,1036,5682,1744
15553,896,5621,1746
15552,1009,5547,1736
15070,1344,5484,1722
14266,1814,5412,1705
13331,2390,5347,1699
12392,3003,5267,1696
11689,3585,5210,1699
11272,4027,5155,1690
11109,4332,5107,1675
11047,4533,5032,1656
11109,4705,4970,1652
11268,4836,4920,1653
11496,4929,4901,1652
11634,4968,4869,1636
11689,5004,4833,1628
11676,5038,4777,1628
11689,5078,4730,1628
11681,5085,4672,1614
11689,5078,4627,1604
11672,5067,4573,1603
11689,5078,4524,1604
11678,5083,4464,1591
11689,5078,4421,1581
11668,5063,4382,1578
11689,5078,4353,1581
11714,5113,4302,1569
11786,5153,4250,1557
11803,5158,4191,1554
11786,5153,4147,1557
11736,5143,4094,1547
11786,5153,4044,1534
11883,5151,3986,1526
11979,5153,3941,1534
11973,5146,3890,1537
11979,5153,3839,1534
12011,5149,3777,1520
12075,5153,3736,1510
12042,5146,3700,1505
11979,5153,3667,1510
11928,5149,3613,1513
11979,5153,3564,1510
12031,5146,3522,1496
12075,5153,3496,1486
12063,5149,3460,1482
12075,5153,3427,1486
12068,5143,3390,1486
12075,5153,3359,1486
12050,5175,3318,1484
12075,5228,3290,1486
12109,5270,3268,1485
12172,5302,3256,1486
12199,5299,3225,1485
12269,5302,3187,1486
12349,5319,3144,1485
12462,5377,3119,1486
12539,5426,3099,1485
12655,5452,3085,1486
12761,5440,3053,1485
12848,5452,3016,1486
12841,5483,2972,1485
12848,5526,2948,1486
12877,5530,2928,1485
12945,5526,2913,1486
12945,5520,2879,1485
12945,5526,2845,1486
12960,5497,2816,1485
13041,5452,2810,1486
13070,5399,2800,1485
13041,5377,2776,1486
12936,5348,2732,1485
12848,5302,2708,1486
12721,5220,2702,1485
12558,5153,2708,1486
12333,5104,2693,1485
12172,5078,2673,1486
12059,5017,2652,1485
11979,4929,2639,1486
11828,4828,2617,1485
11689,4780,2605,1486
11569,4769,2600,1485
11496,4780,2605,1486
11355,4751,2592,1485
11206,4705,2571,1486
11091,4650,2546,1485
11109,4630,2536,1486
11135,4622,2521,1485
11109,4630,2502,1486
10986,4626,2475,1485
10916,4630,2468,1486
10897,4625,2468,1485
10916,4630,2468,1486
10885,4626,2448,1485
10916,4630,2433,1486
11000,4625,2428,1485
11109,4630,2433,1486
11115,4626,2430,1485
11109,4630,2433,1486
11130,4624,2436,1485
11206,4630,2433,1486
11217,4627,2412,1485
11206,4630,2399,1486
11181,4623,2397,1485
11206,4630,2399,1486
11203,4630,2381,1485
11206,4630,2365,1486
11189,4618,2360,1485
11206,4630,2365,1486
11199,4639,2350,1485
11206,4630,2331,1486
11191,4583,2319,1485
11206,4556,2331,1486
11199,4549,2336,1485
11206,4556,2331,1486
11191,4541,2309,1485
11206,4556,2296,1486
11176,4595,2290,1485
11109,4630,2296,1486
10981,4600,2295,1485
10916,4556,2296,1486
10898,4535,2292,1485
10916,4556,2296,1486
10865,4559,2294,1485
10820,4556,2296,1486
10788,4546,2292,1485
10820,4556,2296,1486
10820,4554,2302,1485
10820,4556,2331,1486
10798,4550,2362,1484
10820,4556,2399,1486
10817,4550,2424,1486
10820,4556,2468,1486
10798,4553,2525,1484
10820,4556,2605,1486
10816,4545,2681,1487
10820,4556,2776,1486
10861,4581,2884,1481
11109,4630,3016,1486
11519,4667,3146,1498
11979,4705,3290,1510
12307,4734,3436,1509
12558,4780,3599,1510
12741,4818,3759,1518
12848,4854,3941,1534
12759,4860,4127,1538
12558,4854,4318,1534
12351,4819,4479,1526
12269,4780,4627,1534
12247,4731,4759,1546
12269,4705,4901,1557
12262,4672,5035,1557
12269,4630,5175,1557
12260,4573,5307,1556
12269,4556,5450,1557
12188,4558,5584,1555
11979,4556,5724,1557
11607,4510,5845,1558
11206,4481,5964,1557
10805,4478,6064,1551
10433,4481,6169,1557
10046,4442,6256,1571
9757,4406,6341,1581
9557,4396,6406,1570
9467,4406,6478,1557
9404,4398,6533,1551
9467,4406,6581,1557
9600,4440,6597,1557
9757,4481,6615,1557
9786,4483,6627,1555
9757,4481,6649,1557
9671,4481,6641,1555
9564,4481,6615,1557
9365,4459,6569,1559
9177,4481,6546,1557
9012,4537,6517,1543
8888,4556,6478,1534
8703,4413,6402,1531
8598,4107,6341,1534
8766,3643,6286,1524
9467,3062,6238,1510
10660,2421,6153,1502
12172,1867,6066,1510
13631,1440,5984,1515
14780,1120,5929,1510
15368,908,5860,1493
15360,971,5792,1486
14789,1377,5715,1487
13911,2016,5655,1486
12933,2652,5583,1473
12075,3211,5518,1463
11375,3692,5442,1460
10916,4107,5381,1463
10685,4408,5309,1452
10723,4630,5244,1439
10920,4797,5167,1432
11206,4929,5107,1439
11433,4983,5046,1443
11592,5004,5004,1439
11652,5023,4951,1425
11689,5078,4901,1416
11683,5124,4841,1411
11689,5153,4798,1416
11672,5153,4748,1418
11689,5153,4696,1416
11681,5149,4620,1403
11689,5153,4558,1392
11664,5151,4502,1386
11689,5153,4456,1392
11721,5149,4386,1395
11786,5153,4318,1392
11791,5149,4254,1378
11786,5153,4216,1368
11760,5148,4167,1364
11786,5153,4113,1368
11790,5147,4038,1368
11786,5153,3976,1368
11747,5149,3916,1366
11786,5153,3873,1368
11869,5146,3820,1368
11979,5153,3770,1368
11994,5151,3711,1367
11979,5153,3667,1368
11948,5143,3627,1367
11979,5153,3599,1368
11987,5156,3562,1367
11979,5153,3530,1368
11886,5133,3491,1367
11786,5153,3462,1368
11709,5192,3424,1367
11786,5228,3393,1368
11931,5219,3355,1367
12075,5228,3325,1368
12117,5260,3287,1367
12172,5302,3256,1368
12226,5300,3217,1367
12269,5302,3187,1368
12231,5328,3151,1367
12269,5377,3119,1368
12394,5383,3079,1367
12558,5377,3050,1368
12613,5389,3016,1368
12655,5452,2982,1368
12727,5502,2939,1366
12848,5526,2913,1368
12900,5518,2894,1369
12945,5526,2879,1368
12987,5532,2843,1363
13041,5526,2810,1368
13002,5483,2785,1379
12945,5452,2776,1392
12907,5439,2759,1393
12945,5452,2742,1392
12929,5429,2720,1391
12848,5377,2708,1392
12690,5295,2689,1389
12558,5228,2673,1392
12389,5152,2652,1402
12172,5078,2639,1416
11887,4991,2620,1418
11689,4929,2605,1416
11572,4881,2583,1412
11496,4854,2571,1416
11339,4814,2553,1416
11206,4780,2536,1416
11125,4736,2512,1413
11109,4705,2502,1416
11022,4660,2499,1416
10916,4630,2502,1416
10822,4612,2487,1411
10820,4630,2468,1416
10815,4639,2445,1426
10820,4630,2433,1439
10798,4586,2425,1442
10820,4556,2433,1439
10818,4542,2438,1435
10820,4556,2433,1439
10793,4555,2410,1442
10820,4556,2399,1439
10830,4548,2399,1425
10820,4556,2399,1416
10767,4552,2378,1411
10820,4556,2365,1416
10956,4550,2363,1416
11109,4556,2365,1416
11133,4551,2345,1413
11109,4556,2331,1416
11084,4550,2328,1415
11109,4556,2331,1416
11101,4551,2312,1414
11109,4556,2296,1416
11110,4551,2292,1414
11109,4556,2296,1416
11016,4551,2280,1414
10916,4556,2262,1416
10861,4551,2254,1414
10916,4556,2262,1416
