II,V,PLETH,ABP
-668,379,6842,3451
-1158,396,9288,4681
-1308,122,9569,4819
-1145,-322,8898,4479
-1065,-699,8646,4346
-1193,-867,8915,4470
-1212,-903,9110,4553
-994,-1004,8951,4463
-919,-1254,8758,4360
-1199,-1497,8779,4364
-1401,-1514,8898,4412
-1101,-1295,8855,4375
-589,-1068,8714,4291
-478,-1004,8663,4255
-862,-1024,8726,4273
-1328,-930,8723,4254
-1562,-671,8641,4193
-1572,-360,8590,4147
-1417,-98,8624,4140
-1082,95,8632,4118
-658,198,8587,4076
-388,137,8527,4036
-394,-125,8517,4022
-488,-477,8496,3997
-443,-702,8485,3973
-355,-660,8462,3943
-493,-424,8472,3924
-723,-221,8471,3896
-523,-189,8474,3875
276,-245,8445,3847
1108,-245,8436,3831
1350,-234,8420,3808
1056,-404,8418,3791
746,-762,8387,3765
633,-995,8376,3750
526,-767,8360,3729
308,-135,8359,3718
194,472,8328,3697
336,662,8317,3684
533,463,8302,3665
502,195,8300,3656
260,101,8255,3640
78,132,8214,3629
-84,155,8164,3608
-502,140,8140,3598
-1162,159,8105,3585
-1516,224,8102,3582
-1171,306,8101,3570
-564,360,8113,3565
-554,303,8085,3553
-1374,72,8061,3549
-2314,-216,8027,3537
-2595,-344,8014,3532
-2282,-324,7979,3520
-2028,-450,7962,3516
-2039,-890,7940,3504
-1708,-1425,7940,3501
-342,-1768,7912,3492
2118,-1994,7889,3493
5247,-2407,7852,3485
8456,-3062,7837,3484
10846,-3632,7801,3476
11225,-3754,7767,3476
9019,-3388,7709,3469
5121,-2776,7672,3468
1406,-2160,7632,3460
-740,-1618,7620,3459
-1281,-1154,7605,3453
-1097,-780,7618,3452
-965,-492,7612,3441
-1080,-234,7590,3436
-1249,-12,7518,3427
-1315,78,7458,3428
-1275,-2,7405,3418
-1192,-121,7386,3411
-1117,-155,7361,3394
-1130,-157,7366,3387
-1239,-232,7366,3375
-1360,-334,7365,3371
-1411,-313,7325,3360
-1418,-126,7299,3355
-1411,155,7273,3343
-1320,438,7257,3337
-1154,669,7207,3322
-1029,826,7177,3312
-1081,986,7154,3295
-1226,1197,7140,3288
-1308,1339,7083,3271
-1288,1210,7035,3263
-1230,883,6993,3246
-1187,698,6971,3238
-1156,817,6918,3221
-1155,988,6880,3214
-1205,913,6850,3201
-1273,663,6842,3205
-1265,506,6807,3209
-1140,498,6786,3234
-982,491,6770,3262
-918,435,6771,3317
-980,458,6739,3383
-1072,594,6710,3482
-1081,644,6677,3593
-991,360,6663,3736
-871,-240,6629,3891
-756,-853,6611,4076
-612,-1160,6591,4267
-421,-1094,6589,4481
-273,-820,6562,4695
-262,-502,6538,4928
-341,-181,6503,5155
-347,150,6486,5386
-200,406,6451,5596
4,471,6423,5806
153,328,6383,5993
275,103,6366,6172
467,-69,6334,6316
722,-164,6302,6446
939,-290,6245,6545
1071,-555,6208,6636
1197,-938,6166,6698
1378,-1304,6132,6754
1545,-1551,6070,6786
1584,-1633,6026,6818
1529,-1490,5985,6832
1545,-1129,5961,6851
1714,-759,5914,6855
1899,-618,5877,6867
1920,-600,5844,6865
1758,-370,5847,6874
1536,93,5837,6872
1353,352,5831,6883
1223,150,5815,6880
1120,-151,5835,6891
999,-56,5850,6892
788,366,5861,6908
481,613,5849,6909
173,479,5884,6922
-30,282,5942,6924
-131,316,6007,6943
-211,390,6034,6950
-330,100,6094,6966
-496,-539,6180,6963
-679,-1018,6273,6972
-827,-943,6314,6971
-900,-522,6376,6983
-933,-279,6473,6977
-1008,-417,6593,6978
-1141,-658,6660,6963
-1242,-692,6729,6961
-1233,-525,6813,6945
-1145,-376,6920,6938
-1079,-380,6980,6913
-1072,-496,7038,6898
-1071,-625,7103,6869
-1039,-729,7193,6851
-1013,-844,7244,6815
-1048,-951,7294,6785
-1107,-920,7344,6738
-1094,-692,7423,6698
-1004,-452,7479,6641
-961,-413,7535,6591
-1047,-452,7579,6522
-1190,-231,7646,6462
-1259,250,7690,6387
-1215,494,7735,6321
-1099,140,7764,6234
-973,-510,7827,6147
-918,-798,7887,6040
-1009,-482,7953,5939
-1178,70,7990,5825
-1250,363,8057,5718
-1157,294,8123,5594
-1062,89,8194,5480
-1116,-44,8227,5356
-1249,-98,8288,5247
-1284,-119,8357,5131
-1203,-110,8433,5033
-1128,-93,8465,4931
-1139,-166,8521,4845
-1168,-320,8590,4752
-1134,-428,8672,4681
-1039,-464,8705,4611
-958,-590,8755,4565
-937,-880,8812,4515
-957,-1173,8881,4482
-957,-1331,8900,4445
-918,-1436,8939,4430
-874,-1573,9004,4413
-880,-1596,9107,4411
-947,-1328,9165,4402
-1033,-922,9220,4409
-1056,-759,9264,4413
-977,-970,9327,4431
-840,-1250,9347,4439
-754,-1329,9368,4456
-750,-1447,9379,4463
-787,-1962,9418,4481
-827,-2556,9429,4489
-902,-2426,9444,4504
-1002,-1439,9439,4505
-1043,-487,9457,4512
-965,-336,9455,4504
-840,-641,9461,4505
-781,-613,9442,4496
-817,-204,9438,4496
-877,-16,9414,4483
-911,-286,9411,4473
-938,-575,9387,4451
-987,-506,9380,4435
-1034,-288,9353,4409
-1055,-332,9349,4388
-1090,-591,9328,4356
-1176,-657,9322,4331
-1235,-376,9294,4298
-1148,-93,9288,4274
-949,-101,9269,4241
-835,-201,9265,4216
-895,-10,9236,4184
-958,455,9227,4159
-826,849,9209,4127
-570,986,9215,4103
-452,1005,9203,4070
-579,999,9212,4045
-767,844,9204,4010
-790,416,9208,3984
-647,-132,9181,3952
-517,-518,9171,3930
-490,-650,9152,3899
-458,-710,9155,3875
-288,-890,9140,3845
-43,-1179,9150,3826
98,-1438,9146,3800
69,-1609,9150,3782
11,-1689,9121,3756
102,-1647,9114,3741
374,-1448,9100,3722
699,-1204,9095,3713
949,-1097,9051,3697
1072,-1166,9026,3686
1073,-1233,9000,3665
945,-1189,8987,3652
712,-1204,8937,3632
473,-1468,8907,3619
375,-1760,8880,3600
487,-1577,8870,3589
677,-818,8821,3574
731,-81,8790,3566
473,-20,8761,3550
-9,-595,8752,3541
-495,-1154,8702,3527
-767,-1234,8658,3523
-811,-961,8610,3511
-777,-772,8585,3507
-806,-869,8533,3495
-893,-1160,8497,3490
-925,-1475,8460,3478
-875,-1757,8449,3475
-867,-1919,8410,3467
-1044,-1838,8381,3466
-1337,-1509,8342,3455
-1428,-1158,8328,3450
-907,-991,8292,3441
512,-1015,8265,3442
2887,-1123,8223,3435
5981,-1303,8208,3434
9177,-1548,8175,3426
11449,-1779,8144,3425
11705,-1938,8085,3419
9540,-2137,8050,3421
5789,-2494,8008,3417
2098,-2902,7978,3419
-262,-3091,7927,3411
-1152,-2955,7905,3410
-1180,-2685,7880,3402
-929,-2541,7853,3402
-662,-2543,7775,3395
-523,-2505,7710,3394
-577,-2338,7656,3384
-740,-2168,7638,3380
-850,-2080,7608,3368
-886,-1978,7609,3363
-943,-1773,7612,3351
-1055,-1569,7616,3347
-1121,-1461,7573,3335
-1073,-1354,7547,3330
-1002,-1109,7526,3318
-1033,-823,7509,3314
-1160,-714,7438,3302
-1187,-811,7372,3297
-1044,-877,7316,3285
-833,-684,7284,3281
-752,-236,7225,3269
-821,258,7186,3264
-935,582,7159,3249
-1009,637,7151,3241
-1003,508,7105,3223
-910,355,7071,3216
-788,301,7041,3201
-766,321,7031,3197
-876,282,6988,3188
-979,40,6954,3195
-916,-392,6923,3205
-702,-816,6912,3242
-469,-978,6871,3285
-318,-825,6838,3359
-281,-561,6805,3442
-346,-416,6793,3560
-457,-319,6752,3692
-504,-1,6712,3858
-433,594,6660,4035
-304,1087,6629,4240
-235,1024,6583,4448
-230,378,6547,4676
-176,-392,6505,4898
18,-782,6489,5135
261,-627,6458,5362
384,-157,6424,5595
350,275,6367,5805
299,466,6332,6008
346,461,6291,6179
463,389,6247,6341
610,270,6168,6473
859,2,6106,6597
1250,-419,6054,6689
1643,-797,6026,6772
1829,-899,5975,6827
1772,-704,5938,6879
1643,-417,5908,6909
1629,-235,5906,6938
1778,-171,5879,6943
1996,-164,5854,6952
2154,-273,5826,6948
2165,-643,5839,6953
2020,-1239,5841,6943
1805,-1728,5834,6944
1671,-1756,5805,6933
1675,-1360,5831,6936
1662,-980,5884,6928
1435,-1041,5945,6935
1080,-1502,5968,6932
