II,III,PLETH,ABP
784,1926,7592,3700
908,2164,8607,4190
836,1871,7592,3700
830,1692,7037,3444
993,1816,7539,3700
1218,1976,7850,3852
1463,2091,7539,3700
1754,2295,7327,3599
2090,2587,7539,3700
2375,2803,7692,3760
2561,2917,7592,3700
2646,2976,7511,3659
2665,2972,7592,3700
2653,2893,7639,3719
2665,2862,7592,3700
2686,2929,7538,3687
2665,2972,7539,3700
2593,2847,7538,3696
2561,2642,7539,3700
2600,2517,7536,3717
2665,2532,7539,3747
2737,2615,7528,3760
2927,2752,7539,3793
3310,2937,7533,3843
3867,3137,7539,3934
4522,3258,7530,4035
5174,3302,7539,4168
5534,3357,7532,4316
5278,3522,7539,4496
4451,3759,7531,4674
3606,3962,7539,4871
3254,4064,7531,5069
3397,4128,7539,5292
3660,4219,7531,5504
3815,4348,7539,5714
3865,4464,7531,5899
3867,4568,7539,6088
3818,4663,7532,6258
3763,4733,7539,6416
3748,4722,7531,6537
3763,4623,7539,6650
3735,4447,7532,6745
3658,4238,7539,6838
3555,4039,7529,6893
3449,3907,7539,6931
3312,3807,7538,6948
3136,3632,7539,6978
2896,3282,7481,6989
2613,2807,7380,6978
2316,2345,7229,6927
2090,2036,7114,6884
1955,1896,7035,6839
1881,1871,7008,6791
1806,1863,6974,6712
1725,1816,6955,6650
1666,1697,6922,6598
1672,1541,6902,6557
1734,1394,6863,6481
1829,1321,6849,6416
1902,1308,6837,6360
1934,1321,6849,6322
1939,1315,6842,6251
1986,1321,6849,6182
2093,1344,6843,6119
2247,1376,6849,6088
2398,1381,6836,6042
2509,1376,6849,5995
2477,1373,6865,5936
2195,1376,6902,5901
1631,1358,6905,5853
941,1321,6902,5807
331,1254,6886,5747
-52,1156,6902,5714
-187,1046,6906,5685
-105,991,6902,5667
112,1018,6863,5619
366,1101,6849,5573
586,1184,6842,5519
784,1266,6849,5479
977,1354,6820,5427
1150,1431,6796,5386
1245,1429,6763,5335
1254,1321,6742,5292
1205,1147,6702,5235
1150,991,6689,5198
1106,885,6685,5168
1097,826,6689,5152
1114,800,6657,5106
1150,826,6636,5058
1167,875,6625,5013
1150,881,6636,5011
1083,791,6611,5013
993,660,6583,5011
912,578,6546,4980
888,605,6530,4964
947,729,6496,4956
1097,936,6477,4964
1291,1190,6461,4956
1463,1431,6477,4964
1553,1559,6477,4980
1568,1541,6477,5011
1562,1419,6462,5014
1620,1321,6477,5011
1788,1341,6495,5001
2038,1486,6530,5011
2247,1645,6546,5009
2299,1706,6583,5011
2201,1656,6624,5003
2090,1596,6689,5011
2083,1621,6738,5010
2195,1761,6796,5011
2400,1998,6842,5002
2718,2311,6902,5011
3139,2633,6933,5014
3554,2862,6955,5011
3791,2948,6948,4981
3763,2972,6955,4964
3494,3036,6950,4957
3083,3137,6955,4964
2625,3149,6943,4944
2195,2972,6955,4917
1812,2616,6956,4884
1463,2201,6955,4871
1141,1831,6919,4847
888,1541,6902,4824
736,1303,6893,4790
679,1101,6902,4777
670,951,6874,4756
679,881,6849,4730
670,862,6829,4690
627,826,6849,4683
