II,MCL,PLETH
3914,2212,3042
3702,3125,3428
2195,3646,3010
1328,4074,2795
1718,4506,3010
2464,4775,3134
2864,4875,3010
3025,4955,2945
3150,5080,3073
3154,5142,3183
3054,5121,3200
3029,5102,3237
3150,5162,3358
3332,5223,3479
3532,5203,3580
3694,5114,3683
3723,5080,3802
3593,5124,3907
3436,5162,4024
3350,5119,4158
3341,5080,4309
3419,5115,4447
3627,5203,4594
3800,5262,4734
3723,5326,4879
3449,5379,5004
3341,5367,5133
3478,5247,5255
3532,5162,5386
3258,5180,5498
2959,5244,5608
2930,5227,5702
3054,5203,5798
3041,5253,5876
2959,5367,5956
2952,5404,6022
2959,5367,6083
2862,5326,6116
2864,5367,6146
3133,5426,6162
3532,5449,6178
3775,5381,6176
3914,5285,6178
4160,5227,6166
4582,5285,6146
5001,5386,6097
5345,5449,6051
5640,5421,6000
5918,5408,5956
6063,5451,5891
6013,5531,5830
5793,5561,5761
5536,5571,5703
5287,5571,5623
5059,5571,5545
4877,5548,5457
4868,5571,5386
5044,5643,5304
5250,5735,5228
5250,5789,5141
5059,5858,5069
4911,5923,4989
5059,5940,4911
5471,5879,4820
5918,5858,4752
6138,5897,4696
6109,5899,4657
5972,5753,4596
5918,5571,4531
5930,5480,4456
5918,5490,4404
5826,5458,4352
5727,5367,4309
5566,5257,4247
5250,5203,4182
4796,5169,4107
4486,5162,4055
4430,5144,4006
4486,5121,3960
4448,5087,3893
4391,5080,3834
4384,5064,3778
4391,4998,3739
4348,4890,3687
4391,4834,3644
4504,4820,3603
4486,4793,3580
4210,4765,3548
3914,4916,3517
3774,5290,3478
3723,5735,3453
3739,6028,3421
4200,6227,3390
5361,6493,3349
6873,6800,3327
7932,6704,3308
8113,5817,3295
7634,4222,3263
7063,2540,3232
6743,1295,3195
6682,615,3168
6679,326,3132
6586,369,3105
6284,698,3081
5727,1229,3073
4926,1844,3056
4009,2581,3042
3059,3398,3018
2195,4138,3010
1653,4630,3002
1718,4957,3010
2257,5205,3017
2768,5367,3042
2924,5376,3066
2959,5367,3105
3130,5430,3143
3341,5531,3200
3371,5520,3257
3341,5449,3327
3360,5423,3393
3341,5490,3485
3216,5533,3587
3245,5490,3707
3490,5399,3823
3627,5367,3960
3408,5390,4100
3150,5408,4246
3167,5365,4368
3341,5326,4499
3426,5325,4633
3532,5367,4784
3716,5398,4915
3723,5449,5038
3383,5487,5144
3054,5490,5259
3040,5451,5357
3150,5490,5449
3043,5592,5524
2864,5653,5608
2888,5598,5678
3054,5571,5735
3045,5623,5762
2864,5653,5798
