I,aVL,ABP,RESP
69,652,3180,965
32,708,3590,1136
0,590,3147,1062
7,519,2905,1037
0,528,3114,1142
-58,501,3245,1230
-104,434,3114,1239
-90,402,3016,1247
-69,403,3081,1303
-110,370,3113,1354
-173,310,3048,1367
-191,279,3000,1373
-173,279,3015,1399
-171,266,3007,1427
-173,248,2981,1432
-147,260,2982,1415
-104,310,3015,1399
-73,361,3020,1394
-35,403,3015,1383
40,452,3018,1350
138,528,3048,1303
225,619,3066,1259
311,714,3081,1222
422,810,3084,1178
554,931,3114,1126
670,1063,3154,1070
761,1179,3213,1013
843,1267,3283,949
934,1365,3412,885
1025,1489,3598,822
1107,1614,3843,756
1178,1693,4106,673
1246,1738,4406,579
1297,1769,4720,486
1315,1800,5035,402
1309,1825,5292,308
1315,1862,5499,193
1329,1904,5648,75
1315,1924,5764,0
1266,1906,5825,-16
1246,1893,5863,0
1278,1906,5876,6
1315,1924,5897,0
1322,1920,5924,-5
1349,1924,5996,0
1420,1943,6090,2
1488,1955,6195,0
1535,1952,6274,-2
1626,1986,6360,0
1743,2052,6445,1
1765,2079,6526,0
1662,2020,6564,-1
1592,1955,6592,0
1622,1935,6609,0
1626,1924,6625,0
1510,1861,6610,0
1419,1800,6592,0
1471,1787,6561,0
1557,1800,6526,0
1533,1789,6458,0
1488,1800,6393,0
1552,1862,6326,0
1661,1924,6261,0
1653,1893,6161,0
1557,1800,6062,0
1511,1740,5968,0
1557,1769,5897,0
1616,1828,5802,0
1661,1862,5698,0
1709,1858,5575,0
1765,1862,5466,0
1801,1885,5347,0
1834,1924,5234,0
1864,1954,5108,0
1868,1986,5002,0
1821,2010,4905,0
1765,2017,4836,0
1736,1996,4765,0
1730,1986,4704,0
1713,1998,4639,0
1695,2017,4605,0
1690,2007,4580,0
1695,1986,4571,0
1683,1966,4541,0
1661,1955,4505,0
1648,1943,4450,0
1661,1955,4406,0
1661,1979,4353,0
1626,1986,4306,0
1572,1952,4249,0
1557,1924,4207,0
1578,1920,4166,0
1592,1924,4141,0
1549,1894,4104,0
1488,1862,4075,0
1439,1850,4036,0
1419,1862,4008,0
1403,1858,3971,0
1419,1862,3942,0
1462,1883,3914,0
1522,1924,3909,0
1566,1936,3906,0
1626,1924,3909,0
1728,1907,3892,0
1868,1924,3876,0
1996,1958,3853,0
2111,2017,3843,0
2241,2122,3824,0
2422,2327,3810,0
2623,2614,3787,-1
2803,2917,3776,0
2935,3163,3758,1
3079,3382,3743,0
3322,3651,3719,-2
3702,4003,3710,0
4120,4343,3705,2
4429,4561,3710,0
4557,4637,3696,-5
4567,4655,3677,0
4517,4646,3650,6
4394,4561,3644,0
4164,4346,3641,-15
3875,4065,3644,0
3609,3819,3628,69
3391,3631,3611,177
3166,3417,3588,281
2906,3134,3578,370
2649,2831,3560,459
2457,2607,3545,563
2319,2479,3520,667
2180,2389,3511,756
1997,2258,3507,832
1799,2079,3511,917
1606,1874,3497,1009
1419,1676,3478,1094
1226,1487,3454,1158
1073,1334,3445,1222
981,1223,3430,1295
934,1148,3412,1367
862,1070,3384,1423
761,993,3379,1480
665,919,3380,1544
623,869,3379,1609
618,830,3354,1653
623,807,3346,1689
607,778,3356,1728
588,745,3379,1769
590,713,3379,1801
623,714,3379,1834
646,727,3377,1869
623,714,3379,1898
562,653,3359,1907
519,590,3346,1914
504,552,3340,1929
484,528,3346,1946
430,483,3330,1942
381,434,3313,1930
371,399,3301,1923
381,372,3313,1930
352,329,3315,1928
277,279,3313,1914
193,233,3302,1892
138,186,3313,1882
104,122,3327,1874
69,62,3346,1866
17,29,3344,1847
-35,31,3346,1834
-60,44,3341,1823
-35,62,3346,1818
19,85,3329,1806
69,124,3313,1802
108,176,3296,1799
173,248,3313,1802
281,344,3330,1797
415,465,3346,1802
539,593,3345,1813
657,714,3379,1834
786,828,3443,1846
934,962,3545,1866
1079,1116,3653,1892
1211,1272,3810,1930
1332,1405,4013,1961
1453,1520,4273,1995
1556,1621,4552,2023
1626,1707,4870,2059
1683,1771,5201,2092
