II,V,PLETH,ABP
44,-222,12868,4670
104,-284,17457,6336
119,-266,17961,6525
65,-239,16674,6067
0,-268,16184,5897
-20,-324,16689,6083
-7,-324,17057,6221
-3,-245,16758,6127
-7,-167,16389,6017
7,-161,16425,6052
33,-218,16647,6148
53,-269,16566,6134
73,-279,16297,6065
107,-253,16196,6065
154,-217,16312,6136
220,-205,16305,6149
342,-248,16149,6108
531,-316,16049,6097
718,-321,16109,6143
791,-221,16125,6159
713,-92,16054,6140
581,-65,15966,6126
535,-177,15974,6155
613,-333,15956,6170
708,-428,15938,6181
688,-469,15874,6173
502,-545,15856,6183
205,-694,15822,6183
-91,-847,15827,6198
-253,-915,15800,6200
-214,-888,15815,6209
-70,-813,15805,6199
-38,-728,15817,6202
-223,-653,15770,6202
-488,-619,15746,6219
-589,-631,15703,6221
-461,-637,15706,6228
-276,-560,15679,6213
-242,-399,15691,6205
-381,-236,15681,6185
-548,-155,15698,6185
-625,-159,15659,6178
-630,-184,15638,6183
-648,-180,15590,6170
-697,-158,15589,6165
-729,-139,15562,6147
-715,-110,15573,6143
-679,-52,15558,6126
-652,17,15576,6122
-632,52,15557,6104
-606,36,15572,6100
-582,-10,15561,6084
-576,-59,15580,6078
-579,-65,15551,6061
-547,-27,15537,6058
-510,32,15485,6043
-503,25,15474,6033
-532,-45,15443,6005
-519,-123,15453,5992
-470,-127,15436,5974
-453,-59,15451,5971
-489,11,15435,5953
-513,32,15450,5949
-493,14,15435,5934
-490,9,15455,5928
-513,30,15437,5901
-457,57,15432,5886
-228,90,15380,5866
82,92,15363,5863
348,-117,15329,5846
745,-775,15336,5842
1740,-1923,15314,5827
3509,-3394,15332,5822
5442,-5038,15319,5797
6613,-6710,15322,5782
6781,-7914,15271,5760
6505,-7878,15250,5755
6143,-6278,15213,5739
5260,-3727,15218,5734
3408,-1288,15192,5719
1055,368,15207,5715
-772,1173,15200,5693
-1567,1328,15208,5678
-1647,1093,15159,5653
-1514,762,15137,5646
-1341,526,15101,5631
-1080,359,15098,5627
-734,166,15047,5610
-389,-31,15021,5605
-101,-149,14979,5588
128,-186,14979,5583
276,-185,14950,5568
303,-159,14961,5564
237,-118,14955,5546
209,-129,14972,5534
276,-195,14933,5507
363,-252,14913,5495
345,-230,14871,5479
271,-199,14866,5479
239,-212,14822,5462
277,-254,14800,5449
311,-251,14751,5422
323,-210,14743,5410
349,-220,14712,5394
389,-302,14721,5391
406,-373,14710,5374
386,-346,14729,5368
370,-263,14702,5351
403,-246,14688,5347
473,-325,14640,5330
526,-398,14630,5325
527,-372,14592,5308
500,-296,14575,5304
485,-277,14523,5287
503,-329,14509,5281
545,-372,14475,5264
602,-363,14462,5269
