III,V,ABP,RESP
1529,2944,5375,3440
1734,3300,6072,3910
1529,2896,5323,3472
1418,2719,4901,3249
1529,2944,5221,3503
1605,3064,5409,3661
1550,2944,5170,3534
1498,2895,5007,3454
1529,2993,5119,3565
1551,3034,5156,3641
1529,2993,5016,3597
1503,3005,4925,3567
1508,3041,4965,3628
1510,2976,4974,3683
1508,2848,4914,3690
1500,2775,4866,3681
1466,2751,4863,3690
1355,2706,4844,3704
1194,2655,4811,3722
1079,2614,4780,3737
1131,2510,4760,3753
1356,2264,4730,3765
1654,1931,4709,3784
1884,1592,4678,3786
2052,1303,4658,3784
2278,1059,4627,3775
2681,869,4607,3784
3200,652,4577,3796
3665,290,4556,3816
3932,-269,4524,3817
4021,-821,4504,3816
4026,-1086,4476,3807
4021,-917,4453,3816
4018,-449,4420,3819
4021,97,4402,3816
4024,549,4376,3793
4021,917,4351,3784
4012,1251,4313,3782
4021,1593,4300,3784
4034,1889,4296,3765
4021,2124,4300,3753
3998,2320,4275,3748
4021,2558,4248,3753
4047,2835,4217,3738
3916,3089,4197,3722
3517,3233,4165,3701
2932,3282,4146,3690
2311,3304,4137,3669
1738,3379,4146,3659
1228,3495,4129,3654
838,3620,4095,3659
593,3733,4051,3645
461,3862,4044,3628
378,3985,4047,3606
356,4055,4044,3597
387,4053,4010,3579
419,4055,3992,3565
394,4096,3989,3545
356,4151,3992,3534
346,4159,3964,3516
356,4151,3941,3503
338,4161,3933,3482
314,4199,3941,3472
308,4223,3919,3456
314,4248,3890,3440
290,4272,3871,3408
251,4296,3890,3378
227,4291,3900,3351
230,4296,3890,3346
229,4315,3854,3336
209,4344,3839,3315
177,4355,3835,3276
147,4392,3839,3253
116,4459,3813,3237
84,4537,3788,3221
50,4570,3771,3185
21,4586,3788,3159
-2,4602,3794,3141
-21,4634,3788,3128
-42,4639,3754,3093
-63,4634,3737,3065
-80,4625,3727,3046
-84,4634,3737,3034
-77,4622,3733,3000
-63,4586,3737,2971
-45,4514,3730,2951
-21,4441,3737,2940
8,4364,3744,2907
42,4296,3788,2877
79,4208,3851,2856
126,4103,3941,2846
176,3975,4027,2816
230,3862,4146,2784
287,3759,4299,2757
356,3668,4504,2752
432,3554,4710,2741
503,3427,4914,2721
557,3291,5090,2685
607,3186,5272,2658
671,3114,5447,2637
754,3089,5630,2627
836,3069,5789,2611
901,3041,5938,2596
950,2986,6060,2576
1005,2944,6193,2565
1069,2913,6319,2548
1131,2896,6449,2533
1182,2865,6554,2512
1236,2848,6654,2502
1288,2840,6731,2498
1319,2848,6808,2502
1325,2843,6860,2491
1340,2848,6910,2471
1381,2863,6937,2445
1424,2896,6961,2439
1440,2905,6959,2441
1445,2896,6961,2439
1456,2879,6953,2420
1466,2896,6961,2408
1461,2925,6957,2405
1466,2944,6961,2408
1488,2937,6953,2392
1508,2944,6961,2377
1504,2968,6959,2369
1508,2993,6961,2377
1531,2989,6935,2378
1550,2993,6910,2377
1538,3011,6874,2372
1529,3041,6859,2377
1545,3056,6833,2377
1571,3089,6808,2377
1572,3140,6755,2372
1571,3186,6705,2377
1594,3186,6646,2377
1634,3186,6603,2377
1645,3217,6548,2370
1634,3282,6501,2377
