II,V,PLETH
2649,4161,3005
3030,4758,3384
2705,4247,2969
2526,3976,2759
2705,4290,2969
2815,4523,3081
2705,4419,2933
2625,4349,2829
2705,4504,2897
2778,4649,2943
2760,4676,2897
2732,4709,2870
2760,4805,2897
2793,4861,2895
2815,4848,2862
2852,4794,2849
2925,4719,2862
2997,4608,2851
3036,4504,2826
3035,4429,2815
3036,4376,2826
3043,4309,2830
3036,4247,2826
2980,4188,2804
2925,4161,2790
2909,4137,2782
2925,4118,2790
2912,4087,2792
2870,4075,2790
2825,4070,2771
2815,4075,2754
2815,4067,2732
2815,4075,2719
2806,4089,2708
2815,4118,2719
2822,4134,2724
2815,4161,2719
2781,4183,2690
2760,4204,2683
2756,4199,2695
2760,4204,2719
2735,4217,2716
2705,4247,2719
2689,4263,2737
2705,4290,2790
2711,4323,2840
2705,4376,2897
2690,4416,2956
2705,4462,3040
2731,4515,3135
2760,4590,3255
2777,4637,3376
2815,4633,3505
2869,4569,3623
2925,4504,3756
2954,4452,3893
2981,4419,4042
3010,4371,4171
3036,4333,4292
3019,4304,4397
2981,4290,4507
2941,4252,4609
2925,4204,4722
2903,4149,4828
2870,4118,4936
2829,4090,5026
2815,4075,5115
2814,4051,5190
2815,4033,5258
2805,4004,5298
2815,3990,5330
2827,3978,5346
2815,3990,5365
2756,4002,5368
2705,4033,5365
2688,4055,5346
2705,4075,5330
2707,4073,5297
2705,4075,5258
2702,4082,5199
2705,4118,5151
2680,4157,5098
2649,4204,5044
2633,4240,4967
2649,4290,4900
2658,4346,4840
2649,4419,4793
2631,4481,4723
2649,4547,4650
2684,4607,4570
2705,4676,4507
2692,4718,4434
2705,4719,4364
2755,4650,4284
2815,4547,4221
2826,4441,4159
2815,4376,4114
2807,4331,4058
2815,4290,4006
2794,4238,3943
2760,4204,3899
2720,4185,3858
2705,4161,3827
2691,4112,3785
2705,4075,3756
2741,4065,3730
2815,4075,3720
2910,4059,3699
3036,4033,3684
3160,4004,3662
3257,3990,3649
3322,3927,3625
3422,3775,3613
3587,3477,3593
3808,3046,3577
4057,2479,3550
4360,1845,3541
4727,1214,3539
5133,686,3541
5520,252,3521
5851,-86,3505
6034,-278,3497
5961,-172,3505
5574,249,3494
4968,858,3470
4275,1468,3438
3588,2059,3434
2918,2647,3436
2318,3217,3434
1861,3668,3409
1601,3990,3398
1488,4206,3396
1435,4376,3398
1348,4493,3376
1214,4590,3362
1056,4672,3358
938,4762,3362
892,4832,3343
938,4891,3327
1038,4933,3319
1159,4976,3327
1267,4993,3313
1380,4976,3291
1477,4928,3265
1545,4891,3255
1555,4866,3237
1545,4848,3219
1540,4813,3196
1545,4805,3184
1528,4831,3164
1490,4891,3148
1450,4921,3125
1435,4933,3112
1433,4937,3094
1435,4976,3076
1431,5019,3050
1435,5062,3040
1438,5079,3037
1435,5105,3040
1426,5135,3024
1435,5191,3005
1462,5246,2981
1490,5320,2969
1494,5394,2950
1490,5491,2933
1503,5589,2911
1545,5706,2897
1585,5816,2878
1601,5920,2862
1594,5968,2839
1601,5963,2826
1624,5900,2807
1656,5834,2790
1680,5765,2765
1711,5706,2754
1745,5633,2751
1766,5577,2754
1748,5526,2739
1711,5491,2719
1675,5441,2693
1656,5405,2683
1630,5376,2677
1601,5362,2683
1581,5323,2684
1601,5277,2683
1634,5222,2664
1656,5191,2647
1665,5151,2636
1711,5105,2647
1793,5033,2653
1877,4976,2647
1927,4925,2622
1987,4891,2611
2071,4830,2610
2153,4762,2611
2186,4695,2591
2208,4676,2575
2252,4675,2571
2318,4676,2575
2372,4648,2559
2429,4633,2540
2491,4638,2528
2539,4676,2540
2543,4710,2545
2539,4762,2540
2557,4820,2517
2594,4891,2504
2620,4917,2497
2649,4891,2504
2682,4796,2505
2705,4676,2504
2700,4537,2497
2705,4419,2504
2716,4314,2507
2705,4247,2504
2646,4194,2482
2594,4161,2468
2568,4117,2463
2539,4075,2468
2474,4022,2465
2429,3990,2468
2426,3973,2470
2429,3990,2468
2377,3996,2448
2318,3990,2432
2300,3968,2426
2318,3990,2432
2303,4034,2430
2263,4075,2432
2238,4071,2433
2263,4075,2432
2297,4106,2412
2318,4161,2397
2315,4185,2389
2318,4204,2397
2334,4233,2396
2373,4290,2397
2406,4333,2393
2429,4376,2397
2444,4424,2392
2484,4504,2397
2524,4589,2395
2539,4676,2397
2523,4734,2387
2539,4762,2397
2609,4735,2420
2705,4676,2468
2755,4587,2513
2760,4504,2575
2750,4426,2650
2760,4376,2754
2751,4329,2867
2705,4290,3005
2633,4239,3153
2594,4204,3327
2575,4175,3499
2539,4161,3684
2468,4135,3859
2429,4118,4042
2430,4108,4214
2429,4118,4400
2371,4121,4586
2318,4118,4793
2305,4108,4989
2318,4118,5187
2291,4139,5373
2263,4161,5580
2268,4161,5781
2318,4161,5974
2363,4169,6132
2429,4204,6295
2556,4244,6455
2760,4290,6617
2972,4298,6745
3146,4247,6868
3277,4099,6986
3422,3861,7118
3613,3498,7219
3864,3003,7297
4163,2376,7344
4526,1716,7404
4953,1088,7459
5409,558,7512
5797,152,7531
6016,-43,7547
5984,-5,7547
5685,257,7547
5153,668,7524
4471,1201,7512
3705,1787,7492
2925,2359,7476
