II,aVR,PLETH
2307,733,360
2644,790,389
2379,647,327
2248,567,302
2415,604,327
2510,627,328
2415,604,294
2355,608,278
2415,647,294
2441,659,306
2379,647,294
2329,657,275
2343,690,262
2357,701,255
2343,690,262
2332,683,280
2343,690,294
2352,692,293
2343,690,294
2320,689,307
2307,690,327
2306,685,331
2307,690,327
2288,719,321
2271,776,327
2255,843,337
2235,906,360
2193,954,387
2163,992,425
2156,1018,464
2163,1035,523
2148,1039,605
2127,1035,719
2107,1029,852
2091,1035,1014
2056,1062,1196
2019,1121,1406
1982,1204,1627
1947,1294,1864
1901,1358,2096
1875,1380,2322
1869,1364,2529
1875,1337,2747
1867,1315,2980
1875,1294,3237
1913,1246,3487
1983,1164,3728
2044,1067,3945
2091,992,4153
2124,944,4339
2163,906,4513
2199,848,4665
2235,776,4807
2258,714,4927
2271,690,5036
2269,700,5122
2271,733,5200
2272,772,5254
2271,819,5298
2254,866,5324
2235,906,5363
2214,929,5399
2199,949,5428
2179,968,5429
2163,992,5428
2143,1012,5425
2127,1035,5428
2105,1058,5411
2091,1078,5396
2084,1083,5375
2091,1078,5363
2092,1073,5331
2091,1078,5298
2085,1083,5256
2091,1078,5232
2095,1069,5199
2091,1078,5167
2070,1102,5115
2055,1121,5069
2051,1119,5013
2055,1121,4971
2044,1138,4918
2019,1164,4873
1991,1170,4815
1983,1164,4774
2001,1150,4734
2055,1121,4709
2138,1039,4671
2235,906,4644
2313,741,4615
2343,604,4611
2306,519,4605
2199,518,4611
2009,600,4604
1730,776,4611
1360,1028,4616
937,1337,4644
503,1662,4670
108,1984,4709
-234,2280,4735
-505,2544,4774
-707,2749,4812
-829,2889,4873
-880,2990,4923
-865,3105,4971
-819,3240,4995
-757,3364,5036
-697,3455,5078
-613,3536,5134
-486,3597,5175
-288,3579,5232
-37,3444,5291
252,3234,5363
535,3016,5410
793,2803,5461
1007,2580,5504
1190,2372,5559
1342,2215,5591
1478,2113,5625
1591,2027,5657
1694,1941,5723
1795,1852,5787
1911,1768,5854
2034,1671,5895
2163,1553,5952
2287,1396,6009
2415,1208,6082
2543,1002,6132
2668,819,6181
2770,673,6219
2848,561,6279
2894,463,6327
2920,388,6377
2923,346,6405
2920,345,6442
2913,354,6470
2920,345,6508
2931,306,6524
2956,259,6540
2984,215,6536
3028,173,6540
3078,114,6533
3136,43,6540
3186,-37,6535
3244,-129,6540
3317,-248,6533
3425,-388,6540
3541,-530,6536
3641,-647,6540
3691,-728,6522
3713,-776,6508
3724,-804,6481
3749,-819,6475
3771,-825,6458
3785,-819,6442
3773,-805,6402
3749,-776,6377
3711,-726,6351
3677,-647,6344
3629,-555,6313
3569,-474,6279
3491,-423,6232
3425,-388,6213
3368,-351,6193
3316,-302,6181
3245,-255,6144
3172,-216,6115
3107,-179,6076
3064,-129,6050
3016,-67,6008
2956,0,5984
2878,64,5960
2812,129,5952
2754,196,5920
2704,259,5886
2634,318,5841
2559,388,5821
2481,472,5800
2415,561,5788
2344,656,5753
2271,776,5723
2191,915,5683
2127,1035,5657
2067,1111,5620
2019,1164,5592
1971,1215,5553
1947,1251,5527
1938,1256,5489
1947,1251,5461
1945,1253,5423
1947,1251,5396
1952,1218,5358
1983,1164,5330
2027,1106,5292
2091,1035,5265
2159,935,5227
2235,819,5200
2296,718,5162
2343,647,5134
2375,595,5095
2415,561,5069
2455,547,5032
2487,561,5003
2492,585,4964
2487,604,4938
2472,606,4903
2451,604,4873
2413,614,4830
2379,647,4807
2357,691,4786
2343,733,4774
2323,746,4739
2307,733,4709
2303,716,4681
2307,733,4676
2307,765,4661
2307,776,4644
2317,751,4605
2343,733,4578
2385,714,4551
2451,647,4546
2539,500,4529
2632,345,4513
2694,224,4475
2704,129,4447
2630,52,4419
2451,86,4415
2146,305,4407
1730,690,4415
1227,1148,4419
685,1639,4447
147,2134,4481
-324,2588,4546
-711,2947,4615
-1009,3234,4709
-1234,3497,4799
-1370,3752,4905
-1433,3970,5009
-1442,4140,5134
-1420,4257,5249
-1334,4313,5363
-1173,4287,5454
-937,4183,5559
-657,4015,5666
-324,3795,5788
37,3530,5888
397,3234,5984
705,2927,6063
973,2631,6148
1206,2377,6213
1406,2199,6279
1550,2095,6317
1658,2027,6344
1758,1949,6341
1875,1854,6344
1999,1749,6341
2127,1639,6344
2252,1492,6324
2379,1294,6311
2505,1053,6291
2632,819,6279
2758,611,6244
2884,431,6213
2990,264,6174
3064,129,6148
3104,40,6109
3136,0,6082
3170,-23,6047
3208,-43,6017
3231,-68,5963
3244,-86,5919
3255,-106,5876
3280,-129,5854
3302,-156,5810
3316,-173,5755
3313,-178,5679
3316,-173,5625
3318,-159,5571
3316,-129,5527
3295,-98,5458
3280,-86,5396
3274,-105,5334
3280,-129,5298
3276,-135,5248
3280,-129,5200
3292,-138,5138
3316,-173,5101
3332,-217,5065
3353,-259,5036
3370,-299,4992
3389,-345,4971
3387,-394,4952
3389,-431,4938
3398,-455,4897
3425,-474,4873
3435,-497,4862
3425,-518,4873
3387,-525,4859
3353,-518,4840
3317,-502,4814
3280,-474,4807
3216,-425,4789
3136,-345,4774
3041,-242,4751
2956,-129,4742
2875,-31,4724
2812,43,4709
2753,103,4675
2704,173,4644
2647,258,4604
2596,345,4578
2538,414,4543
2487,474,4513
2440,537,4471
2415,604,4447
2398,657,4426
2379,690,4415
2341,710,4383
2307,733,4349
2282,768,4308
2271,819,4284
2253,883,4253
2235,949,4218
2203,1002,4164
2163,1035,4120
2114,1055,4080
2091,1078,4055
2089,1115,4019
2091,1164,3990
2061,1211,3953
2019,1251,3924
1976,1290,3887
1947,1337,3859
1918,1374,3824
1911,1380,3793
1921,1345,3752
1947,1294,3728
1961,1248,3708
1983,1208,3695
2023,1151,3662
2091,1078,3630
2153,1002,3601
2199,949,3597
2219,919,3585
2235,906,3564
2249,889,3524
2271,863,3499
2289,820,3479
2307,776,3466
2322,743,3442
2343,733,3434
2353,745,3431
2343,776,3434
2306,803,3414
2271,819,3401
