II,III,PLETH
6118,6353,3705
6928,7138,4183
6118,6237,3668
5697,5780,3389
6118,6237,3630
6367,6511,3770
6118,6237,3593
5958,6050,3465
6118,6237,3556
6206,6390,3622
6118,6353,3556
6103,6350,3494
6230,6468,3518
6282,6517,3540
6230,6468,3518
6191,6430,3487
6230,6468,3481
6280,6524,3482
6341,6584,3481
6404,6608,3465
6452,6584,3443
6449,6538,3418
6452,6584,3406
6480,6699,3385
6563,6815,3368
6634,6829,3346
6675,6815,3331
6664,6834,3308
6675,6930,3294
6710,7007,3274
6786,7046,3256
6846,7037,3228
6897,7046,3219
6904,7045,3217
6897,7046,3219
6873,7026,3197
6897,7046,3181
6947,7092,3174
7008,7161,3181
7015,7177,3177
7008,7161,3181
6995,7131,3193
7008,7161,3219
7005,7217,3223
7008,7277,3219
7001,7282,3207
7008,7277,3219
7000,7264,3234
7008,7277,3256
7005,7273,3267
7008,7277,3294
6993,7267,3324
7008,7277,3368
7017,7271,3401
7008,7277,3443
6943,7267,3488
6897,7277,3556
6879,7271,3622
6897,7277,3705
6890,7266,3789
6897,7277,3892
6896,7273,3996
6897,7277,4117
6871,7263,4229
6897,7277,4342
6953,7278,4431
7008,7277,4529
6996,7249,4628
7008,7277,4753
7081,7362,4878
7231,7508,5015
7382,7628,5141
7565,7739,5277
7748,7839,5404
7898,7970,5539
7928,8059,5663
7898,8085,5801
7869,8026,5930
7898,7970,6063
7912,7940,6175
7898,7970,6288
7864,8009,6380
7898,8085,6475
7991,8185,6557
8121,8316,6662
8200,8370,6760
8232,8316,6849
8195,8179,6901
8121,8085,6961
7974,8002,7018
7787,7854,7074
7560,7597,7089
7342,7392,7111
7108,7303,7139
6897,7277,7186
6727,7172,7205
6675,7046,7223
6677,6957,7234
6675,6930,7261
6607,6871,7262
6563,6815,7261
6555,6786,7238
6563,6815,7223
6508,6819,7195
6452,6815,7186
6426,6800,7169
6452,6815,7149
6453,6812,7090
6452,6815,7036
6443,6803,6985
6452,6815,6961
6436,6809,6923
6452,6815,6887
6492,6803,6828
6563,6815,6774
6582,6811,6707
6563,6815,6662
6506,6806,6617
6452,6815,6587
6419,6816,6532
6452,6815,6475
6517,6802,6396
6563,6815,6325
6557,6828,6240
6563,6815,6176
6535,6701,6112
6452,6584,6063
6411,6638,5989
6675,7046,5914
7212,7675,5825
7787,8316,5764
8259,8875,5703
8788,9471,5652
9198,9913,5574
8899,9702,5502
7443,8427,5429
5228,6353,5390
3011,4112,5350
1335,2310,5315
371,1224,5254
334,1040,5202
1243,1716,5153
2781,3003,5128
4362,4419,5090
5673,5660,5053
6616,6595,5003
7231,7277,4978
7530,7683,4955
7676,7854,4940
7782,7853,4900
7898,7854,4866
7929,7898,4834
7898,7970,4828
7855,7972,4811
7898,7970,4791
7963,7998,4758
8010,8085,4753
7995,8114,4753
8010,8085,4753
8061,8043,4727
8121,8085,4716
8126,8161,4711
8121,8201,4716
8121,8179,4694
8121,8201,4678
8063,8266,4669
8010,8316,4678
7984,8262,4664
8010,8201,4641
8009,8177,4610
8010,8201,4604
7998,8187,4599
8010,8201,4604
7996,8247,4587
8010,8316,4566
8041,8315,4535
8121,8316,4529
8181,8351,4526
8232,8432,4529
8235,8450,4507
8232,8432,4491
8209,8401,4469
8232,8432,4454
8273,8476,4425
8343,8547,4416
8391,8599,4414
8455,8663,4416
8505,8708,4394
8566,8778,4379
8607,8834,4372
8677,8894,4379
8739,8932,4363
8788,9009,4342
8781,9079,4315
8788,9125,4304
8824,9109,4283
8899,9125,4267
8924,9173,4242
8899,9240,4229
8830,9248,4207
8788,9240,4192
8740,9199,4168
8677,9125,4154
8562,8989,4132
8455,8894,4117
8343,8838,4094
8232,8778,4080
8067,8614,4056
7898,8432,4042
7722,8288,4020
7565,8201,4005
7386,8052,3980
7231,7854,3967
7067,7644,3947
6897,7508,3930
6698,7393,3902
6563,7277,3892
6488,7099,3888
6452,6930,3892
6381,6813,3875
6341,6815,3855
6332,6840,3830
6341,6815,3818
6286,6688,3796
6230,6584,3780
6202,6547,3757
6230,6584,3743
6232,6590,3720
6230,6584,3705
6217,6567,3684
6230,6584,3668
6224,6582,3643
6230,6584,3630
6224,6572,3612
6230,6584,3593
6217,6579,3563
6230,6584,3556
6233,6574,3555
6230,6584,3556
6203,6579,3532
6230,6584,3518
6287,6571,3514
6341,6584,3518
6333,6615,3498
6341,6699,3481
6385,6772,3473
6452,6815,3481
6458,6805,3467
6452,6815,3443
6475,6821,3415
6563,6815,3406
6635,6777,3390
6675,6815,3368
6667,6925,3338
6675,7046,3331
6704,7063,3331
6786,7046,3331
6857,7065,3308
6897,7161,3294
6882,7237,3287
6897,7277,3294
6943,7271,3277
7008,7277,3256
7018,7271,3240
7008,7277,3256
6993,7269,3276
7008,7277,3294
7007,7270,3290
7008,7277,3294
6998,7269,3302
7008,7277,3331
7004,7269,3351
7008,7277,3368
7000,7270,3376
7008,7277,3406
7002,7269,3439
7008,7277,3481
7001,7269,3509
7008,7277,3556
7000,7270,3606
7008,7277,3668
7003,7267,3714
7008,7277,3780
6997,7272,3861
7008,7277,3967
7006,7264,4059
7008,7277,4154
6993,7277,4252
7008,7277,4379
7014,7256,4496
7008,7277,4604
6974,7290,4687
7008,7277,4791
7102,7228,4909
7231,7277,5053
7325,7430,5183
7453,7623,5315
7616,7743,5436
7787,7854,5577
7868,7976,5707
7898,8085,5839
7897,8098,5947
7898,8085,6063
7877,8078,6170
7898,8085,6288
7948,8057,6384
8010,8085,6475
8039,8187,6544
8121,8316,6625
8242,8347,6696
8343,8316,6774
8318,8260,6829
8232,8201,6887
8126,8054,6934
8010,7854,6999
7806,7647,7043
7565,7508,7074
7320,7387,7069
7120,7277,7074
6925,7144,7080
6786,7046,7111
6700,6969,7128
6675,6930,7149
6626,6869,7147
6563,6815,7149
6485,6775,7127
6452,6815,7111
6438,6877,7083
6452,6930,7074
6447,6925,7052
6452,6930,7036
6443,6934,6996
6452,6930,6961
6445,6865,6915
6452,6815,6887
6444,6792,6846
6452,6815,6812
6443,6810,6753
6452,6815,6700
6446,6808,6635
6452,6815,6587
6445,6799,6527
6452,6815,6475
6450,6864,6409
6452,6930,6363
6475,6946,6306
6563,6930,6250
6659,6913,6168
6675,6930,6101
6529,6899,6035
6341,6815,5988
6264,6753,5916
6452,6930,5839
6869,7398,5749
7453,8085,5689
8078,8800,5630
8677,9471,5577
9062,9958,5498
9011,10049,5427
8236,9416,5346
6675,7970,5277
4523,5889,5205
2336,3696,5165
711,1958,5128
111,1155,5090
558,1348,5023
1780,2310,4978
3303,3615,4951
4783,4967,4940
5965,6109,4900
6786,6930,4866
7235,7384,4837
7453,7623,4828
7556,7753,4803
7676,7854,4791
7795,7905,4783
7898,7970,4791
7916,8030,4772
7898,8085,4753
7866,8076,4728
7898,8085,4716
7951,8125,4691
8010,8201,4678
8017,8218,4670
8010,8201,4678
7998,8181,4664
8010,8201,4641
8011,8209,4608
8010,8201,4604
7994,8175,4604
8010,8201,4604
8015,8251,4578
8010,8316,4566
7949,8324,4560
7898,8316,4566
7865,8296,4547
7898,8316,4529
7946,8319,4504
8010,8316,4491
8022,8290,4465
8010,8316,4454
7973,8365,4447
8010,8432,4454
8104,8440,4437
8232,8432,4416
8268,8408,4388
8232,8432,4379
8177,8470,4371
8232,8547,4379
8348,8605,4379
8455,8663,4379
8460,8700,4357
8455,8778,4342
8481,8848,4320
8566,8894,4304
8624,8874,4277
8677,8894,4267
8719,8978,4262
8788,9125,4267
8842,9212,4249
8899,9240,4229
8916,9223,4204
8899,9240,4192
8829,9250,4170
8788,9240,4154
8780,9176,4132
8788,9125,4117
8711,9070,4093
8566,9009,4080
8377,8892,4061
8232,8778,4042
8107,8658,4002
8010,8547,3967
7894,8412,3938
7787,8316,3930
7639,8221,3912
7453,8085,3892
7212,7848,3863
7008,7623,3855
6860,7467,3852
6786,7392,3855
6717,7286,3837
6675,7161,3818
6619,7023,3792
6563,6930,3780
6483,6848,3759
6452,6815,3743
6449,6800,3718
6452,6815,3705
6392,6806,3685
6341,6815,3668
6318,6815,3643
6341,6815,3630
6338,6760,3612
6341,6699,3593
6335,6627,3564
6341,6584,3556
6323,6551,3555
6341,6584,3556
6386,6640,3533
6452,6699,3518
6462,6700,3513
6452,6699,3518
6435,6693,3500
6452,6699,3481
6453,6680,3468
6452,6699,3481
6436,6748,3485
6452,6815,3481
6487,6823,3459
6563,6815,3443
6628,6801,3422
6675,6815,3406
6672,6807,3381
6675,6815,3368
6670,6845,3350
6675,6930,3331
6658,7001,3302
6675,7046,3294
6714,7037,3293
6786,7046,3294
6836,7079,3271
6897,7161,3256
6950,7229,3251
7008,7277,3256
7017,7276,3238
7008,7277,3219
6990,7267,3206
7008,7277,3219
7013,7271,3222
7008,7277,3219
6983,7269,3207
7008,7277,3219
7059,7270,3236
7120,7277,3256
7125,7269,3253
7120,7277,3256
7108,7270,3264
7120,7277,3294
7113,7269,3324
7120,7277,3368
7118,7270,3406
7120,7277,3443
7069,7268,3468
7008,7277,3518
6966,7271,3584
7008,7277,3668
7071,7265,3736
7120,7277,3818
7111,7275,3904
7120,7277,4005
7127,7259,4091
7120,7277,4192
7049,7285,4298
7008,7277,4416
7030,7239,4509
7120,7277,4604
7179,7378,4700
7231,7508,4828
7301,7599,4955
7453,7739,5090
7625,7921,5214
7787,8085,5352
7869,8114,5480
7898,8085,5614
7884,8066,5726
7898,8085,5839
7906,8044,5941
7898,7970,6063
7863,7916,6176
7898,7970,6288
7998,8076,6375
8121,8201,6475
8182,8276,6569
8232,8316,6662
8258,8285,6719
8232,8201,6774
8087,8037,6822
7898,7854,6887
7683,7660,6927
7453,7508,6961
7188,7372,6974
7008,7277,6999
6931,7166,7013
6897,7046,7036
6786,6901,7047
6675,6815,7074
6630,6787,7079
6675,6815,7074
6693,6817,7042
6675,6815,7036
6615,6802,7036
6563,6815,7036
6492,6810,6995
6452,6815,6961
6435,6806,6934
6452,6815,6924
6447,6806,6885
6452,6815,6849
6446,6809,6807
6452,6815,6774
6437,6800,6713
6452,6815,6662
6457,6816,6615
6452,6815,6587
6423,6794,6532
6452,6815,6475
6519,6835,6408
6563,6815,6363
6549,6768,6305
6563,6815,6250
6598,6918,6173
6563,6930,6101
6385,6754,6015
6230,6584,5951
6238,6592,5888
6452,6815,5839
6773,7142,5764
7231,7623,5689
7820,8274,5602
8455,9009,5539
8852,9555,5475
8788,9702,5427
8070,9214,5366
6675,7970,5315
4695,6013,5253
2559,3812,5202
846,1978,5140
111,1040,5090
442,1094,5028
1557,1964,4978
2987,3248,4925
4450,4620,4903
5724,5799,4882
6675,6699,4866
7204,7279,4823
7453,7623,4791
7573,7782,4763
7676,7854,4753
7732,7857,4730
7787,7854,4716
7838,7835,4694
7898,7854,4678
7902,7888,4650
7898,7970,4641
7887,8035,4637
7898,8085,4641
7892,8085,4619
7898,8085,4604
7901,8082,4594
7898,8085,4604
7877,8071,4590
7898,8085,4566
7954,8126,4533
8010,8201,4529
7973,8225,4527
7898,8201,4529
7847,8122,4507
7898,8085,4491
7967,8103,4469
8010,8201,4454
7991,8280,4426
8010,8316,4416
8057,8294,4412
8121,8316,4416
8121,8368,4397
8121,8432,4379
8148,8429,4366
8232,8432,4379
8262,8461,4382
8232,8547,4379
8178,8608,4356
8232,8663,4342
8350,8703,4321
8455,8778,4304
8457,8836,4276
8455,8894,4267
8487,8933,4262
8566,9009,4267
8614,9076,4249
8677,9125,4229
8738,9116,4204
8788,9125,4192
8775,9160,4171
8788,9240,4154
8840,9299,4130
8899,9356,4117
8863,9370,4095
8788,9356,4080
8718,9288,4056
8677,9240,4042
8580,9190,4019
8455,9125,4005
8321,9000,3982
8232,8894,3967
8129,8789,3944
8010,8663,3930
7841,8470,3909
7676,8316,3892
7499,8205,3867
7342,8085,3855
7167,7856,3837
7008,7623,3818
6862,7463,3787
6786,7392,3780
6731,7289,3782
6675,7161,3780
6560,7022,3743
6452,6930,3705
6365,6848,3676
6341,6815,3668
6328,6801,3648
6341,6815,3630
6338,6804,3608
6341,6815,3593
6326,6819,3566
6341,6815,3556
6348,6752,3552
6341,6699,3556
6277,6673,3536
6230,6699,3518
6209,6703,3497
6230,6699,3481
6228,6682,3453
6230,6699,3443
6221,6703,3442
6230,6699,3443
6218,6675,3420
6230,6699,3406
6261,6750,3402
6341,6815,3406
6406,6823,3385
6452,6815,3368
6451,6798,3361
6452,6815,3368
6442,6816,3353
6452,6815,3331
6478,6796,3305
6563,6815,3294
6642,6854,3273
6675,6930,3256
6644,6992,3234
6675,7046,3219
6779,7051,3194
6897,7046,3181
6917,7028,3173
6897,7046,3181
6881,7051,3180
6897,7046,3181
6886,7018,3175
6897,7046,3181
6939,7104,3180
7008,7161,3181
7020,7156,3173
7008,7161,3181
6991,7201,3195
7008,7277,3219
7007,7294,3222
7008,7277,3219
6998,7251,3208
7008,7277,3219
7002,7291,3234
7008,7277,3256
7001,7209,3267
7008,7161,3294
6999,7138,3324
7008,7161,3368
7004,7164,3401
7008,7161,3443
6995,7143,3489
7008,7161,3556
7012,7168,3622
7008,7161,3705
6951,7131,3791
6897,7161,3892
6863,7221,3982
6897,7277,4080
6945,7267,4177
7008,7277,4304
7051,7318,4423
7120,7392,4529
7203,7432,4608
7342,7508,4716
7499,7646,4841
7676,7854,4978
7809,8009,5085
7898,8085,5202
7910,8086,5328
7898,8085,5464
7878,8045,5572
7898,7970,5689
7907,7870,5813
7898,7854,5951
7864,7903,6050
7898,7970,6138
7997,8002,6219
8121,8085,6325
8160,8183,6419
8121,8201,6512
8015,8045,6585
7898,7854,6662
7742,7718,6718
7565,7623,6774
7345,7456,6810
7120,7277,6849
6877,7136,6866
6675,7046,6887
6521,6921,6896
6452,6815,6924
6398,6740,6942
6341,6699,6961
6260,6626,6956
6230,6584,6961
6227,6575,6958
6230,6584,6961
6172,6527,6939
6118,6468,6924
6093,6442,6901
6118,6468,6887
6122,6470,6846
6118,6468,6812
6103,6457,6768
6118,6468,6737
6117,6459,6691
6118,6468,6662
6103,6465,6624
6118,6468,6587
6120,6445,6523
6118,6468,6475
6103,6524,6431
6118,6584,6400
6164,6589,6341
6230,6584,6288
6255,6585,6227
6230,6584,6176
6167,6531,6096
6118,6468,6026
6023,6391,5959
5896,6353,5914
5886,6437,5843
6230,6815,5764
6810,7423,5673
7342,8085,5614
7735,8664,5557
8232,9240,5502
8686,9656,5421
8455,9471,5352
7026,8268,5287
4783,6237,5240
2510,3960,5179
779,2079,5128
-209,959,5068
-222,809,5015
748,1517,4948
2336,2772,4903
3928,4151,4864
5228,5429,4828
6169,6422,4746
6786,7046,4641
7083,7292,4518
7231,7392,4416
7345,7498,4325
7453,7623,4267
7466,7645,4221
7453,7623,4192
7472,7634,4149
7565,7739,4117
7633,7819,4088
7676,7854,4080
7674,7836,4061
7676,7854,4042
7665,7901,4013
7676,7970,4005
7713,7992,4001
7787,7970,4005
7851,7933,3987
7898,7970,3967
7899,8037,3941
7898,8085,3930
7886,8067,3910
7898,8085,3892
7894,8140,3865
7898,8201,3855
7886,8190,3850
7898,8201,3855
7896,8248,3839
7898,8316,3818
7879,8314,3788
7898,8316,3780
7936,8354,3777
8010,8432,3780
8061,8442,3763
8121,8432,3743
8168,8446,3717
8232,8547,3705
8247,8630,3687
8232,8663,3668
8194,8637,3640
8232,8663,3630
8327,8716,3627
8455,8778,3630
8522,8806,3613
8566,8894,3593
8600,9019,3568
8677,9125,3556
8740,9125,3535
8788,9125,3518
8787,9166,3495
8788,9240,3481
8778,9247,3460
8788,9240,3443
8786,9236,3420
8788,9240,3406
8747,9180,3386
8677,9125,3368
8560,9106,3343
8455,9125,3331
8342,9053,3315
8232,8894,3294
8072,8688,3252
7898,8547,3219
7714,8434,3194
7565,8316,3181
7401,8139,3148
7231,7970,3106
7040,7795,3059
6897,7623,3032
6776,7423,3008
6675,7277,2994
6547,7160,2973
6452,7046,2957
6381,6892,2935
6341,6815,2919
6274,6813,2898
6230,6815,2882
6207,6703,2860
6230,6584,2844
6230,6539,2823
6230,6584,2807
6216,6594,2785
6230,6584,2770
6227,6568,2748
6230,6584,2732
6217,6577,2710
6230,6584,2695
6229,6582,2674
6230,6584,2657
6210,6559,2634
6230,6584,2620
6273,6641,2601
6341,6699,2582
6357,6692,2556
6341,6699,2545
6310,6742,2542
6341,6815,2545
6397,6827,2529
6452,6815,2508
6451,6798,2483
6452,6815,2470
6479,6809,2452
6563,6815,2433
6633,6842,2409
6675,6930,2395
6667,7005,2378
6675,7046,2358
6705,7032,2331
6786,7046,2320
6853,7089,2319
6897,7161,2320
6893,7179,2302
6897,7161,2283
6895,7130,2273
6897,7161,2283
6878,7217,2286
6897,7277,2283
6943,7281,2273
7008,7277,2283
7020,7264,2300
7008,7277,2320
6988,7273,2332
7008,7277,2358
7014,7267,2381
7008,7277,2395
6986,7271,2386
7008,7277,2395
7026,7268,2427
7008,7277,2470
6928,7269,2487
6897,7277,2508
6932,7269,2547
7008,7277,2620
7021,7268,2681
7008,7277,2732
6991,7271,2775
7008,7277,2844
7004,7265,2928
7008,7277,3032
7002,7274,3135
7008,7277,3256
6992,7260,3380
7008,7277,3518
7048,7281,3646
7120,7277,3780
7163,7272,3906
7231,7392,4042
7351,7615,4167
7565,7854,4304
7767,7990,4443
7898,8085,4604
7912,8159,4756
7898,8201,4903
7885,8144,5028
7898,8085,5165
7889,8066,5307
7898,8085,5464
7931,8067,5600
8010,8085,5726
8066,8172,5833
8121,8316,5951
8195,8401,6060
8343,8432,6176
8462,8397,6270
8455,8316,6363
8262,8151,6435
8010,7970,6512
7768,7787,6571
7565,7623,6625
7331,7431,6656
7120,7277,6700
6962,7181,6735
6897,7161,6774
6841,7117,6789
6786,7046,6812
6714,6955,6827
6675,6930,6849
6622,6931,6846
6563,6930,6849
6484,6868,6844
6452,6815,6849
6444,6789,6829
6452,6815,6812
6436,6817,6786
6452,6815,6774
6465,6798,6740
6452,6815,6700
6372,6813,6637
6341,6815,6587
6376,6794,6527
6452,6815,6475
6461,6856,6410
6452,6930,6363
6446,6956,6307
6452,6930,6250
6435,6888,6168
6452,6930,6101
6512,7017,6037
6563,7046,5988
6526,6942,5913
6452,6815,5839
6377,6726,5756
6341,6699,5689
6357,6718,5598
6563,6930,5502
6983,7396,5393
7565,8085,5315
8179,8841,5238
8788,9587,5165
9176,10094,5066
9011,10049,4978
7992,9156,4893
6230,7508,4828
4066,5415,4748
2002,3350,4678
499,1748,4610
0,1040,4566
566,1304,4510
1891,2310,4454
3441,3618,4386
4895,4967,4342
6066,6151,4300
6897,7046,4267
7347,7536,4220
7565,7739,4192
7678,7798,4169
7787,7854,4154
7851,7900,4115
7898,7970,4080
7903,8028,4048
7898,8085,4042
7868,8082,4025
7898,8085,4005
7956,8111,3975
8010,8201,3967
8002,8276,3954
8010,8316,3930
8058,8311,3882
8121,8316,3855
8126,8319,3848
8121,8316,3855
8149,8290,3838
8232,8316,3818
8263,8375,3794
8232,8432,3780
8150,8390,3754
8121,8316,3743
8114,8267,3738
8121,8316,3743
8097,8381,3725
8121,8432,3705
8170,8426,3682
8232,8432,3668
8233,8427,3642
8232,8432,3630
8225,8411,3625
8232,8432,3630
8208,8474,3614
8232,8547,3593
8315,8594,3568
8455,8663,3556
8533,8721,3535
8566,8778,3518
8585,8806,3494
8677,8894,3481
8760,9015,3460
8788,9125,3443
8751,9131,3420
8788,9125,3406
8897,9152,3386
9011,9240,3368
9018,9300,3342
9011,9356,3331
9046,9405,3326
9122,9471,3331
9107,9487,3318
9011,9471,3294
8875,9412,3253
8788,9356,3219
8721,9283,3190
8677,9240,3181
8589,9191,3167
8455,9125,3144
8266,8972,3100
8121,8778,3069
8010,8572,3048
7898,8432,3032
7691,8313,2993
7453,8201,2957
7241,8033,2929
7120,7854,2919
7011,7662,2901
6897,7508,2882
6759,7369,2859
6675,7277,2844
6612,7169,2823
6563,7046,2807
6486,6894,2786
6452,6815,2770
6446,6799,2746
6452,6815,2732
6396,6763,2715
6341,6699,2695
6313,6662,2655
6341,6699,2620
6346,6718,2593
6341,6699,2582
6322,6627,2564
6341,6584,2545
6349,6564,2521
6341,6584,2508
6282,6583,2489
6230,6584,2470
6196,6571,2446
6230,6584,2433
6282,6583,2415
6341,6584,2395
6349,6565,2367
6341,6584,2358
6320,6625,2358
6341,6699,2358
6381,6757,2337
6452,6815,2320
6505,6828,2315
6563,6815,2320
6611,6782,2307
6675,6815,2283
6694,6878,2257
6675,6930,2246
6633,6918,2229
6675,6930,2208
6782,6981,2181
6897,7046,2171
6918,7044,2169
6897,7046,2171
6876,7084,2155
6897,7161,2133
6899,7178,2107
6897,7161,2096
6885,7140,2090
6897,7161,2096
6894,7166,2096
6897,7161,2096
6888,7140,2089
6897,7161,2096
6891,7205,2109
6897,7277,2133
6890,7302,2150
6897,7277,2171
6890,7200,2186
6897,7161,2208
6891,7150,2223
6897,7161,2246
6888,7143,2271
6897,7161,2320
6892,7208,2374
6897,7277,2433
6886,7287,2481
6897,7277,2545
6895,7259,2624
6897,7277,2732
6878,7275,2841
6897,7277,2957
6939,7264,3063
7008,7277,3181
7025,7273,3302
7008,7277,3443
6973,7259,3588
7008,7277,3743
7094,7342,3877
7231,7508,4005
7373,7697,4122
7565,7854,4267
7754,7919,4416
7898,7970,4566
7923,8023,4691
7898,8085,4828
7873,8091,4973
7898,8085,5128
7906,8075,5257
7898,8085,5390
7870,8073,5518
7898,8085,5652
7978,8121,5760
8121,8201,5876
8251,8264,5989
8343,8316,6101
8328,8297,6176
8232,8201,6250
8067,8018,6321
7898,7854,6400
7693,7727,6453
7453,7623,6512
7186,7457,6567
7008,7277,6625
6927,7120,6645
6897,7046,6662
6800,6986,6674
6675,6930,6700
6574,6853,6700
6563,6815,6700
6570,6798,6689
6563,6815,6700
6503,6811,6698
6452,6815,6700
6423,6804,6680
6452,6815,6662
6468,6809,6622
6452,6815,6587
6380,6804,6541
6341,6815,6512
6327,6808,6473
6341,6815,6438
6324,6802,6378
6341,6815,6325
6384,6811,6263
6452,6815,6213
6471,6804,6150
6452,6815,6101
6398,6820,6042
6341,6815,5988
6302,6796,5911
6341,6815,5839
6417,6838,5758
6452,6815,5689
6354,6689,5607
6230,6584,5539
6219,6626,5463
6452,6930,5390
6880,7434,5292
7453,8085,5202
8076,8786,5116
8677,9471,5053
9011,9907,4977
8788,9818,4903
7729,8932,4818
5896,7277,4753
3661,5116,4679
1669,3003,4604
431,1501,4514
222,1040,4454
919,1548,4409
2225,2657,4379
3723,3930,4322
5117,5198,4267
6184,6289,4214
6897,7046,4192
7276,7378,4168
7453,7508,4154
7512,7618,4131
7565,7739,4117
7611,7753,4094
7676,7739,4080
7720,7766,4057
7787,7854,4042
7843,7873,4017
7898,7854,4005
7902,7831,3984
7898,7854,3967
7889,7854,3939
7898,7854,3930
7896,7882,3926
7898,7970,3930
7892,8050,3911
7898,8085,3892
7890,8035,3869
7898,7970,3855
7892,7926,3830
7898,7970,3818
7886,8033,3810
7898,8085,3818
7897,8079,3805
7898,8085,3780
7875,8084,3747
7898,8085,3743
7945,8055,3744
8010,8085,3743
8013,8176,3717
8010,8316,3705
8027,8396,3702
8121,8432,3705
8200,8423,3684
8232,8432,3668
8203,8418,3661
8232,8432,3668
8324,8494,3653
8455,8663,3630
8522,8821,3604
8566,8894,3593
8602,8864,3573
8677,8894,3556
8733,9002,3532
8788,9125,3518
8830,9137,3497
8899,9125,3481
8956,9154,3458
9011,9240,3443
9021,9263,3422
9011,9240,3406
8954,9214,3383
8899,9240,3368
8836,9219,3347
8788,9125,3331
8697,8976,3306
8566,8894,3294
8384,8848,3286
8232,8778,3294
8107,8607,3284
8010,8432,3256
7861,8295,3207
7676,8201,3181
7445,8044,3185
7231,7854,3219
7032,7658,3243
6897,7508,3256
6779,7336,3253
6675,7161,3256
6545,7001,3255
6452,6930,3256
6382,6882,3240
6341,6815,3219
6273,6682,3190
6230,6584,3181
6208,6548,3179
6230,6584,3181
6229,6592,3163
6230,6584,3144
6218,6563,3121
6230,6584,3106
6225,6592,3085
6230,6584,3069
6220,6523,3048
6230,6468,3032
6224,6432,3007
6230,6468,2994
6221,6525,2978
6230,6584,2957
6226,6588,2915
6230,6584,2882
6216,6571,2858
6230,6584,2844
6263,6580,2820
6341,6584,2807
6405,6574,2804
6452,6584,2807
6451,6580,2790
6452,6584,2770
6445,6570,2748
6452,6584,2732
6441,6617,2707
6452,6699,2695
6483,6769,2692
6563,6815,2695
6631,6806,2677
6675,6815,2657
6667,6850,2636
6675,6930,2620
6706,6993,2594
6786,7046,2582
6851,7053,2581
6897,7046,2582
6897,7020,2562
6897,7046,2545
6888,7099,2538
6897,7161,2545
6891,7167,2541
6897,7161,2545
6889,7149,2556
6897,7161,2582
6891,7155,2599
6897,7161,2620
6890,7160,2636
6897,7161,2657
6890,7109,2669
6897,7046,2695
6890,7001,2727
6897,7046,2770
6890,7113,2800
6897,7161,2844
6890,7150,2894
6897,7161,2957
6888,7173,3006
6897,7161,3069
6892,7082,3147
6897,7046,3256
6886,7080,3365
6897,7161,3481
6895,7176,3587
6897,7161,3705
6880,7143,3824
6897,7161,3967
6902,7154,4114
6897,7161,4267
6892,7189,4396
7008,7277,4529
7224,7374,4654
7453,7508,4791
7579,7663,4915
7676,7854,5053
7784,8000,5192
7898,8085,5352
7921,8089,5501
7898,8085,5652
7876,8077,5782
7898,8085,5914
7898,8073,6024
7898,8085,6138
7917,8120,6241
8010,8201,6363
8122,8267,6475
8232,8316,6587
8268,8291,6665
8232,8201,6737
8092,8030,6799
7898,7854,6887
7665,7673,6965
7453,7508,7036
7230,7320,7073
7008,7161,7111
6791,7023,7132
6675,6930,7149
6649,6845,7139
6675,6815,7149
6638,6809,7163
6563,6815,7186
6479,6761,7170
6452,6699,7149
6442,6659,7119
6452,6699,7111
6445,6758,7089
6452,6815,7074
6445,6818,7048
6452,6815,7036
6444,6800,7001
6452,6815,6961
6444,6813,6899
6452,6815,6849
6444,6798,6788
6452,6815,6737
6444,6820,6673
6452,6815,6625
6446,6752,6566
6452,6699,6512
6448,6674,6434
6452,6699,6363
6448,6744,6280
6452,6815,6213
6451,6854,6132
6452,6815,6063
6411,6684,5984
6341,6584,5914
6245,6545,5820
6230,6584,5726
6378,6736,5621
6786,7161,5539
7368,7785,5457
8010,8432,5390
8551,9030,5309
8899,9702,5240
8800,10145,5160
8010,9702,5090
6452,8018,5006
4450,5660,4940
2413,3445,4875
779,1848,4828
-71,973,4768
222,1040,4716
1548,2051,4653
3337,3581,4604
4898,4973,4552
6007,6006,4529
6739,6744,4508
7231,7277,4491
7474,7539,4449
7565,7623,4416
7600,7656,4388
7676,7739,4379
7737,7804,4357
7787,7854,4342
7791,7857,4318
7787,7854,4304
7762,7827,4279
7787,7854,4267
7838,7907,4247
7898,7970,4229
7908,7978,4199
7898,7970,4192
7887,7961,4191
7898,7970,4192
7897,7963,4167
7898,7970,4154
7886,7967,4151
7898,7970,4154
7895,7948,4132
7898,7970,4117
7884,8018,4111
7898,8085,4117
7897,8093,4097
7898,8085,4080
7876,8065,4070
7898,8085,4080
7943,8117,4067
8010,8201,4042
8016,8273,4010
8010,8316,4005
8022,8296,4003
8121,8316,4005
8207,8369,3985
8232,8432,3967
8190,8425,3943
8232,8432,3930
8347,8470,3908
