II,MCL,PLETH,RESP
4330,32767,4881,3433
5044,32767,5499,3881
4663,32767,4827,3433
4501,32767,4486,3220
4829,32767,4827,3488
4943,32767,5011,3655
4663,32767,4772,3543
4491,32767,4605,3483
4663,32767,4718,3599
4847,32767,4779,3655
4829,32767,4664,3599
4762,32767,4573,3581
4829,32767,4610,3654
4958,32767,4639,3703
4996,32767,4610,3709
4874,32767,4571,3725
4663,32767,4555,3765
4457,32767,4528,3789
4330,32767,4501,3820
4285,32767,4489,3871
4330,32767,4501,3931
4424,32767,4505,3961
4496,32767,4501,3986
4449,32767,4468,4008
4330,32767,4447,4042
4216,32767,4437,4062
4163,32767,4447,4097
4099,32767,4443,4143
3996,32767,4447,4208
3878,32767,4446,4245
3830,32767,4447,4263
3830,32767,4419,4272
3830,32767,4393,4318
3801,32767,4377,4376
3830,32767,4393,4429
3918,32767,4399,4450
3996,32767,4393,4484
3997,32767,4359,4533
3996,32767,4339,4595
4015,32767,4327,4625
3996,32767,4339,4651
3896,32767,4338,4686
3830,32767,4339,4761
3837,32767,4330,4826
3830,32767,4339,4872
3728,32767,4339,4889
3663,32767,4339,4927
3723,32767,4326,4978
3830,32767,4339,5038
3847,32767,4362,5068
3830,32767,4393,5093
3838,32767,4395,5112
3830,32767,4393,5149
3735,32767,4385,5174
3663,32767,4393,5204
3710,32767,4390,5224
3830,32767,4393,5260
3868,32767,4388,5284
3830,32767,4393,5315
3798,32767,4388,5334
3830,32767,4393,5370
3850,32767,4389,5397
3830,32767,4393,5426
3800,32767,4386,5442
3830,32767,4393,5481
3859,32767,4394,5514
3830,32767,4393,5536
3779,32767,4363,5525
3830,32767,4339,5536
3906,32767,4323,5561
3830,32767,4339,5592
3596,32767,4343,5585
3497,32767,4339,5592
3649,32767,4321,5613
3830,32767,4339,5647
3787,32767,4366,5644
3663,32767,4393,5647
3686,32767,4386,5664
3830,32767,4393,5702
3879,32767,4411,5705
3830,32767,4447,5702
3800,32767,4463,5710
3830,32767,4501,5758
3836,32767,4564,5793
3830,32767,4664,5813
3830,32767,4744,5804
3830,32767,4827,5813
3806,32767,4913,5829
3830,32767,5044,5869
3870,32767,5176,5895
3830,32767,5315,5924
3700,32767,5437,5926
3663,32767,5586,5924
3760,32767,5741,5908
3830,32767,5911,5924
3745,32767,6051,5948
3663,32767,6182,5979
3723,32767,6301,5978
3830,32767,6454,5979
3787,32767,6611,5974
3663,32767,6779,5979
3657,32767,6916,5967
3830,32767,7050,5979
3988,32767,7158,6001
3996,32767,7267,6035
3892,32767,7362,6035
3830,32767,7484,6035
3831,32767,7598,6027
3830,32767,7701,6035
3753,32767,7755,6027
3663,32767,7809,6035
3628,32767,7861,6036
3663,32767,7918,6035
3681,32767,7926,6000
3663,32767,7918,5979
3639,32767,7901,5970
3663,32767,7918,5979
3687,32767,7922,5956
3663,32767,7918,5924
3575,32767,7883,5883
3497,32767,7864,5869
3465,32767,7835,5842
3497,32767,7809,5813
3560,32767,7751,5772
3663,32767,7701,5758
3770,32767,7642,5736
3830,32767,7592,5702
3775,32767,7511,5636
3663,32767,7430,5592
3599,32767,7338,5560
3663,32767,7267,5536
3777,32767,7182,5477
3830,32767,7104,5426
3761,32767,7014,5388
3663,32767,6942,5370
3623,32767,6856,5320
3663,32767,6779,5260
3688,32767,6687,5194
3663,32767,6616,5149
3624,32767,6533,5091
3663,32767,6454,5038
3759,32767,6357,4977
3830,32767,6291,4927
3784,32767,6232,4866
