II,V,ABP,RESP
1460,2470,3871,210
1665,2789,4364,220
1460,2417,3816,172
1290,2183,3513,145
1374,2312,3760,153
1473,2417,3918,151
1460,2312,3760,133
1407,2204,3640,126
1460,2207,3705,133
1558,2223,3728,131
1546,2207,3650,114
1459,2221,3614,105
1460,2259,3650,114
1521,2267,3640,128
1460,2259,3594,133
1406,2276,3582,132
1631,2312,3594,133
1906,2356,3570,142
1975,2417,3539,153
2843,2386,3534,155
6096,2049,3539,153
11270,1282,3511,156
15541,210,3484,172
16970,-936,3475,193
16400,-1892,3484,210
15027,-2400,3462,219
12193,-2259,3428,229
7256,-1608,3409,239
1889,-893,3428,248
-1585,-515,3440,254
-2919,-420,3428,267
-3339,-287,3391,286
-3263,105,3373,305
-2389,674,3371,315
-1116,1261,3373,324
-321,1771,3346,339
-86,2207,3318,362
143,2537,3302,383
515,2732,3318,400
697,2788,3326,417
601,2785,3318,439
461,2779,3285,459
429,2785,3263,477
423,2765,3251,492
429,2732,3263,515
445,2717,3267,543
515,2732,3263,572
568,2760,3233,593
601,2785,3207,610
602,2794,3192,627
601,2785,3207,648
602,2767,3217,668
601,2785,3207,686
647,2838,3170,704
773,2890,3152,725
891,2899,3150,744
859,2890,3152,763
715,2883,3122,780
687,2890,3097,801
856,2884,3085,822
1030,2890,3097,839
1050,2908,3094,848
1030,2942,3097,858
1112,2965,3094,874
1202,2995,3097,896
1149,3024,3084,917
1030,3048,3097,934
1018,3043,3135,945
1116,3048,3207,953
1191,3079,3278,959
1202,3153,3373,973
1199,3231,3490,991
1202,3310,3650,1011
1196,3369,3825,1021
1202,3415,4037,1030
1222,3439,4257,1039
1202,3468,4479,1049
1111,3496,4671,1055
1030,3520,4866,1068
1043,3519,5058,1086
1116,3520,5253,1106
1128,3550,5421,1116
1030,3626,5585,1125
881,3697,5731,1134
773,3731,5862,1144
721,3723,5949,1145
687,3731,6027,1144
636,3758,6089,1148
601,3783,6138,1163
617,3766,6140,1176
687,3731,6138,1182
773,3685,6148,1180
859,3626,6193,1182
940,3524,6225,1190
1030,3415,6249,1201
1143,3325,6260,1204
1288,3258,6304,1201
1413,3164,6356,1196
1460,3048,6415,1201
1441,2941,6443,1211
