II,V,PLETH
881,2703,8642
283,3232,9769
-660,3195,8581
-1167,3389,7924
-1211,3932,8461
-1258,4339,8776
-1431,4485,8400
-1497,4627,8148
-1431,4854,8340
-1435,4976,8418
-1541,4976,8219
-1588,5000,8092
-1541,5099,8158
-1510,5161,8153
-1541,5161,8038
-1563,5145,7962
-1541,5161,7977
-1518,5184,7964
-1541,5222,7917
-1598,5259,7871
-1651,5284,7856
-1666,5279,7826
-1651,5284,7796
-1642,5285,7745
-1651,5284,7735
-1627,5264,7732
-1541,5284,7735
-1440,5335,7696
-1431,5406,7675
-1531,5439,7664
-1651,5468,7675
-1688,5491,7647
-1651,5529,7614
-1592,5548,7572
-1541,5591,7554
-1482,5645,7517
-1431,5714,7494
-1410,5743,7457
-1431,5775,7433
-1474,5817,7391
-1541,5898,7373
-1608,5962,7345
-1651,6021,7312
-1651,6063,7241
-1651,6144,7191
-1687,6248,7154
-1761,6389,7131
-1829,6515,7068
-1871,6635,7010
-1880,6739,6962
-1871,6881,6950
-1858,7032,6919
-1871,7188,6889
-1916,7307,6847
-1981,7434,6829
-2037,7555,6795
-2092,7680,6768
-2173,7769,6727
-2312,7864,6708
-2487,7953,6676
-2642,8048,6648
-2700,8110,6601
-2642,8171,6587
-2518,8213,6582
-2422,8233,6587
-2397,8184,6555
-2422,8110,6527
-2440,8018,6507
-2422,7925,6527
-2346,7784,6532
-2202,7618,6527
-1990,7426,6489
-1761,7250,6466
-1568,7062,6449
-1431,6881,6466
-1320,6670,6470
-1211,6451,6466
-1099,6216,6429
-991,6021,6406
-854,5852,6374
-660,5714,6345
-423,5554,6298
-220,5406,6285
-115,5282,6283
-110,5222,6285
-127,5168,6247
-110,5099,6225
-55,4991,6217
0,4915,6225
54,4869,6193
110,4854,6164
149,4814,6148
110,4792,6164
-2,4783,6145
-110,4792,6104
-139,4763,6050
-110,4731,6043
-92,4708,6044
-110,4731,6043
-125,4758,6005
-110,4792,5983
-91,4797,5971
-110,4792,5983
-167,4773,5977
-220,4792,5983
-235,4824,5981
-220,4854,5983
-210,4845,5949
-220,4854,5922
-233,4881,5905
-220,4915,5922
-171,4895,5924
-110,4854,5922
-81,4825,5909
-110,4854,5922
-174,4889,5926
-220,4915,5922
-226,4909,5884
-220,4915,5862
-226,4917,5849
-220,4915,5862
-175,4880,5857
-110,4854,5862
-80,4840,5857
-110,4854,5862
-172,4853,5849
-220,4854,5862
-233,4845,5882
-220,4854,5922
-209,4851,5942
-220,4854,5983
-236,4846,6030
-220,4854,6104
-166,4851,6158
-110,4854,6225
-90,4845,6280
-110,4854,6345
-159,4854,6391
-220,4854,6466
-255,4839,6548
-220,4854,6648
-146,4882,6725
-110,4915,6829
-127,4911,6942
-110,4915,7071
-8,4950,7159
