II,V,PLETH,RESP
-32768,-32768,4866,-32768
-32768,-32768,6609,-32768
-32768,-32768,6817,-32768
-32768,-32768,6352,-32768
-32768,-32768,6185,-32768
-32768,-32768,6388,-32768
-32768,-32768,6535,-32768
-32768,-32768,6431,-32768
-32768,-32768,6304,-32768
-32768,-32768,6329,-32768
-32768,-32768,6423,-32768
-32768,-32768,6400,-32768
-32768,-32768,6305,-32768
-32768,-32768,6269,-32768
-32768,-32768,6314,-32768
-32768,-32768,6311,-32768
-32768,-32768,6253,-32768
-32768,-32768,6215,-32768
-32768,-32768,6239,-32768
-32768,-32768,6246,-32768
-32768,-32768,6218,-32768
-32768,-32768,6185,-32768
-32768,-32768,6190,-32768
-32768,-32768,6183,-32768
-32768,-32768,6176,-32768
-32768,-32768,6151,-32768
-32768,-32768,6146,-32768
-32768,-32768,6136,-32768
-32768,-32768,6134,-32768
-32768,-32768,6111,-32768
-32768,-32768,6104,-32768
-32768,-32768,6092,-32768
-32768,-32768,6091,-32768
-32768,-32768,6069,-32768
-32768,-32768,6060,-32768
-32768,-32768,6048,-32768
-32768,-32768,6048,-32768
-32768,-32768,6026,-32768
-32768,-32768,6018,-32768
-32768,-32768,6006,-32768
-32768,-32768,6006,-32768
-32768,-32768,5983,-32768
-32768,-32768,5975,-32768
-32768,-32768,5965,-32768
-32768,-32768,5964,-32768
-32768,-32768,5940,-32768
-32768,-32768,5932,-32768
-32768,-32768,5925,-32768
-32768,-32768,5924,-32768
-32768,-32768,5888,-32768
-32768,-32768,5849,-32768
-32768,-32768,5804,-32768
-32768,-32768,5775,-32768
-32768,-32768,5730,-32768
-32768,-32768,5695,-32768
-32768,-32768,5657,-32768
-32768,-32768,5637,-32768
-32768,-32768,5601,-32768
-32768,-32768,5576,-32768
-32768,-32768,5547,-32768
-32768,-32768,5538,-32768
-32768,-32768,5511,-32768
-32768,-32768,5486,-32768
-32768,-32768,5445,-32768
-32768,-32768,5422,-32768
-32768,-32768,5389,-32768
-32768,-32768,5361,-32768
-32768,-32768,5317,-32768
-32768,-32768,5291,-32768
-32768,-32768,5261,-32768
-32768,-32768,5240,-32768
