II,V,ABP
6271,18420,4650
7162,20991,5263
6387,18708,4650
5966,17496,4336
6387,18708,4650
6642,19406,4814
6387,18708,4592
6212,18330,4455
6387,18852,4592
6537,19059,4676
6504,18708,4592
6466,18586,4533
6504,18852,4592
6500,18886,4628
6504,18708,4592
6599,18693,4544
6736,18852,4533
6768,18871,4529
6736,18852,4533
6748,18920,4535
6852,18996,4533
6941,18904,4521
6968,18852,4533
6938,18891,4538
6968,18996,4533
7035,18974,4496
7084,18996,4474
7062,19068,4465
7084,19140,4474
7185,19041,4468
7317,18996,4474
7344,19049,4475
7317,19140,4474
7323,19055,4439
7433,18996,4415
7527,19034,4403
7549,19140,4415
7510,19079,4408
7549,18996,4415
7661,18953,4430
7781,18996,4474
7801,18967,4500
7781,18996,4533
7762,19062,4568
7781,19140,4650
7778,19063,4751
7781,18996,4886
7776,18969,5020
7781,18996,5180
7763,18908,5342
7781,18852,5533
7800,18874,5728
7781,18996,5946
7662,18976,6149
7549,18852,6358
7505,18693,6552
7549,18708,6770
7567,18786,6978
7549,18852,7182
7486,18735,7352
7433,18564,7535
7366,18410,7713
7317,18420,7888
7254,18438,8014
7200,18420,8124
7129,18303,8211
7084,18277,8300
7028,18281,8359
6968,18277,8418
6884,18120,8455
6852,17989,8477
6850,17927,8449
6852,17989,8418
6791,17992,8381
6736,17989,8359
6710,17959,8305
6736,17989,8241
6739,17932,8150
6736,17845,8065
6722,17756,7965
6736,17845,7888
6734,17956,7801
6736,17989,7712
6724,17864,7586
6736,17845,7476
6735,17919,7374
6736,17989,7299
6721,17884,7206
6736,17845,7123
6741,17907,7028
6736,17989,6946
6707,17892,6846
6736,17845,6770
6797,17903,6698
6852,17989,6652
6845,17894,6587
6852,17845,6534
6865,17907,6469
6852,17989,6416
6768,17845,6346
6736,17701,6299
6784,17701,6256
6852,17845,6240
6812,17862,6206
6736,17845,6181
6699,17871,6143
6736,17989,6122
6746,17962,6087
6736,17845,6063
6719,17742,6028
6736,17845,6004
6735,17964,5967
6736,17989,5946
6725,17861,5912
6736,17845,5887
6731,17922,5847
6736,17989,5828
6728,17848,5800
6736,17701,5769
6730,17641,5703
6736,17701,5651
6729,17690,5609
6736,17701,5592
6729,17704,5559
6736,17701,5533
6729,17585,5499
6736,17557,5475
6729,17617,5434
6736,17701,5416
6728,17617,5406
6736,17557,5416
6729,17585,5409
6736,17701,5416
6727,17701,5414
6736,17701,5416
6732,17697,5400
6736,17701,5416
6722,17590,5443
6736,17557,5475
6738,17607,5468
6736,17701,5475
6710,17674,5496
6736,17701,5533
6786,17774,5533
6852,17845,5533
6919,17785,5545
7084,17845,5592
7289,18046,5625
7433,18277,5651
7466,18327,5650
7549,18420,5651
7696,18585,5639
7781,18708,5651
7700,18602,5673
7665,18564,5710
7832,18694,5715
8130,18852,5710
8312,18738,5696
8362,18564,5710
8328,18468,5715
8246,18420,5710
8069,18192,5673
