II,MCL,PLETH
4000,3527,5132
4627,3993,5819
4078,3470,5132
3555,3096,4750
3495,3181,5078
3486,3222,5284
3417,3065,5078
3577,3008,4941
3961,3123,5078
4182,3160,5163
4078,3065,5078
3823,2981,5021
3612,2949,5078
3495,2899,5110
3534,2891,5078
3756,3006,5055
4078,3181,5078
4321,3281,5091
4388,3296,5078
4277,3278,5047
4078,3238,5025
3887,3152,5012
3806,3065,5025
3852,3028,5024
4000,3065,5025
4101,3096,5017
4039,3065,5025
3816,2969,5022
3612,2891,5025
3528,2868,5017
3534,2891,5025
3515,2902,5022
3495,2891,5025
3539,2858,5016
3689,2834,5025
3874,2835,5025
4039,2891,5025
4112,2951,5010
4078,2949,5025
3941,2859,5051
3806,2776,5078
3733,2769,5070
3728,2834,5078
3695,2882,5114
3612,2891,5185
3530,2868,5225
3573,2834,5239
3745,2775,5227
3961,2718,5239
4089,2672,5256
4116,2660,5292
4082,2669,5316
4078,2718,5346
4150,2797,5365
4311,2891,5399
4426,2948,5423
4349,2949,5453
4048,2880,5469
3728,2776,5506
3574,2684,5535
3612,2660,5560
3669,2674,5553
3650,2660,5560
3548,2593,5575
3456,2544,5613
3404,2571,5635
3417,2660,5666
3458,2769,5690
3534,2891,5720
3638,2994,5719
3806,3007,5720
3983,2890,5728
4116,2718,5773
4154,2565,5808
4155,2429,5827
4160,2247,5814
4194,2024,5827
4230,1776,5850
4311,1504,5880
4479,1159,5876
4777,752,5880
5155,311,5895
5553,-116,5934
5880,-509,5940
6097,-810,5934
6181,-966,5917
6175,-925,5934
6105,-706,5956
6019,-347,5987
5925,65,5989
5825,463,5987
5649,756,5972
5359,925,5987
4973,1002,6008
4621,1099,6041
4380,1268,6042
4233,1504,6041
4059,1726,6029
3806,1908,6041
3482,2050,6040
3184,2197,6041
2984,2371,6027
2951,2602,6041
3053,2882,6061
3223,3181,6094
3344,3428,6096
3379,3585,6094
3316,3658,6082
3223,3701,6094
3138,3737,6093
3107,3759,6094
3104,3739,6080
3107,3701,6094
3053,3662,6115
2951,3643,6148
2837,3631,6149
2796,3643,6148
2847,3667,6136
2990,3701,6148
3188,3740,6147
3417,3817,6148
3570,3898,6133
3534,3932,6148
3287,3883,6169
2990,3817,6201
2791,3774,6201
2718,3759,6201
2672,3726,6191
2602,3701,6201
2490,3677,6197
2369,3643,6201
2283,3585,6193
2330,3585,6201
2526,3675,6195
2796,3817,6201
2996,3906,6194
3068,3932,6201
2992,3911,6194
2796,3874,6201
2525,3810,6195
2291,3759,6201
2157,3737,6193
2136,3759,6201
2180,3785,6197
2291,3817,6201
2441,3843,6191
2602,3874,6201
2734,3883,6201
2874,3874,6201
3029,3843,6169
3184,3817,6148
3284,3786,6133
3340,3759,6148
3367,3725,6146
3379,3701,6148
3335,3658,6137
3262,3585,6148
3229,3479,6148
3340,3412,6148
3576,3412,6117
3845,3470,6094
4012,3502,6076
4039,3470,6094
3919,3346,6102
3728,3181,6094
3577,3037,6054
3612,3007,6041
3833,3064,6038
4078,3123,6041
4101,3076,6006
3845,2949,5987
3465,2808,5981
3223,2718,5987
3247,2682,5957
3495,2718,5934
3818,2820,5920
4078,2949,5934
4179,3025,5929
4116,3007,5934
4006,2914,5933
4039,2834,5934
4311,2853,5901
4699,3007,5880
4914,3218,5871
4777,3412,5880
4322,3591,5855
3767,3817,5827
3232,3984,5806
2718,3874,5827
2140,3360,5835
1515,2602,5827
875,1817,5788
272,1099,5773
-328,403,5768
-932,-231,5773
-1571,-740,5745
-2214,-1099,5720
-2784,-1363,5702
-3068,-1504,5720
-2881,-1430,5726
-2136,-1041,5720
-970,-371,5684
388,463,5666
1667,1266,5656
2718,1908,5666
3481,2333,5662
4039,2602,5666
4459,2768,5660
4815,2891,5666
5086,2995,5659
5243,3123,5666
5234,3240,5663
5087,3296,5666
4870,3255,5654
4699,3181,5666
4619,3130,5687
4621,3123,5720
4632,3139,5721
4621,3181,5720
4601,3228,5711
4621,3238,5720
4694,3185,5715
4815,3123,5720
4975,3115,5714
5204,3181,5720
5480,3268,5713
5747,3354,5720
