I,II,ABP,RESP
-364,3926,7497,1808
-353,4399,8556,2048
-273,3841,7622,1808
-284,3564,7113,1683
-364,3841,7622,1808
-395,4023,7952,1883
-364,3926,7684,1808
-327,3901,7499,1759
-273,4012,7684,1808
-177,4007,7777,1839
-91,3926,7622,1808
-71,3976,7508,1787
-91,4097,7559,1808
-119,4086,7573,1820
-182,4012,7497,1808
-271,4052,7420,1799
-273,4183,7372,1808
-117,4250,7284,1814
91,4268,7184,1808
173,4309,7109,1792
91,4353,7059,1781
-34,4327,6977,1776
-91,4268,6872,1781
-87,4195,6734,1779
-91,4097,6622,1781
-131,3971,6519,1781
-182,3926,6435,1781
-222,3952,6331,1766
-273,3926,6247,1753
-361,3781,6170,1747
-455,3670,6122,1753
-466,3667,6058,1754
-364,3670,5997,1753
-257,3570,5924,1750
-273,3500,5872,1753
-368,3560,5808,1752
-364,3670,5747,1753
-216,3681,5671,1751
-91,3670,5622,1753
-112,3735,5581,1752
-182,3841,5560,1753
-161,3863,5523,1751
-91,3841,5497,1753
-96,3840,5462,1752
-182,3841,5435,1753
-275,3764,5392,1750
-364,3670,5373,1753
-470,3635,5364,1753
-546,3670,5373,1753
-558,3683,5347,1748
-546,3670,5310,1753
-557,3653,5263,1765
-546,3670,5248,1781
-488,3676,5241,1783
-455,3670,5248,1781
-498,3658,5224,1776
-546,3670,5185,1781
-520,3628,5133,1781
-455,3500,5123,1781
-409,3332,5126,1776
-364,3244,5123,1781
-253,3140,5081,1791
-91,2902,5060,1808
90,2632,5058,1812
273,2731,5060,1808
484,3309,5023,1800
728,4012,4998,1808
1064,4394,4992,1823
1548,4524,4998,1836
2114,4730,4964,1833
2458,5121,4935,1836
2262,5427,4926,1847
1548,5463,4935,1863
790,5339,4907,1864
455,5378,4873,1863
474,5755,4853,1861
273,6402,4873,1863
-558,7007,4879,1859
-1821,7341,4873,1863
-2975,7434,4841,1874
-3733,7511,4810,1890
-4201,7610,4768,1892
-4552,7597,4748,1890
-4765,7441,4737,1887
-4734,7341,4748,1890
-4470,7316,4747,1889
-4097,7085,4748,1890
-3706,6400,4723,1890
-3278,5463,4685,1890
-2764,4640,4635,1885
-2185,4097,4623,1890
-1637,3732,4626,1902
-1184,3500,4623,1918
-824,3379,4582,1919
-546,3329,4560,1918
-388,3267,4558,1915
-364,3244,4560,1918
-391,3279,4524,1916
-364,3329,4498,1918
-312,3297,4492,1917
-364,3244,4498,1918
-527,3221,4466,1913
-637,3244,4435,1918
-547,3242,4424,1929
-364,3244,4435,1945
-286,3243,4410,1948
-364,3244,4373,1945
-432,3219,4349,1940
-364,3244,4373,1945
-198,3324,4387,1946
-91,3414,4373,1945
-130,3409,4327,1939
-273,3329,4311,1945
-379,3250,4311,1957
-364,3244,4311,1973
-288,3259,4274,1975
-273,3244,4248,1973
-329,3187,4240,1966
-364,3158,4248,1973
-373,3157,4220,1984
-455,3158,4186,2000
-601,3162,4165,2003
-637,3244,4186,2000
-502,3364,4196,1993
-364,3414,4186,2000
-355,3354,4145,2013
-364,3329,4123,2027
-276,3386,4113,2027
-182,3414,4123,2027
-184,3320,4120,2033
-182,3244,4123,2055
-63,3299,4118,2072
91,3414,4123,2082
176,3436,4117,2078
273,3414,4123,2082
465,3442,4121,2092
637,3500,4123,2110
663,3477,4111,2121
637,3414,4123,2137
728,3411,4145,2151
910,3500,4186,2164
1046,3575,4209,2164
1093,3585,4248,2164
1107,3539,4295,2170
1093,3500,4373,2192
1020,3455,4452,2208
910,3414,4560,2219
816,3408,4676,2217
728,3500,4810,2219
607,3622,4929,2226
455,3670,5060,2247
331,3613,5183,2263
273,3585,5310,2274
269,3631,5421,2270
273,3670,5560,2274
250,3621,5711,2283
182,3585,5872,2301
60,3621,5997,2313
-91,3670,6122,2329
-194,3653,6242,2342
-182,3670,6372,2356
-103,3767,6468,2356
-91,3841,6560,2356
-212,3770,6643,2361
-364,3670,6747,2384
-416,3673,6837,2402
-364,3756,6934,2411
-324,3782,7021,2405
-364,3756,7122,2411
-435,3713,7193,2423
-455,3670,7247,2438
-415,3626,7268,2437
-364,3670,7309,2438
-326,3781,7361,2446
-273,3841,7434,2466
-205,3783,7475,2478
-182,3756,7497,2493
-249,3838,7488,2506
-364,3926,7497,2521
-446,3868,7496,2520
-455,3756,7497,2521
-390,3742,7464,2526
-273,3841,7434,2548
-174,3888,7394,2564
-182,3841,7372,2575
-284,3787,7336,2573
-364,3841,7309,2575
-366,3950,7254,2581
-364,4012,7184,2603
-391,3950,7080,2620
-364,3841,6997,2630
-253,3783,6926,2625
-182,3841,6872,2630
-227,3939,6781,2641
-273,4012,6684,2658
-199,4042,6578,2658
-91,4097,6497,2658
-93,4160,6401,2661
-182,4183,6310,2685
-223,4131,6204,2703
-182,4097,6122,2712
-122,4148,6046,2706
-91,4268,5997,2712
-105,4323,5934,2724
-182,4268,5872,2740
-272,4175,5794,2739
-273,4183,5747,2740
-194,4254,5710,2737
-182,4268,5685,2740
-285,4151,5623,2734
-364,4012,5560,2740
-324,3917,5504,2751
-273,3841,5497,2767
-314,3733,5498,2767
-364,3670,5497,2767
-325,3674,5464,2765
-273,3670,5435,2767
-305,3580,5399,2760
-364,3500,5373,2767
-366,3488,5330,2779
-364,3500,5310,2795
-422,3467,5301,2791
-455,3500,5310,2795
-353,3657,5287,2804
-182,3841,5248,2822
-110,3891,5198,2821
-182,3841,5185,2822
-295,3785,5183,2829
-364,3756,5185,2849
-402,3704,5153,2854
-455,3670,5123,2849
-518,3668,5103,2840
-546,3670,5123,2849
-543,3618,5133,2862
-546,3585,5123,2877
-562,3610,5079,2875
-546,3670,5060,2877
-514,3680,5057,2882
-546,3670,5060,2904
-631,3667,5027,2921
-637,3670,4998,2932
-532,3589,4982,2927
-455,3414,4998,2932
-417,3157,5000,2941
-273,2902,4998,2959
-41,2714,4970,2961
0,2731,4935,2959
-147,3007,4887,2951
-91,3500,4873,2959
367,4015,4873,2969
910,4439,4873,2986
1336,4746,4835,2989
1821,5036,4810,2986
2302,5325,4803,2977
2185,5548,4810,2986
1267,5592,4780,3000
273,5548,4748,3014
-82,5691,4730,3009
-91,6231,4748,3014
-484,6950,4752,3024
-1366,7426,4748,3041
-2299,7491,4718,3040
-3096,7426,4685,3041
-3870,7466,4641,3048
-4552,7511,4623,3069
-4862,7347,4616,3073
-4734,7085,4623,3069
-4405,6972,4615,3058
-4097,6999,4623,3069
-3817,6803,4627,3082
-3460,6146,4623,3096
-2962,5188,4585,3094
-2367,4353,4560,3096
-1802,3845,4553,3094
-1366,3585,4560,3096
-1065,3386,4533,3089
-819,3244,4498,3096
-577,3200,4475,3107
-364,3244,4498,3123
-251,3259,4512,3123
-273,3244,4498,3123
-375,3227,4452,3120
-455,3244,4435,3123
-441,3242,4437,3117
-364,3244,4435,3123
-293,3240,4397,3133
-273,3244,4373,3151
-247,3229,4369,3151
-182,3244,4373,3151
-126,3259,4340,3147
-182,3244,4311,3151
-310,3178,4301,3146
-364,3158,4311,3151
-275,3200,4284,3159
-182,3244,4248,3178
-226,3207,4226,3180
-364,3158,4248,3178
-431,3171,4260,3170
-364,3244,4248,3178
-248,3273,4207,3189
-182,3244,4186,3205
-175,3209,4177,3207
-182,3244,4186,3205
-180,3304,4180,3197
-182,3329,4186,3205
-212,3285,4186,3217
-273,3244,4186,3233
-337,3232,4153,3233
-364,3244,4123,3233
-337,3239,4106,3228
-273,3244,4123,3233
-215,3249,4128,3231
-182,3244,4123,3233
-153,3218,4105,3228
-91,3244,4123,3233
5,3305,4153,3232
91,3329,4186,3233
139,3271,4182,3225
182,3244,4186,3233
283,3311,4200,3245
455,3414,4248,3260
654,3438,4297,3258
819,3414,4373,3260
933,3400,4457,3259
1001,3414,4560,3260
1027,3430,4646,3244
1001,3500,4748,3233
947,3606,4857,3227
910,3670,4998,3233
912,3629,5140,3230
910,3585,5310,3233
852,3610,5471,3233
728,3670,5622,3233
583,3678,5737,3215
455,3670,5872,3205
355,3674,6022,3201
273,3670,6185,3205
215,3636,6308,3193
182,3670,6435,3178
151,3800,6575,3160
91,3926,6747,3151
0,3920,6886,3134
-91,3841,6997,3123
-153,3800,7079,3109
-182,3841,7184,3096
-193,3889,7282,3066
-182,3926,7372,3041
-141,3938,7425,3020
-91,3926,7497,3014
-96,3875,7579,3000
-182,3841,7684,2986
-276,3835,7754,2967
-273,3841,7809,2959
-198,3823,7835,2945
-182,3841,7871,2932
-277,3918,7894,2912
-364,4012,7934,2904
-319,4012,7963,2892
-182,3926,7996,2877
-91,3834,7996,2845
-91,3841,7996,2822
-110,3922,7985,2805
-91,4012,7996,2795
-67,4031,7995,2767
-91,4012,7996,2740
-148,3993,7967,2717
-182,4012,7934,2712
-181,4023,7871,2701
-182,4012,7809,2685
-195,3965,7734,2654
-182,3926,7684,2630
-129,3910,7623,2609
-91,3926,7559,2603
-118,3909,7460,2591
-182,3841,7372,2575
-211,3776,7276,2544
-182,3841,7184,2521
-133,3995,7055,2501
-91,4097,6934,2493
-45,4062,6823,2478
0,4012,6747,2466
-6,4011,6654,2449
-91,4012,6560,2438
-184,3949,6450,2422
-182,3926,6372,2411
-104,3976,6300,2396
-91,4012,6247,2384
-214,3948,6178,2364
-364,3926,6122,2356
-387,4061,6055,2353
-273,4268,5997,2356
-145,4334,5923,2345
-91,4268,5872,2329
-87,4237,5829,2308
-91,4353,5810,2301
-116,4469,5774,2299
-182,4439,5747,2301
