II,MCL,ABP,RESP
482,3853,3821,889
557,4371,4336,1022
505,3853,3821,927
474,3573,3531,886
505,3853,3777,965
523,4055,3936,1020
505,3922,3777,1002
492,3793,3652,992
505,3853,3733,1021
513,3900,3794,1041
505,3853,3733,1040
498,3822,3675,1052
505,3853,3689,1078
515,3861,3699,1085
528,3853,3689,1078
541,3876,3686,1081
551,3922,3689,1097
552,3932,3667,1109
551,3922,3645,1116
550,3917,3642,1118
551,3922,3645,1116
553,3912,3624,1110
551,3922,3601,1116
543,3933,3586,1128
551,3922,3601,1135
563,3887,3610,1125
551,3922,3601,1116
534,3992,3569,1115
573,3991,3557,1116
622,3932,3557,1106
573,3991,3557,1097
500,4086,3532,1096
573,3991,3514,1097
680,3808,3507,1087
551,3922,3514,1078
359,4146,3495,1076
551,3922,3470,1078
895,3490,3453,1069
551,3922,3470,1059
-518,5274,3479,1056
-1124,6055,3470,1059
-494,5239,3437,1053
551,3853,3426,1040
829,3391,3425,1026
413,3784,3426,1021
155,3935,3400,1020
252,3578,3382,1021
230,3292,3375,1015
-69,3303,3382,1002
-330,3255,3363,988
-436,3027,3338,984
-605,2830,3322,985
-940,2752,3338,984
-1274,2639,3347,972
-1445,2477,3338,965
-1472,2362,3306,963
-1445,2339,3294,965
-1433,2315,3293,956
-1445,2271,3294,946
-1459,2208,3269,941
-1445,2133,3250,946
-1431,1973,3242,948
-1445,1720,3250,946
-1464,1396,3247,941
-1445,1101,3250,946
-1422,843,3251,955
-1445,619,3250,965
-1495,465,3224,966
-1445,550,3206,965
-1209,934,3200,961
-826,1514,3206,965
-412,2090,3187,971
-23,2615,3162,984
344,3103,3147,995
688,3578,3162,1002
982,3988,3170,1002
1216,4335,3162,1002
1404,4610,3133,1008
1560,4816,3118,1021
1681,4936,3113,1033
1766,5023,3118,1040
1823,5097,3114,1040
1858,5160,3118,1040
1875,5171,3120,1044
1881,5160,3118,1059
1881,5150,3093,1078
1881,5160,3074,1097
1880,5161,3066,1107
1881,5160,3074,1116
1881,5156,3072,1124
1881,5160,3074,1135
1880,5157,3074,1142
1881,5160,3074,1154
1880,5158,3053,1170
1881,5160,3030,1192
1879,5152,3017,1204
1881,5160,3030,1211
1880,5161,3037,1215
1881,5160,3030,1229
1877,5143,3002,1248
1881,5160,2986,1267
1889,5194,2981,1278
1904,5229,2986,1286
1914,5224,2983,1293
1927,5229,2986,1305
